NPC_SEARCH	Npc Arama
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Birden fazla satin alma kullanmak icin.
GAME_NOT_LOADED	Oyun yükleniyor, lütfen kisa süre sonra tekrar deneyin.
EMPTY_SLOT	%d. Bos alan
PARTY_SKILL_SP_REGEN	SP Üretimi +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	Guild size teslim edildi [%s].
PET_CANNOT_BE_EVOLVED	Bu evcil hayvani henüz gelistiremezsiniz.
SKILL_SELECT_1A	Bedensel
SKILL_SELECT_1B	Zihinsel
SKILL_SELECT_2A	Yakin Dövüs
SKILL_SELECT_2B	Uzak Dövüs
SKILL_SELECT_3A	Büyülü Silah
SKILL_SELECT_3B	Kara Büyü
SKILL_SELECT_4A	Ejderha Gücü
SKILL_SELECT_4B	Iyilestirme
SKILL_SELECT_DIALOG1	Bir doktrin seçmelisiniz!
SKILL_SELECT_DIALOG2	Stili ögrenmek ister misiniz: %s?
ACCE_ABSORB_COST	Emiþ fiyatý: %d
ACCE_ALREADY_REGISTER	Bu eþya zaten kullanýldý.
ACCE_DEL_ABSORDITEM	Nesneyi em ve yok et?
ACCE_DEL_SERVEITEM	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCE_DEL_SERVEITEM2	Kombinasyon baþarýsýz olursa kuþak 2 yok edilir.
ACCE_INITEM	Nesneleri pencereye çek.
ACCE_MAXGRADE	Bu kiþiye özel üretimdir.
ACCE_MAX_DRAINRATE	Maksimum emiþ oraný
ACCE_NOTABSORBITEM	Emilmiþ olan bir silah veya zýrhý kullanamazsýn.
ACCE_NOT_SEALITEM	Ruha baðlý nesneler kullanamazsýn.
ACCE_NOT_USINGITEM	Kuþanýlan bir nesne kombine edilemez.
ACCE_NOT_WINDOWOPEN	Kombinasyon penceresi açýkken bu nesneyi kullanamazsýn.
ACCE_POSSIBLE_ACCE	Sadece omuz kuþaklarý kullanabilirsin.
ACCE_POSSIBLE_ACCEITEM	Bonusu sadece silah ve zýrhlardan elde edebilirsin.
AFF_LOVE_POINT	Sevgi Puaný: %d%%
ALIGNMENT_NAME	Sýralamasý Puanlarý:
ATTACK_ERROR_UNKNOWN	Bilinmeyen Saldýrý Hatasý: %s
ATTENDANCE_REWARD_QUESTION	Ödülünü almak ister misin?
ATTR_6TH_7TH_ADD_QUESTION1	Bir bonus eklenirken bu eþyayý kullanamazsýn.
ATTR_6TH_7TH_ADD_QUESTION2	Bonusu gerçekten eklemek istiyor musun?
ATTR_6TH_7TH_CHANGE_FAIL	Bonusu deðiþtiremezsin.
ATTR_6TH_7TH_DESC1	a. 6. ve 7. bonuslarý ekleyebilmek için eþyaya gerekli malzemeleri eklemelisin.
ATTR_6TH_7TH_DESC2	b. Her parça, baþarý oranýný %2 artýrýr.
ATTR_6TH_7TH_DESC3	c. Baþarý oranýný ayrýca artýrmak için ekleme kullan.
ATTR_6TH_7TH_DESC4	d. Bonus 24 saatte eklenir. Bonusun eklendiði eþya önce YZK'da kalýr. Süreç tamamlandýktan sonra eþyaný tekrar alabilirsin.
ATTR_6TH_7TH_POSSIBILITY	Bir ekstra bonus ekleyebilirsin.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Baþarý olasýlýðý: %.1f%%
AURA_DRAIN_PER	Emiþ oraný %%%.1f
AURA_EVOLUTION_GOLD	[Aura] Geliþim için yeterli Yang yok.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Daha fazla bonus aktarýlamaz.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Kuþanýlan eþyalar aktarýlamaz.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Geliþtirilemez.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Eþya sayýsý geliþtirmek için yeterli deðil.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Yükseltilemez.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Sadece aura giysisi, kalkan, kolye, küpe ve bileklik mümkün.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Ruha baðlý eþyalar aktarýlamaz.
AURA_ITEM_NEED_REGISTER	[Aura] Eþyalar eklenmeli.
AURA_LEVEL_STEP	Sv %d (Seviye %d)
AURA_MAX_LEVEL	[Aura] Aura giysisi maksimum seviyeye sahip.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Aktarýlan eþya imha edilir.
AURA_OPEN_OTHER_WINDOW	Bir yükseltme, geliþtirme veya deðer aktarma penceresi açýkken bunu yapamazsýn.
AURA_POSSIBLE_AURAITEM	[Aura] Sadece aura giysisi mümkün.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura giysisi önce eklenmeli.
AURA_TITLE_ABSORB	Deðerleri aura giysisine aktar.
AURA_TITLE_EVOLUTION	Aura giysisini geliþtir
AURA_TITLE_GROWTH	Aura giysisini yükselt
AURA_TOOLTIP_EXP	EXP (%d%% / %%100)
AURA_TOOLTIP_LEVEL	Sv %d (Seviye %d) (Emiþ oraný %%%.1f)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Yeni
AURA_TOOLTIP_NOW	Güncel
AURA_TOOLTIP_RESOURCE	Tüketim nesnesi
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Beceriler: Savaþ için beceriler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE2	Not: Becerilerin altýnda etkinleþtirme sýklýðýný (saniye olarak) ayarlayabilirsin.
AUTO_TOOLTIP_LINE3	Ýksirler: Savaþ için iksirler seç ve onlarý boþluklara çek. (Premium)
AUTO_TOOLTIP_LINE4	Not: HP ve SP iksirleri iksirin altýnda bulunan % deðerinin altýna düþüldüðünde etkinleþir.
AUTO_TOOLTIP_TITLE	Otomatik Av Yardýmý
BATTLE_POINT	Savaþ Puanlarý
BEAD	Animasfer
BEAD_TIME_REMAINING_TO_GET	Animasferin yüklenmesine kalan süre: %d dak.
BNW_COIN	Kahin Jetonu
BUY_LIMIT_LEVEL	Satýn alma limiti: %s
CANNOT_ATTACK_DEST_IN_SAFE	Þavasçý çok uzakta.
CANNOT_ATTACK_SELF_IN_SAFE	Saldýramam.
CANNOT_EQUIP_IN_EXCHANGE	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_EQUIP_IN_SHOP	Ticaret yaparken zýrhýný deðiþtiremezsin.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Genel alanda özel depo açamazsýn.
CANNOT_SHOOT_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SHOOT_EMPTY_ARROW	Bir oka ihtiyacým var.
CANNOT_SHOOT_SELF_IN_SAFE	Bunu yapamam.
CANNOT_SKILL_APPROACH	Eminim daha fazla yaklaþamam.
CANNOT_SKILL_ATTACK	Saldýramam.
CANNOT_SKILL_BLUE	Kýrmýzý kurt ruhu etkinken, çivit kurt ruhunu kullanamazsýn.
CANNOT_SKILL_DEST_IN_SAFE	Düþman çok uzakta.
CANNOT_SKILL_EQUIP_FISHING_ROD	Bir olta kuþanmadan balýk tutamazsýn.
CANNOT_SKILL_HAVE_TO_RIDE	Bunu kullanmadan önce bir ata ihtiyacým var.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Boþ bir þiþem yok.
CANNOT_SKILL_NEED_POISON_BOTTLE	Zehirli þiþem yok.
CANNOT_SKILL_NEED_TARGET	Hedef kim?
CANNOT_SKILL_NOT_ENOUGH_HP	Yeterli HP yok!
CANNOT_SKILL_NOT_ENOUGH_SP	Yeterli SP yok!
CANNOT_SKILL_NOT_HORSE_SKILL	Bunu at sürerken kullanamam.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Bu beceriyi bu silahla kullanamam.
CANNOT_SKILL_NOT_YET_LEARN	Bu beceriyi öðrenmedim.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Bu sadece grup üyelerini etkiler.
CANNOT_SKILL_ONLY_FOR_CORPSE	Bu sadece ölüleri etkiler.
CANNOT_SKILL_RED	Çivit kurt ruhu etkinken, kýrmýzý kurt ruhunu kullanamazsýn.
CANNOT_SKILL_REMOVE_FISHING_ROD	Bu beceriyi olta ile kullanamam.
CANNOT_SKILL_SELF_IN_SAFE	Buradan saldýramam.
CANNOT_SKILL_USE_SELF	Bunu kendi üzerimde yapamam.
CANNOT_SKILL_WAIT_COOLTIME	Henüz bu beceriyi kullanamam.
CANNOT_USE	Onu kullanamazsýn.
CANNOT_WHISPER_DEST_REFUSE	%s fýsýldamayý blokladý.	SA
CANNOT_WHISPER_NOT_LOGON	%s baðlý deðil.	SA
CANNOT_WHISPER_SELF_REFUSE	Fýsýldamayý blokladýðýnda birine birþey fýsýldayamazsýn.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Zýrhlar
CATEGORY_ARMOR_ARMOR_HEAD	Miðferler
CATEGORY_ARMOR_ARMOR_SHIELD	Kalkanlar
CATEGORY_COSTUMES	Kostümler
CATEGORY_COSTUMES_COSTUME_BODY	Kostümler
CATEGORY_COSTUMES_COSTUME_HAIR	Saç Modelleri
CATEGORY_COSTUMES_COSTUME_WEAPON	Silah Görünümleri
CATEGORY_COSTUMES_ETC	Diðerleri
CATEGORY_COSTUMES_SASH	Omuz Kuþaklarý
CATEGORY_DRAGON_STONE	Ejderha Taþý Simyasý
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Elmas
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Grena
CATEGORY_DRAGON_STONE_DRAGON_JADE	Yeþim
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Oniks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Yakut
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safir
CATEGORY_DRAGON_STONE_ETC	Diðerleri
CATEGORY_EQUIPMENT_ARMOR	Ekipmanlar
CATEGORY_EQUIPMENT_JEWELRY	Mücevher
CATEGORY_EQUIPMENT_WEAPON	Silahlar
CATEGORY_ETC	Diðerleri
CATEGORY_ETC_ETC	Diðerleri
CATEGORY_ETC_EVENT	Etkinlik Eþyalarý
CATEGORY_ETC_GIFTBOX	Sandýklar | Kutular
CATEGORY_ETC_MATRIMORY	Düðün
CATEGORY_ETC_PARTI	Savaþ Becerisi Kitaplarý
CATEGORY_ETC_POLYMORPH	Dönüþüm Küreleri
CATEGORY_ETC_RECIPE	Ýksir Oluþturma
CATEGORY_ETC_SEAL	Ruha Baðlama
CATEGORY_FISHING_PICK	Balýkçýlýk | Madencilik
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kazmalar
CATEGORY_FISHING_PICK_ETC	Diðerleri
CATEGORY_FISHING_PICK_FISHING_POLE	Oltalar
CATEGORY_FISHING_PICK_FOOD	Balýklar
CATEGORY_FISHING_PICK_PICK_BOOK	Madencilik Rehberleri
CATEGORY_FISHING_PICK_STONE	Cevherler
CATEGORY_JEWELRY_ARMOR_EAR	Küpeler
CATEGORY_JEWELRY_ARMOR_FOOTS	Ayakkabýlar
CATEGORY_JEWELRY_ARMOR_NECK	Kolyeler
CATEGORY_JEWELRY_ARMOR_PENDANT	Týlsým
CATEGORY_JEWELRY_ARMOR_WRIST	Bilezikler
CATEGORY_JEWELRY_ITEM_BELT	Kemerler
CATEGORY_MOUNT_PET	Binekler | Petler
CATEGORY_MOUNT_PET_CHARGED_PET	Petler
CATEGORY_MOUNT_PET_EGG	Pet Yumurtalarý
CATEGORY_MOUNT_PET_FREE_PET	Seviye Atlayabilen Petler
CATEGORY_MOUNT_PET_MOUNT	Binekler
CATEGORY_POTION	Ýksirler
CATEGORY_POTION_ABILITY	Kullaným Mallarý
CATEGORY_POTION_ETC	Diðerleri
CATEGORY_POTION_HAIRDYE	Saç Renkleri
CATEGORY_SKILL	Beceriler
CATEGORY_SKILL_BOOK_OF_OBLIVION	Unutkanlýk Kitaplarý
CATEGORY_SKILL_ETC	Diðerleri
CATEGORY_SKILL_PAHAE	Misilleme | Güçlendirme
CATEGORY_SKILL_SKILL_BOOK	Beceri Kitaplarý
CATEGORY_TUNING	Geliþtirmeler
CATEGORY_TUNING_ETC	Diðerleri
CATEGORY_TUNING_RESOURCE	Malzemeler
CATEGORY_TUNING_STONE	Zihin Taþlarý
CATEGORY_UNIQUE	Özel Eþyalar
CATEGORY_UNIQUE_ABILITY	Tüketim Mallarý
CATEGORY_UNIQUE_ETC	Diðerleri
CATEGORY_WEAPON_WEAPON_ARROW	Oklar
CATEGORY_WEAPON_WEAPON_BELL	Çanlar
CATEGORY_WEAPON_WEAPON_BOW	Yaylar
CATEGORY_WEAPON_WEAPON_CLAW	Pençe
CATEGORY_WEAPON_WEAPON_DAGGER	Hançerler
CATEGORY_WEAPON_WEAPON_FAN	Yelpazeler
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Mýzraklar
CATEGORY_WEAPON_WEAPON_QUIVER	Ok Çantalarý
CATEGORY_WEAPON_WEAPON_SWORD	Tek Elli Silah
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Çift Elli Silahlar
CHANGE_ALREADY_REGISTER	[Yansýtma] Bu nesne kaydedildi.
CHANGE_LOOK_CHANGE_ITEM	Bu nesneyi yansýtmak istiyor musun?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Yansýtma] Lütfen önce yansýtmanýn uygulanacaðý nesneyi kaldýr.
CHANGE_LOOK_COST	Yansýtmanýn fiyatý: %s Yang
CHANGE_LOOK_DEL_ITEM	Kaldýrýlan nesne silinir.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Yansýtma] Bu nesne yansýtýlamaz.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Yansýtma] Nesneyi kuþanmýþ durumdayken onu yansýtamazsýn.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Yansýtma] Bu nesne kaydedilemez.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Yansýtma] Bu nesne ruha baðlý.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Yansýtma] Lütfen yansýtmak istediðin nesneyi kaydet.
CHANGE_LOOK_INSERT_ITEM	[Yansýtma] Önce nesneyi kaydetmelisin.
CHANGE_LOOK_NEED_MONEY	Ya yeterli Yang'a sahip deðilsin ya da yeterli nesnen yok.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Yansýtma] "Yansýtma" penceresi açýkken bu iþlem yapýlamaz.
CHANGE_LOOK_TITLE	Yansýtma
CHANGE_LOOK_TITLE2	Binek dönüþümü
CHANGE_PET_PLEASE_APPEND_FIRST	Ýlk önce pet seçilmeli
CHANGE_TOOLTIP2_LINE1	Sola hedef nesneyi, saða da malzemeyi yerleþtir.
CHANGE_TOOLTIP2_LINE2	Yang veya dönüþüm markasý kullanarak bineðinin görünümünü deðiþtirmek için onay iþaretini týkla.
CHANGE_TOOLTIP2_LINE3	Bir dönüþüm markasý ile Yang kullanmadan bineðinin görünümünü deðiþtirebilirsin. (Marka bu esnada imha edilir.)
CHANGE_TOOLTIP2_LINE4	Bineðinin görünümü belirli bir sürede deðiþtirilirse, orijinal süre kalýr.
CHANGE_TOOLTIP2_LINE5	Bineðin kalýcý ve malzeme bineðin bir süresinin olmasý durumunda binek, malzeme bineðin süresi boyunca, deðiþtirilen görünüme sahip olur.
CHANGE_TOOLTIP_LINE1	Üzerine yansýtýlmasýný istediðin nesneyi sola koy.
CHANGE_TOOLTIP_LINE2	Diðer nesneyi saða koy.
CHANGE_TOOLTIP_LINE3	Soldaki nesnenin görünümü
CHANGE_TOOLTIP_LINE4	Yansýtma'yý (V) onayladýðýn ve senden Yang çekildiði takdirde deðiþir.
CHANGE_TOOLTIP_LINE5	Bu nesneyi kullandýðýnda,
CHANGE_TOOLTIP_LINE6	Yang kullanmadan eþyaný yansýtabilirsin.
CHANGE_TOOLTIP_TITLE	Yansýtma
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Kaydolma ekranýna tekrar dönemezsiniz.
CHANNEL_EMPTY_SERVER	Sunucu yok
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Bu kanal dolu! Lütfen baþka bir kanal seçiniz.
CHANNEL_NOT_FIND_INFO	Kanal üzerinden herhangi bir bilgiye ulaþýlamadý.
CHANNEL_PVP	Serbest düello
CHANNEL_SELECT_CHANNEL	Kanal Seç
CHANNEL_SELECT_REGION	Bölge seç.
CHANNEL_SELECT_SERVER	Sunucu seç
CHANNEL_STATUS_BUSY	Kalabalýk
CHANNEL_STATUS_FULL	Dolu
CHANNEL_STATUS_OFFLINE	Bilinmeyen
CHANNEL_STATUS_RECOMMENDED	Tavsiye edilen
CHANNEL_STATUS_VACANT	Boþ
CHANNEL_TEST_SERVER	Sunucuyu test et
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Karakter oluþtur
CHARACTER_NAME	Ýsim
CHARACTER_SELECT_MODE	Karakter seç
CHARGE_BEAD_QUESTION	Gereken animasfer: %d. Devam etmek istiyor musun?
CHAT_ALL	Genel
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Atýþ
CHAT_GUILD	Lonca
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlýþ kelimeler içeriyor.
CHAT_LOG	Eski mesajý göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Sunucu
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fýsýltý gönder[Shift+Enter]
CHAT_SHOUT	Baðýrmak
CHAT_SHOUT_LIMIT	15 saniyede bir baðýrabilirsiniz.
CHAT_WHISPER	Fýsýldama
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Para düþüremezsin.
CHEQUE_SYSTEM_PICK_WON	%d Won aldýn.
CHEQUE_SYSTEM_SELL_PRICE	[Satýþ Fiyatý]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Kat
CLEAR_TIME	Zaman
ClosePetChangeWndButton	Kapat
COMB_ACCE_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_ACCE_WARNING_MESSAGE	Baþarý veya kýsmi baþarýda orijinal imha edilir. Transfer baþarýsýz olabilir. Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WARNING_MESSAGE1	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ACCE_WARNING_MESSAGE2	Transfer baþarýsýz olabilir.
COMB_ACCE_WARNING_MESSAGE3	Baþarýsýzlýk veya kýsmi baþarý durumunda alýcýnýn emiþ oraný düþer.
COMB_ACCE_WILL_REMOVE_MATERIAL	Baþarý veya kýsmi baþarýda orijinal imha edilir.
COMB_ALREADY_APPEND	Bu eþya zaten seçildi.
COMB_CANT_APPEND_ITEM	Bu nesne kullanýlamaz.
COMB_CANT_APPEND_SEALED_ITEM	Ruha baðlý nesneler kullanamazsýn.
COMB_CANT_BASE_ITEM	Zaten bir bonus içeren bir kuþak, alýcý olamaz.
COMB_CANT_MATCH_DRAINRATE	Bonus transferi için her iki eþyanýn da emiþ oraný ayný olmalý.
COMB_CANT_MATCH_GRADE	Bonus transferi için her iki eþyanýn da derecesi ayný olmalý.
COMB_CANT_MATERIAL_ITEM	Orijinal eþya bir bonus içermeli.
COMB_COST	Ücret: %s
COMB_IS_CONTINUE_PROCESS	Devam etmek istiyor musun?
COMB_NOTICE	Kitaplarý takas etmek isterken özel dükkan açamazsýn.
COMB_NOTICE_NOT_OPEN	Özel dükkan açýkken kitap takas edemezsin.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Bonuslarý aktarmak için orijinal, alýcý ve transfer eþyasýna ihtiyacýn var.
COMB_NOT_FULL_BOOK	Yok, biz böyle anlaþamayýz. Sana anlattýðým gibi, takas sadece bana 10 kitap verirsen olur.
COMB_NOT_ITEM_IN_INVENTORY	Kuþandýðýn eþyalarý kullanamazsýn.
COMB_NOT_MEDIUM_ITEM	Bu nesne kullanýlamaz.
COMB_WILL_REMOVE_MATERIAL	Orijinal, baþarý durumunda imha edilir.
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalý.
CREATE_ERROR_LIMIT_LEVEL	Karakterin en az seviye 80 olmalý.
CREATE_ERROR_TIME_LIMIT	Sadece her 30 saniyede bir karakter oluþturabilirsin.
CREATE_ERROR_WRONG_STRING	Bu karakter adý yasak.
CREATE_EXIST_SAME_NAME	Bu ismi zaten baþka bir karakter kullanýyor.
CREATE_FAILURE	Karakteri yaratamazsýn.
CREATE_FULL	Baþka karakter oluþturamazsýn.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Ýsmi gir.
CREATE_PLUS_STAT	Hala statü puanýn var.
CUBE_CATEGORY_ACCESSORY	Mücevher
CUBE_CATEGORY_ARMOR	Zýrh
CUBE_CATEGORY_BELT	Kemer
CUBE_CATEGORY_ETC	Vs.
CUBE_CATEGORY_EVENT	Etkinlik
CUBE_CATEGORY_WEAPON	Silah
CUBE_MAKE_CONFIRM_QUESTION_1	Kullanýlan minimum bir eþya çok deðerli (%d üzerinde bonusu var).
CUBE_MAKE_CONFIRM_QUESTION_2	Durumunu sýfýrlamak istediðinden emin misin?
CUBE_NOT_ENOUGH_GOLD	Üretim için yetersiz Yang.
CUBE_NOT_ENOUGH_MATERIAL	Üretim için yetersiz malzeme.
CUBE_PLEASE_SELECT	Nesne seçilmedi.
CZ_REWARD_QUESTION_COMPLETE	Bu alaný bozdurmak mý istiyorsun?
CZ_REWARD_TOOLTIP_10GAN	Zodyak Niþanlarý
CZ_REWARD_TOOLTIP_10GAN_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_12ZI	Bekçi Niþanlarý
CZ_REWARD_TOOLTIP_12ZI_COUNT	Envanterdeki Miktar
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Gerekli Miktar
CZ_REWARD_TOOLTIP_ALL_BOX	Yýldýz Hazinesi
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Yýldýz hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Aventurin hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Aureolin hazinesi ödülünü almak için buraya týkla.
CZ_REWARD_TOOLTIP_COMPLETABLE	Bozdur
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurin Hazinesi
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Bozdurulan Aventurin hazinesi: %d
CZ_REWARD_TOOLTIP_WEEKLY	Gün
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Cuma
CZ_REWARD_TOOLTIP_WEEKLY_MON	Pazartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Cumartesi
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Cumartesi/Pazar
CZ_REWARD_TOOLTIP_WEEKLY_THU	Perþembe
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Salý
CZ_REWARD_TOOLTIP_WEEKLY_WED	Çarþamba
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Hazinesi
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Bozdurulan Aureolin hazinesi: %d
DAY	g
DETAILS_10	Çöl cana. krþ. güçlü
DETAILS_11	Böcekl. karþý güçlü
DETAILS_14	Ortalama hasar
DETAILS_15	Ortl. hasar direnci
DETAILS_16	Beceri hasarý
DETAILS_17	Dayanýklýlýk beceri hsr.
DETAILS_19	Büyü saldýrýsý
DETAILS_20	Krit. isabet þansý
DETAILS_21	Delici isabet
DETAILS_22	Kritik vuruþ direnci
DETAILS_23	Del. isabet direnci
DETAILS_24	Þimþek direnci
DETAILS_25	Buz direnci
DETAILS_26	Karanlýða kr. direnç
