TELEPORT_PANEL_TITLE	isinlayici
TELEPORT_MAP_SOHAN_DESC	Burasi oldukça soguk, o yüzden toplanin! Burada efsanevi Nine Tails'i nadiren bulursunuz. Onlara dikkat et! Metin taslarini fethetmek için de iyi bir alandir. Sogukta hayatta kalirsan, zorlu bir savasçisin.
TELEPORT_MAP_DOYYUMHWAN_DESC	Volkanlar ve magma. Burasi çok sicak! Bu dünyanin disinda hisseden canavarlar burada bulunabilir. Yeterince güçlü degilseniz buraya gitmeyin!
TELEPORT_MAP_SNAKEFIELD_DESC	Yilanlar ve devler? Pff... bu nasil olabilirdi. Tehlikeli bir bölgeye gidin ve burada hayatta kalmaya çalisin. Ne yaptiginizi gerçekten bilmiyorsaniz bu yerden kaçinin, aksi takdirde kisa sürede isiniz biter.
TELEPORT_MAP_GHOSTWOOD_DESC	Birçok Agaç Canavari, metinler ve bir Kötü Patron ile harita.
TELEPORT_MAP_REDWOOD_DESC	Birçok Agaç Canavari, metinler ve bir Kötü Patron ile harita.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Boyutlarla ilgili bir sorununuz varsa, buraya gitmeyin! Aksi takdirde, burada size ün ve servet getirebilecek esyalari yagmalayabilirsiniz. Lütfen oraya iyi donanimli gidin. Ülkenin sana daha çok ihtiyaci var!
TELEPORT_BUTTON_RED_EMPIRE	kirmizi imparatorluk
TELEPORT_BUTTON_YELLOW_EMPIRE	sari imparatorluk
TELEPORT_BUTTON_BLUE_EMPIRE	mavi imparatorluk
TELEPORT_BUTTON_START	Baslangiç
TELEPORT_BUTTON_MIDDLE	Merkez
TELEPORT_BUTTON_END	son
TELEPORT_BUTTON_ENTRY	giris
TELEPORT_BUTTON_SKIPIA_1	Birinci kat
TELEPORT_BUTTON_SKIPIA_2	Ikinci kat
TELEPORT_BUTTON_SKIPIA_BOSS	patron odasi
LOGIN_ACCOUNT_EMPTY	BOS HESAP
LOGIN_ACCOUNT_N_S	HESAP YOK
LOGIN_ACCOUNT_DELETE	SIL
LOGIN_ACCOUNT_SAVED	KAYDET
LOGIN_ACCOUNT_CONT	HESAP
MULTIPLE_BUYS_TITLE	Coklu satin alma
DOGMODE	Kopek Modu
ENCHANT_REINFORCE_TITLE	Buyuler & Takviyeler
PET_HATCHING_TITLE	Kuluçka mak.
PET_HATCHING_PRICE	Fiyat: 100.000 Yang
PET_HATCHING_NAME	Isim
PET_HATCHING	Aç onu
SKILL_SELECT_1	Doktrin seçin
SKILL_SELECT_2	Kabul etmek
GUILD_MEMBER_WAR	Savas
ACCEPT	Tamam
ACCE_ABSORB	Bonus Emiþi
ACCE_COMBINE	Kombinasyon
ACCE_MAIN	Kuþak 1
ACCE_RESULT	Sonuç
ACCE_SERVE	Kuþak 2
ATTACH_METIN_INFO	Zihin taþýný eklemek istiyor musun?
ATTACH_METIN_TITLE	Zihin taþýný ekle
ATTENDANCE_TITLE	Patron Avcýsý Etkinliði
ATTR_67_ADD	Bonus ekle
ATTR_67_ADD_TITLE	Bonus ekle
ATTR_67_MATERIAL_SLOT_TITLE	Parça
ATTR_67_REGIST_SLOT_TITLE	Hedef eþya
ATTR_67_SUPPORT_SLOT_TITLE	Ekleme
AURA_MAIN	Aura Giysisi
AURA_SUB	Malzeme
AUTO_AUTO_ATTACK	Saldýr
AUTO_AUTO_POSITION	Ýksirler
AUTO_AUTO_RANGE	Odak
AUTO_AUTO_SKILL	Beceriler
AUTO_CLEAR	Boþalt
AUTO_END	Dur
AUTO_OFF	Kapalý
AUTO_ON	Açýk
AUTO_POSITION_SETTING	Ýksirler
AUTO_SAVE	Kaydet
AUTO_SETTING	Ayarlar
AUTO_SKILL_SETTING	Beceriler
AUTO_START	Baþla
AUTO_TITLE	Otomatik Av
BANNER_ATTENDANCE_BUTTON	Patron Avcýsý Etkinliði
BANNER_BLACK_AND_WHITE_BUTTON	Kahin Yarýþmasý
BANNER_CATCHKING_BUTTON	Kralý yakala
BANNER_EASTER_BUTTON	YUMURTA BAYRAMI
BANNER_FISH_BUTTON	BALIK YAPBOZ OYUNU
BANNER_FLOWER_BUTTON	ÇÝÇEK ÇOÇUKLAR
BANNER_FOOTBALL_BUTTON	FUTBOL
BANNER_HALLOWEEN_BUTTON	CADILAR BAYRAMI!
BANNER_LUCKY_EVENT	CANAVAR AVI
BANNER_MINIBOSS_BUTTON	Zodyak kýyameti
BANNER_MONSTERBACK_BUTTON	Hayat puaný kullan
BANNER_MYSTERY_BOX_BUTTON	GANÝMET-ETKÝNLÝÐÝ I
BANNER_MYSTERY_BOX_BUTTON_2	GANÝMET-ETKÝNLÝÐÝ II
BANNER_NEW_XMAS_BUTTON	YILBAÞI
BANNER_OKEY_BUTTON	Okey Etkinliði
BANNER_OLYMPIC_BUTTON	KAHRAMAN ETKÝNLÝÐÝ
BANNER_RAMADAN_BUTTON	RAMAZAN
BANNER_ROULETTE_BUTTON	Kan Ritüeli
BANNER_SOUL_BUTTON	RUH ETKÝNLÝÐÝ
BANNER_SUMMER_BUTTON	YAZ ETKÝNLÝÐÝ
BANNER_VALENTINE_BUTTON	SEVGÝLÝLER GÜNÜ
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Savaþ Bölgesi
BATTLE_FIELD_OPERATION_TIME	Savaþ Bölgesi'ne giriþ %s.00 - %s.00 arasý mümkün.
BATTLE_FIELD_OPERATION_TIME_ALL	Giriþ her zaman mümkün.
BATTLE_FIELD_OPERATION_TIME_END	Savaþ Bölgesi %s sa. daha açýk.
BATTLE_FIELD_OPERATION_TIME_NA	Giriþ þu anda mümkün deðil.
BATTLE_FIELD_OPERATION_TIME_OPEN	%s saat içinde %s saat boyunca giriþ yapýlabilir
BATTLE_FILED_RANK	Rütbe
BATTLE_FILED_RANK_EMPIRE	Krallýk
BATTLE_FILED_RANK_NAME	Ýsim
BATTLE_FILED_RANK_POINT	Puan
BNW_GAME_UI_COM	Düþman
BNW_RANK_UI_COUNT	Baðýþ sayýsý
BNW_RANK_UI_NAME	Ýsim
BNW_RANK_UI_RANK	Rütbe
CANCEL	iptal
CHANGE_ATTR_SELECT	Bonusu deðiþtir
CHANGE_PASSWORD_CONFIRM	Þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CHARACTER_SPECTIAL_ACTION	Özel hareketler
CHAT_FILTER	Sohbet Süzgeci
CHAT_FILTER_DICE	Zar
CLOSE	Kapat
COMB_APPEARANCE	Alýcý
COMB_ATTRIBUTE	Orijinal
COMB_MAIN	Alýcý
COMB_MATERIAL	Orijinal
COMB_SKILLBOOK_TILE	Kitap takas et
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	INT
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_RENEWAL_BELT_IMPROVE	Þansý artýr
CUBE_RENEWAL_TITLE	Arýndýrma
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
CURRENT_POINT	Mevcut Puan: %s
CZ_REWARD_WINDOW_TITLE	Zodyak Tapýnaðý
DO_CHANGE_ATTR	Uygula
DO_REFINE	Arýndýr
DO_REFINE_ALL	Arýndýr hersey
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mitsi ejderha taþý için bonus dönüþümü
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý: %s
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu: %s
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi: %s
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri: %s
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenasý: %s
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi: %s
DRAGONSOUL_TITLE	Ejderha Taþý Simyasý
DUTCHAUCTION_BUTTON	Git!
DUTCHAUCTION_TITLE	Hýzlý müzayede
EMPIRE_A	Shinsoo
EMPIRE_ALL	Hepsi
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Çýkýþ
EMPIRE_NEXT	Sonraki
EMPIRE_PREV	Önceki
EMPIRE_SELECT	Seçim
END_TIME	Devam eden etkinlik
ENTER_BATTLE_FIELD	Katýl
EVENT_ALARM_TITLE	Etkinlik genel görünümü
EVENT_NAME_TITLE	Ýsim
EVENT_REWARD_TITLE	Ödül
EXCHANGE_ACCEPT	Kabul
EXCHANGE_TITLE	Ticaret
EXIT_BATTLE_FIELD	Savaþ Bölgesi'ni terk etmek istediðine emin misin?
EXIT_BATTLE_FIELD_ON_DEAD	Savaþ Bölgesi'nden %d puan ile ayrýlmak istiyor musun?
EXPIRED_TIME	Etkinlik bitti.
FISHING_RENEWAL_TITLE	Balýkçýlýk
FRAGMENT_COMB_TITLE	Beceri kitaplarýný birleþtir
GAMEOPTION_TITLE	Oyun Seçenekleri
GAME_EXIT_OBSERVER	Ýzlemeyi Bitir
GAME_GUILD_WAR_JOIN	Lonca savaþýna katýl
GAME_QUEST	Görevler
GAME_SKILL_UP	Becerileri Geliþtir
GAME_STAT_UP	Statü Geliþtir
GEMSHOP_LEFTTIME	Kalan süre
GEMSHOP_TITLA	GAYA MAÐAZASI
GRADE	Sýnýf
GRADE_SELECT	Sýnýf
GRAPHICONOFF_DROP_ITEM_APPLY	Uygula
GRAPHICONOFF_DROP_ITEM_LEVEL	Eþya düþürme
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Efekt ve ismi göster
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Efekti gizle
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Efekt ve ismi gizle
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Eþyalarý gizle ve isim fare üzerinden
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Eþyalarý gizle ve ismi gösterme
GRAPHICONOFF_EFFECT_APPLY	Uygula
GRAPHICONOFF_EFFECT_LEVEL	Efektler
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Sadece benimkileri ve canavar efektlerini
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Sadece benimkileri ve diðer oyuncu efektlerini
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Sadece benimkileri göster
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Hiçbirini gösterme
GRAPHICONOFF_NPC_NAME_STATUS	YZK isimleri
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Kapalý
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	YZK isimlerini gizle
GRAPHICONOFF_NPC_NAME_STATUS_ON	Alýcý
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	YZK isimlerini görüntüle
GRAPHICONOFF_PET_STATUS	Petler
GRAPHICONOFF_PET_STATUS_OFF	Kapalý
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Peti gizle
GRAPHICONOFF_PET_STATUS_ON	Açýk
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Peti göster
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Uygula
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Özel dükkanlar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Geniþ çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Orta çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Yakýn çevredeki tümünü göster
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Direkt çevredeki tümünü göster
GUILDWINDOW_BASE_BUFF	Lonca bonusu
GUILD_ATTENDANCE_LOCA1	Ýlk katýlým: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA2	10 veya üstü: 1x Onur madalyasý
GUILD_ATTENDANCE_LOCA3	20 veya üstü: 2x Onur madalyasý
GUILD_ATTENDANCE_LOCA4	30 veya üstü: 4x Onur madalyasý
GUILD_ATTENDANCE_LOCA5	40 veya üstü: 6x Onur madalyasý
GUILD_ATTENDANCE_LOCA6	50 veya üstü: 8x Onur madalyasý
GUILD_ATTENDANCE_LOCA7	60 veya üstü: 10x Onur madalyasý
GUILD_ATTENDANCE_LOCA8	70 veya üstü: 12x Onur madalyasý
GUILD_ATTENDANCE_LOCA9	Katýlým baþlangýcý: her gün saat 5:00'da
GUILD_ATTENDANCE_TITLE	Katýlým ödülü
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TITLE	Lonca deposu geçmiþi
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Depo s.:
GUILD_BASEINFO_BANK	Lonca deposu
GUILD_BASEINFO_BANKLASTOUT	Son eþya alýmý
GUILD_BASEINFO_BUILDING	Lonca binasý
GUILD_BASEINFO_FACTORY	Lonca demircisi
GUILD_BASEINFO_GUILDLAND	Lonca bölgesi
GUILD_BASEINFO_LANDSCAPE	Diðer
GUILD_BASEINFO_LOCALE	Konum
GUILD_BASEINFO_MONEY	Hesap bakiyesi
GUILD_BASEINFO_MONEYBANKINFO	Lonca bankasý bilgisi
GUILD_BASEINFO_MONEYLASTOUT	Son para çekme
GUILD_BASEINFO_POWER	Güç Sunaðý
GUILD_BASEINFO_SMEITER	Lonca simyacýsý
GUILD_BASEINFO_TITLE	Bölge bilgileri
GUILD_BASENAME	Temel isim
GUILD_BOARD_ID	Isim
GUILD_BOARD_REFRESH	Yenile
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Ýnþaat Birimleri
GUILD_BUILDING_CHANGE	Deðiþtir
GUILD_BUILDING_CHANGE_DELETE	Sil
GUILD_BUILDING_CHANGE_FIX	Lonca deðiþikliði
GUILD_BUILDING_CHANGE_LIST	Lonca nesneleri listesi
GUILD_BUILDING_DIRECTION	Yön
GUILD_BUILDING_FIX	Deðiþtir
GUILD_BUILDING_GRADE	Sýra
GUILD_BUILDING_INFO	Yapýlar ve masraf bilgileri
GUILD_BUILDING_LIST_TITLE	Bina Listesi
GUILD_BUILDING_LOG	dilb kök
GUILD_BUILDING_NAME	Bina ismi
GUILD_BUILDING_OPERATE	Yönet
GUILD_BUILDING_PLY	Kontrplak
GUILD_BUILDING_POSITION	Pozisyon
GUILD_BUILDING_PREVIEW	Önizleme
GUILD_BUILDING_PRICE	Fiyat
GUILD_BUILDING_REFRESH	Yenile
GUILD_BUILDING_STONE	Taþ
GUILD_BUILDING_TITLE	Lonca Meclis Binalarý
GUILD_CRYSTAL	Kristal
GUILD_DEPOSIT	Depozit
GUILD_DONATE_BUTTON_OVER_TEXT	Rastgele eþya
GUILD_DONATE_COUNT	Mevcut baðýþlar: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Lonca EXP
GUILD_DONATE_HIGH_MATERIAL	Büyük baðýþ
GUILD_DONATE_MEDAL_OF_HONOR	Onur madalyasý
GUILD_DONATE_MIDDLE_MATERIAL	Orta baðýþ
GUILD_DONATE_MY_MEDAL_OF_HONOR	Onur madalyalarým
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Büyük baðýþ
GUILD_DONATE_TAB_MIDDLE	Orta baðýþ
GUILD_DONATE_TAB_NORMAL	Küçük baðýþ
GUILD_DONATE_TITLE	Baðýþ EXP
GUILD_DRAGONLAIR_RANKING	En Ýyiler Listesi
GUILD_DRAGONLAIR_RANKING_COUNT	Sýra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üyeler
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
GUILD_DROP_RESOURCE1	Burada
GUILD_DROP_RESOURCE2	Düþen Kaynak
GUILD_GEM	Deðerli Taþ
GUILD_GRADE_CHANGE_GRADE_NAME	Yeni rütbe ismi
GUILD_GRADE_NUM	No.
GUILD_GRADE_PERMISSION_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILD_GRADE_PERMISSION_DELETE	Loncadan çýkar
GUILD_GRADE_PERMISSION_JOIN	Loncaya oyuncular alabilir
GUILD_GRADE_PERMISSION_NOTICE	Lonca notlarýný asabilir
GUILD_GRADE_PERMISSION_SKILL	Lonca becerileri
GUILD_GRADE_PERMISSION_WAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILD_GRADE_RANK	Sýra
GUILD_GRADE_WRITE	Yaz
GUILD_INFO	Lonca Bilgisi
GUILD_INFO_CUR_EXP	Tecrübe
GUILD_INFO_DECALRE_WAR	Savaþ Ýlaný
GUILD_INFO_ENEMY_GUILD	Düþman Lonca
GUILD_INFO_ENEMY_GUILD_EMPTY	Yok
GUILD_INFO_LEVEL	Lonca Seviyesi
GUILD_INFO_MARK	Lonca Ýmzasý
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Ortalama Seviye
GUILD_INFO_MEMBER_NUM	Üye Sayýsý
GUILD_INFO_NAME	Lonca Ýsmi
GUILD_INFO_NAME_VALUE	Bu bir Lonca ismi
GUILD_INFO_OFFER_EXP	Yatýrým
GUILD_INFO_REST_EXP	Gereken Tecrübe
GUILD_INFO_UPLOAD_MARK	Ýmza Yükle
GUILD_INFO_UPLOAD_SYMBOL	Bayrak Yükle
GUILD_MARK	Lonca Ýmzasý
GUILD_MASTER_CHANGE_TITLEBAR	Lonca liderliðini býrak
GUILD_MEMBER_JOB	Sýnýf
GUILD_MEMBER_KNIGHT	Savaþçý
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Isim
GUILD_MEMBER_OUT_TITLEBAR	Üyeyi çýkar
GUILD_MEMBER_PACE_ATTENDANCE	Katýlým ({0}/{1})
GUILD_MEMBER_RANK	Sýra
GUILD_MEMBER_SPECIFIC_GRAVITY	Yatýrým
GUILD_METIN_STONE	Zihin Taþý
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Lonca
GUILD_RESOURCE_INFO	Kaynak Bilgisi
GUILD_SKILLPAGE_LADDER	Sýralama Puanlarý
GUILD_SKILLPAGE_RANK	Rütbe
GUILD_SKILL_ACTIVE	Aktif
GUILD_SKIlL_HEAL_GSP	Gücü tekrar kazan
GUILD_SKILL_PASSIVE	Pasif
GUILD_SKILL_POWER	Enerji
GUILD_SKILL_STATE	Lonca Becerileri
GUILD_SYMBOL	Lonca Bayraðý
GUILD_WAR_ACCEPT	Savaþ Ýlaný Kabulü
GUILD_WAR_ALLSCORE	Tüm Savaþlar
GUILD_WAR_BATTLE_TYPE	Savaþ Türü
GUILD_WAR_CTF	Bayrak
GUILD_WAR_DECLARE	Lonca Savaþý Ýlaný
GUILD_WAR_ENEMY	Düþman
GUILD_WAR_GAINSCORE	Puanlar
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Savaþ süresi
GUILD_WAR_GAMETIME_SIXTY	60 dak.
GUILD_WAR_GAMETIME_TEN	10 dak.
GUILD_WAR_GAMETIME_THIRTY	30 dak.
GUILD_WAR_JOINMEMBER	Üyeler
GUILD_WAR_JOINMEMBER_COUNT	Üyeler
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Alan
GUILD_WAR_REPORT	Savaþ listesi
GUILD_WAR_REPORTLIST	Übersicht (Savaþlar: S, Galibiyet: G, Maðlubiyet: M, Berabere: B)
GUILD_WAR_SCORE	Savaþ listesi
GUILD_WAR_SKILL	Lonca becerileri
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaþý
GUILD_WAR_TYPE_DIE	Arena Savaþý
GUILD_WAR_TYPE_FLAG	Bayrak Savaþý
GUILD_WAR_TYPE_NORMAL	Meydan Savaþý
GUILD_WAR_TYPE_TIGER	Ýmha Savaþý
GUILD_WAR_TYPE_TIME	Zaman Saldýrýsý
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Turlar
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taþý
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK	Tek seferli saldýrýyý fareyi kullanarak etkinleþtir.
HELP_ATTACK_KEY	Saldýr: sol fare tuþu veya boþluk tuþu ile
HELP_AUTO_ATTACK	Otomatik saldýrýyý fare kullanarak etkinleþtirir.
HELP_CAMERA	Kamera Yönetimi
HELP_CHANGE_PK_MODE	Saldýrý modunu deðiþtir: sol fare tuþu ayarýný deðiþtir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
