TELEPORT_PANEL_TITLE	Teletransportador
TELEPORT_MAP_SPIDERDUNGEON_01_2	Mazmorra de Araña 2
TELEPORT_MAP_SPIDERDUNGEON_01_3	Mazmorra de Araña 3
TELEPORT_MAP_BAHIA_NEFRIT	Bahía de Nephrit
TELEPORT_MAP_TRUENO	Montañas Trueno
TELEPORT_MAP_GAUTAMA	Acantilado de Gautama
TELEPORT_MAP_CABO_DRAG	Cabo de fuego de dragón
TELEPORT_MAP_BOSQ_ENCANT	Bosque Encantado
TELEPORT_MAP_DEAMONTOWER	Torre del demonio
TELEPORT_MAP_DEVILS_CATACOMB	Catacumbas
TELEPORT_MAP_SKIPIA_DUNGEON	Gruta del Exilio
TELEPORT_MAP_SKIPIA_DUNGEON_02	Gruta del Exilio 2
TELEPORT_MAP_BLAZING_PURGATORY	Fortaleza del Dragón Rojo
TELEPORT_MAP_NEMERES_WARTE	La espera de Nemere
TELEPORT_MAP_MAP_1_DESC	Oh sí, el lugar donde suena la música nostálgica. En cualquier caso, este es el centro del comercio. ¡Si quieres comprar algo, siempre encontrarás algo aquí! Pero por lo demás, no hay mucho que encontrar aquí si ya perteneces a los luchadores más fuertes.
TELEPORT_MAP_MAP_2_DESC	Un área importante cuando aún eres joven. Aquí encontrarás monstruos débiles que te ofrecen una buena experiencia hasta el nivel 30. Además, una de las mazmorras de los monos limita aquí.
TELEPORT_MAP_GUILDZONE_DESC	Un área que es importante para los gremios. ¡Estamos construyendo aquí! Pero no solo eso, aquí también se pueden encontrar monstruos. Son agresivos y atacarán solos. Los jugadores jóvenes pueden tener dificultades aquí, pero puedes saquear buenos artículos aquí.
TELEPORT_MAP_SEUNGRYONG_DESC	Valle Orco es el lugar perfecto para subir de nivel desde el nivel 20 hasta alrededor del nivel 50. Además, Orc Valley tiene una de las ubicaciones más populares de Metin Farm. El jefe en este mapa es el orco jefe. Este a menudo está sobrecargado, ¡así que siempre ten cuidado con el Yellow Guy!
TELEPORT_MAP_YONGBI_DESC	Aire caliente, arena en las sandalias. ¿No te gusta? Entonces es mejor que evites este lugar. Pero hay mucho por descubrir aquí. Dos mazmorras de monos están adyacentes aquí, la mazmorra de arañas y el campo de serpientes también se pueden alcanzar desde aquí.
TELEPORT_MAP_SOHAN_DESC	Hace bastante frío aquí arriba, ¡así que abrígate! Aquí rara vez encuentras al legendario Nueve Colas. ¡Cuidado con ellos! También es una buena zona para conquistar piedras metin. Si sobrevives al frío, eres un luchador duro.
TELEPORT_MAP_DOYYUMHWAN_DESC	Volcanes y magma. ¡Hace mucho calor aquí! Los monstruos que se sienten fuera de este mundo se pueden encontrar aquí. ¡No vayas aquí si no eres lo suficientemente fuerte!
TELEPORT_MAP_SNAKEFIELD_DESC	Serpientes y gigantes? Pff... cómo pudo haber resultado eso. Ve a un área peligrosa e intenta sobrevivir aquí. Evite este lugar si realmente no sabe lo que está haciendo, de lo contrario, terminará en poco tiempo.
TELEPORT_MAP_GHOSTWOOD_DESC	Mapa con muchos Monstruos Arboles, metines y un Jefe Malvado.
TELEPORT_MAP_REDWOOD_DESC	Mapa con muchos Monstruos Arboles, metines y un Jefe Malvado.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Si tienes un problema con los tamaños, ¡no vayas aquí! De lo contrario, podrás saquear artículos aquí que podrían traerte fama y fortuna. Por favor, vaya allí bien equipado. ¡El país te necesita aún más!
TELEPORT_BUTTON_RED_EMPIRE	Imperio rojo
TELEPORT_BUTTON_YELLOW_EMPIRE	Imperio amarillo
TELEPORT_BUTTON_BLUE_EMPIRE	Imperio azul
TELEPORT_BUTTON_START	Comienzo
TELEPORT_BUTTON_MIDDLE	Centro
TELEPORT_BUTTON_END	Final
TELEPORT_BUTTON_ENTRY	Entrada
TELEPORT_BUTTON_SKIPIA_1	Gruta 1
TELEPORT_BUTTON_SKIPIA_2	Gruta 2
TELEPORT_BUTTON_SKIPIA_BOSS	Sala del jefe
LOGIN_ACCOUNT_N_S	SIN CUENTA
LOGIN_ACCOUNT_DELETE	ELIMINAR
LOGIN_ACCOUNT_SAVED	GUARDAR
LOGIN_ACCOUNT_EMPTY	CUENTA VACIA
LOGIN_ACCOUNT_CONT	CUENTA
MULTIPLE_BUYS_TITLE	Varias compras
DOGMODE	Modo Perro
ENCHANT_REINFORCE_TITLE	Encanta & Refuerza
PET_HATCHING_TITLE	Incubadora
PET_HATCHING_PRICE	Precio: 100.000 Yang
PET_HATCHING_NAME	Nombre
PET_HATCHING	Abrelo
SKILL_SELECT_1	Elige la doctrina
SKILL_SELECT_2	Aceptar
GUILD_MEMBER_WAR	Guerra
ACCEPT	Aceptar
ACCE_ABSORB	Absorción de las bonificaciones
ACCE_COMBINE	Combinación
ACCE_MAIN	Estola 1
ACCE_RESULT	Resultado
ACCE_SERVE	Estola 2
ATTACH_METIN_INFO	¿Quieres usar la Piedra Espíritu?
ATTACH_METIN_TITLE	Usar Piedra Espíritu
ATTENDANCE_TITLE	Evento Cazajefes
ATTR_67_ADD	Añadir bonificación
ATTR_67_ADD_TITLE	Añadir bonificación
ATTR_67_MATERIAL_SLOT_TITLE	Fragmentos
ATTR_67_REGIST_SLOT_TITLE	Objeto objetivo
ATTR_67_SUPPORT_SLOT_TITLE	Ampliación
AURA_MAIN	Vestimenta del aura
AURA_SUB	Material
AUTO_AUTO_ATTACK	Atacar
AUTO_AUTO_POSITION	Pociones
AUTO_AUTO_RANGE	Alcance
AUTO_AUTO_SKILL	Habilidad
AUTO_CLEAR	Vaciar
AUTO_END	Detener
AUTO_OFF	Apagado
AUTO_ON	Encendido
AUTO_POSITION_SETTING	Pociones
AUTO_SAVE	Guardar
AUTO_SETTING	Ajustes
AUTO_SKILL_SETTING	Habilidades
AUTO_START	Empezar
AUTO_TITLE	Autocaza
BANNER_ATTENDANCE_BUTTON	Evento Cazajefes
BANNER_BLACK_AND_WHITE_BUTTON	Competición de videntes
BANNER_CATCHKING_BUTTON	Atrapa al rey
BANNER_EASTER_BUTTON	PASCUA
BANNER_FISH_BUTTON	ROMPECABEZAS DE PEZ
BANNER_FLOWER_BUTTON	FLORES DE COLORES
BANNER_FOOTBALL_BUTTON	FÚTBOL
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	CACERÍA DE MONSTRUOS
BANNER_MINIBOSS_BUTTON	Apocalipsis del Zodiaco
BANNER_MONSTERBACK_BUTTON	Canjear puntos de vida
BANNER_MYSTERY_BOX_BUTTON	EVENTO DE BOTÍN I
BANNER_MYSTERY_BOX_BUTTON_2	EVENTO DE BOTÍN II
BANNER_NEW_XMAS_BUTTON	NAVIDADES
BANNER_OKEY_BUTTON	Evento Okey
BANNER_OLYMPIC_BUTTON	EVENTO DE LOS HÉROES
BANNER_RAMADAN_BUTTON	RAMADÁN
BANNER_ROULETTE_BUTTON	Ritual de la sangre
BANNER_SOUL_BUTTON	EVENTO DE ALMAS
BANNER_SUMMER_BUTTON	EVENTO DE VERANO
BANNER_VALENTINE_BUTTON	SAN VALENTÍN
BANNER_YUTNORI_BUTTON	Iutnori
BATTLE_FIELD_INFO	Zona de combate
BATTLE_FIELD_OPERATION_TIME	Se puede acceder a la zona de combate entre las %s:00 y las %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Acceso disponible en cualquier momento.
BATTLE_FIELD_OPERATION_TIME_END	La zona de combate permanecerá abierta %s h más.
BATTLE_FIELD_OPERATION_TIME_NA	Actualmente no se puede acceder.
BATTLE_FIELD_OPERATION_TIME_OPEN	Acceso disponible en %s h durante %s h.
BATTLE_FILED_RANK	Clasificación
BATTLE_FILED_RANK_EMPIRE	Reino
BATTLE_FILED_RANK_NAME	Nombre
BATTLE_FILED_RANK_POINT	Puntos
BNW_GAME_UI_COM	Enemigo
BNW_RANK_UI_COUNT	Número de donaciones
BNW_RANK_UI_NAME	Nombre
BNW_RANK_UI_RANK	Clasificación
CANCEL	Cancelar
CHANGE_ATTR_SELECT	Modificar bonificación
CHANGE_PASSWORD_CONFIRM	Repetir contraseña
CHANGE_PASSWORD_NEW	Nueva Contraseña
CHANGE_PASSWORD_OLD	Vieja Contraseña
CHANGE_PASSWORD_TITLE	Cambio de Contraseña
CHARACTER_ACTION	Acción
CHARACTER_EMOTICON	Emoción
CHARACTER_MAIN	Carácter
CHARACTER_MUTUAL_ACTION	Acción Mútua
CHARACTER_NORMAL_ACTION	Acción Normal
CHARACTER_QUEST	Misiones
CHARACTER_SKILL	Habilidades
CHARACTER_SPECTIAL_ACTION	Acciones especiales
CHAT_FILTER	Filtro del chat
CHAT_FILTER_DICE	Dado
CLOSE	Cerrar
COMB_APPEARANCE	Receptor
COMB_ATTRIBUTE	Original
COMB_MAIN	Receptor
COMB_MATERIAL	Original
COMB_SKILLBOOK_TILE	Canjear libros
COSTUME_TITLE	Atuendos
COSTUME_WINDOW_TITLE	Atuendos
CREATE_ATT_GRADE	STR
CREATE_CREATE	Crear
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puntos
CREATE_MAN	Hombre
CREATE_NAME	Nombre
CREATE_NEXT	Siguiente
CREATE_PREV	Atrás
CREATE_SEX	Género
CREATE_SHAPE	Forma
CREATE_SP	INT
CREATE_STAT_RESET	Resetear
CREATE_WOMAN	Mujer
CUBE_INFO_TITLE	Manual de refinamiento
CUBE_RENEWAL_BELT_IMPROVE	Aumentar proba.
CUBE_RENEWAL_TITLE	Refinamiento
CUBE_REQUIRE_MATERIAL	Materiales necesarios
CUBE_REQUIRE_MATERIAL_OR	o
CUBE_TITLE	Ventana de refinamiento
CURRENT_POINT	Puntuación actual: %s
CZ_REWARD_WINDOW_TITLE	Templo del Zodíaco
DO_CHANGE_ATTR	Aplicar
DO_REFINE	Refinar
DO_REFINE_ALL	Refinar todos
DRAGONSOUL_ACTIVATE	Activar
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Modificar bonificación de Piedras dragón míticas
DRAGONSOUL_PAGE_BUTTON_1	En bruto
DRAGONSOUL_PAGE_BUTTON_2	Afilado
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antiguo
DRAGONSOUL_PAGE_BUTTON_5	Legendario
DRAGONSOUL_PAGE_BUTTON_6	Mítico
DRAGONSOUL_REFINE_WINDOW_TITLE	Ventana de refinamiento
DRAGONSOUL_TAP_TITLE_1	Diamante de dragón: %s
DRAGONSOUL_TAP_TITLE_2	Rubí de dragón: %s
DRAGONSOUL_TAP_TITLE_3	Jade de dragón: %s
DRAGONSOUL_TAP_TITLE_4	Zafiro de dragón: %s
DRAGONSOUL_TAP_TITLE_5	Granate de dragón: %s
DRAGONSOUL_TAP_TITLE_6	Ónice de dragón: %s
DRAGONSOUL_TITLE	Alquimia de Piedras dragón
DUTCHAUCTION_BUTTON	¡Ir!
DUTCHAUCTION_TITLE	Oferta relámpago
EMPIRE_A	Shinsoo
EMPIRE_ALL	Todos
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Salir
EMPIRE_NEXT	Siguiente
EMPIRE_PREV	Atrás
EMPIRE_SELECT	Elegir
END_TIME	Evento en curso
ENTER_BATTLE_FIELD	Acceder
EVENT_ALARM_TITLE	Vista general de eventos
EVENT_NAME_TITLE	Nombre
EVENT_REWARD_TITLE	Recompensa
EXCHANGE_ACCEPT	Vale
EXCHANGE_TITLE	Comerciar
EXIT_BATTLE_FIELD	¿De verdad quieres abandonar la zona de combate?
EXIT_BATTLE_FIELD_ON_DEAD	¿Quieres abandonar la zona de combate con %d punto(s)?
EXPIRED_TIME	El evento ha terminado.
FISHING_RENEWAL_TITLE	Pesca
FRAGMENT_COMB_TITLE	Combinar manuales de habilidad
GAMEOPTION_TITLE	Opciones del Juego
GAME_EXIT_OBSERVER	Finalizar Modo Observador
GAME_GUILD_WAR_JOIN	Acceder a guerra de gremios
GAME_QUEST	Tareas
GAME_SKILL_UP	Aumentar Habilidades
GAME_STAT_UP	Aumentar Estado
GEMSHOP_LEFTTIME	Tiempo restante
GEMSHOP_TITLA	MERCADO DE GAYA
GRADE	Clase
GRADE_SELECT	Clase
GRAPHICONOFF_DROP_ITEM_APPLY	Aplicar
GRAPHICONOFF_DROP_ITEM_LEVEL	Caída de objetos
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostrar efecto y nombre
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Ocultar efecto
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Ocultar efecto y nombre
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Ocultar objetos y nombre al pasar el ratón
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	No mostrar objetos y nombre
GRAPHICONOFF_EFFECT_APPLY	Aplicar
GRAPHICONOFF_EFFECT_LEVEL	Efectos
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostrar todos
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Solo efectos propios y de monstruos
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Solo efectos propios y de jugadores
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Solo propios
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	No mostrar nada
GRAPHICONOFF_NPC_NAME_STATUS	Nombres de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_OFF	No
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Ocultar nombres de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_ON	Sí
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostrar nombres de PNJ
GRAPHICONOFF_PET_STATUS	Mascotas
GRAPHICONOFF_PET_STATUS_OFF	No
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Ocultar mascota
GRAPHICONOFF_PET_STATUS_ON	Sí
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostrar mascota
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Aplicar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Tiendas privadas
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostrar todas
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostrar todas en un entorno grande
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostrar todas en un entorno mediano
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostrar todas en el entorno cercano
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostrar todas en el entorno directo
GUILDWINDOW_BASE_BUFF	Bonificación de gremio
GUILD_ATTENDANCE_LOCA1	Primera participación: 1 Medalla del valor
GUILD_ATTENDANCE_LOCA2	10 o más: 1 Medalla del valor
GUILD_ATTENDANCE_LOCA3	20 o más: 2 Medallas del valor
GUILD_ATTENDANCE_LOCA4	30 o más: 4 Medallas del valor
GUILD_ATTENDANCE_LOCA5	40 o más: 6 Medallas del valor
GUILD_ATTENDANCE_LOCA6	50 o más: 8 Medallas del valor
GUILD_ATTENDANCE_LOCA7	60 o más: 10 Medallas del valor
GUILD_ATTENDANCE_LOCA8	70 o más: 12 Medallas del valor
GUILD_ATTENDANCE_LOCA9	Inicio de participación: a diario a las 5:00 h
GUILD_ATTENDANCE_TITLE	Recompensa por participación
GUILD_BANKINFO_CLOSE	Cerrar
GUILD_BANKINFO_NAME	Miembro
GUILD_BANKINFO_TITLE	Registro del almacén del gremio
GUILD_BANKINFO_TYPE	Objeto/Moneda
GUILD_BANKINFO_USETYPE	Acción
GUILD_BANK_CLOSE	Cerrar
GUILD_BANK_INFO	Almacén:
GUILD_BASEINFO_BANK	Almacén del gremio
GUILD_BASEINFO_BANKLASTOUT	Última extracción
GUILD_BASEINFO_BUILDING	Edificio del gremio
GUILD_BASEINFO_FACTORY	Herrero del gremio
GUILD_BASEINFO_GUILDLAND	Terreno del gremio
GUILD_BASEINFO_LANDSCAPE	Otros
GUILD_BASEINFO_LOCALE	Ubicación
GUILD_BASEINFO_MONEY	Estado de cuenta
GUILD_BASEINFO_MONEYBANKINFO	Información del banco del gremio
GUILD_BASEINFO_MONEYLASTOUT	Última extracción
GUILD_BASEINFO_POWER	Altar del poder
GUILD_BASEINFO_SMEITER	Alquimista del gremio
GUILD_BASEINFO_TITLE	Información del terreno
GUILD_BASENAME	Nombre Base
GUILD_BOARD_ID	Nombre
GUILD_BOARD_REFRESH	Actualizar
GUILD_BOARD_TEXT	Mensaje
GUILD_BUILDING_CATEGORY_TITLE	Unidades de Construcción
GUILD_BUILDING_CHANGE	Cambiar
GUILD_BUILDING_CHANGE_DELETE	Borrar
GUILD_BUILDING_CHANGE_FIX	Modificación de gremio
GUILD_BUILDING_CHANGE_LIST	Lista de objetos del gremio
GUILD_BUILDING_DIRECTION	Orientación
GUILD_BUILDING_FIX	Modificación
GUILD_BUILDING_GRADE	Clasificación
GUILD_BUILDING_INFO	Información de Construcciones y Coste
GUILD_BUILDING_LIST_TITLE	Lista de Construcciones
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nombre de Construcción
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Chapeado
GUILD_BUILDING_POSITION	Posición
GUILD_BUILDING_PREVIEW	Vista Previa
GUILD_BUILDING_PRICE	Precio
GUILD_BUILDING_REFRESH	Actualizar
GUILD_BUILDING_STONE	Piedra
GUILD_BUILDING_TITLE	Construcción de la Casa del Gremio
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depósito
GUILD_DONATE_BUTTON_OVER_TEXT	Objeto aleatorio
GUILD_DONATE_COUNT	Donaciones disponibles: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	EXP de gremio
GUILD_DONATE_HIGH_MATERIAL	Donación grande
GUILD_DONATE_MEDAL_OF_HONOR	Medalla del valor
GUILD_DONATE_MIDDLE_MATERIAL	Donación mediana
GUILD_DONATE_MY_MEDAL_OF_HONOR	Mis Medallas del valor
GUILD_DONATE_NORMAL_MATERIAL	120 000 de Yang
GUILD_DONATE_TAB_HIGH	Donación grande
GUILD_DONATE_TAB_MIDDLE	Donación mediana
GUILD_DONATE_TAB_NORMAL	Donación pequeña
GUILD_DONATE_TITLE	EXP de donación
GUILD_DRAGONLAIR_RANKING	Lista de los mejores
GUILD_DRAGONLAIR_RANKING_COUNT	Puesto
GUILD_DRAGONLAIR_RANKING_MEMBER	Miembros
GUILD_DRAGONLAIR_RANKING_NAME	Gremio
GUILD_DRAGONLAIR_RANKING_TIME	Tiempo
GUILD_DROP_RESOURCE1	Aquí
GUILD_DROP_RESOURCE2	Dejar Recurso
GUILD_GEM	Gema
GUILD_GRADE_CHANGE_GRADE_NAME	Nuevo nombre de rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Puede utilizar el banco y el almacén del gremio
GUILD_GRADE_PERMISSION_DELETE	Expulsar del gremio
GUILD_GRADE_PERMISSION_JOIN	Puede incorporar miembros al gremio
GUILD_GRADE_PERMISSION_NOTICE	Puede publicar notas del gremio
GUILD_GRADE_PERMISSION_SKILL	Habilidades del gremio
GUILD_GRADE_PERMISSION_WAR	Puede seleccionar miembros para que participen como guerreros
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Escribir
GUILD_INFO	Información del Gremio
GUILD_INFO_CUR_EXP	Experiencia
GUILD_INFO_DECALRE_WAR	Declarar Guerra
GUILD_INFO_ENEMY_GUILD	Gremio Enemigo
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_INFO_LEVEL	Nivel del Gremio
GUILD_INFO_MARK	Simbolo del Gremio
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel Medio
GUILD_INFO_MEMBER_NUM	Nº de miembros
GUILD_INFO_NAME	Nombre Gremio
GUILD_INFO_NAME_VALUE	Esto es el nombre de un Gremio
GUILD_INFO_OFFER_EXP	Invertir
GUILD_INFO_REST_EXP	Exp. Necesaria
GUILD_INFO_UPLOAD_MARK	Subir Símbolo
GUILD_INFO_UPLOAD_SYMBOL	Subir Bandera
GUILD_MARK	Símbolo del Gremio
GUILD_MASTER_CHANGE_TITLEBAR	Renunciar a liderazgo del gremio
GUILD_MEMBER_JOB	Clase
GUILD_MEMBER_KNIGHT	Guerrero
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nombre
GUILD_MEMBER_OUT_TITLEBAR	Expulsar miembro
GUILD_MEMBER_PACE_ATTENDANCE	Participación ({0}/{1})
GUILD_MEMBER_RANK	Clasificación
GUILD_MEMBER_SPECIFIC_GRAVITY	Invertido
GUILD_METIN_STONE	Piedra Espiritu
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Gremio
GUILD_RESOURCE_INFO	Información de los Recursos
GUILD_SKILLPAGE_LADDER	Puntos de clasificación
GUILD_SKILLPAGE_RANK	Clasificación
GUILD_SKILL_ACTIVE	Activo
GUILD_SKIlL_HEAL_GSP	Recobrar Poder
GUILD_SKILL_PASSIVE	Pasivo
GUILD_SKILL_POWER	Energía
GUILD_SKILL_STATE	Habilidades del Gremio
GUILD_SYMBOL	Bandera del Gremio
GUILD_WAR_ACCEPT	Aceptar Declaración de Guerra
GUILD_WAR_ALLSCORE	Todas las luchas
GUILD_WAR_BATTLE_TYPE	Tipo de bat.
GUILD_WAR_CTF	Bandera
GUILD_WAR_DECLARE	Declarar Guerra de Gremios
GUILD_WAR_ENEMY	Enemigo
GUILD_WAR_GAINSCORE	Puntos
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Tiempo de lucha
GUILD_WAR_GAMETIME_SIXTY	60 min
GUILD_WAR_GAMETIME_TEN	10 min
GUILD_WAR_GAMETIME_THIRTY	30 min
GUILD_WAR_JOINMEMBER	Miembros
GUILD_WAR_JOINMEMBER_COUNT	Miembros
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campo
GUILD_WAR_REPORT	Resumen de guerra
GUILD_WAR_REPORTLIST	Resumen (Luchas: L, Victorias: V, Derrotas: D, Empate: E)
GUILD_WAR_SCORE	Resumen de guerra
GUILD_WAR_SKILL	Habilidades del gremio
GUILD_WAR_TYPE_DEFENSE	Lucha de escudos
GUILD_WAR_TYPE_DIE	Lucha en la arena
GUILD_WAR_TYPE_FLAG	Lucha por bandera
GUILD_WAR_TYPE_NORMAL	Batalla de campo
GUILD_WAR_TYPE_TIGER	Lucha de destrucción
GUILD_WAR_TYPE_TIME	Ataque temporal
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Rondas
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Agua
GUILD_WATER_STONE	Piedra de Agua
GUILD_WITHDRAW	Coger
HELP_ATTACK	Activa ataques simples al hacer clic con el ratón.
HELP_ATTACK_KEY	Atacar: botón izquierdo del ratón o barra espaciadora
HELP_AUTO_ATTACK	Activa el ataque automático al hacer clic con el ratón.
HELP_CAMERA	Vista de la cámara
HELP_CHANGE_PK_MODE	Cambiar modo de ataque: cambia la configuración del botón izquierdo del ratón
HELP_CHARACTER_BUTTON1	(Ventana de Personaje, Ventana de Inventario,
HELP_CHARACTER_BUTTON2	Lista de Amigos y Opciones)
HELP_CHAT	Si quieres chatear con un grupo específico, introduce delante de tu mensaje: !(chatllamada), #(chatgrupo) o %(chatgremio).
HELP_CLICK_OTHER_PLAYER	Al hacer clic con el botón secundario sobre otro jugador puedes comerciar, formar un grupo o desafiarlo a un duelo.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Vista de la cámara predeterminada: botón central del ratón
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Modificar ajustes de vista de la cámara: botón izquierdo o derecho del ratón
HELP_EMOTINO	El atajo de teclado <Ctrl> + <1~9> te permite mostrar emociones.
HELP_EXP	Experiencia
HELP_FURY	Tienda de objetos en el Juego
HELP_GUILD_WINDOW	Abrir Ventana del Gremio: Alt + G
HELP_HELP	Mostrar ayuda: H
HELP_HELP_KEY	En la pantalla de ayuda se muestran los ajustes por defecto.
HELP_HP	Puntos de vida (HP)
HELP_KEYSETTING	Puedes configurar tus propios atajos del teclado en las opciones del juego.
HELP_MESSENGER_WINDOW	Abrir Lista de Amigos: Alt + M
