TARGET_INFO_DROP_ITEMS	Información de Ítems Dropeables
SKILL_SELECT_1A	Corporal
SKILL_SELECT_1B	Mental
SKILL_SELECT_2A	Asesino
SKILL_SELECT_2B	Arquero
SKILL_SELECT_3A	Armamento
SKILL_SELECT_3B	Magia negra
SKILL_SELECT_4A	Dragón
SKILL_SELECT_4B	Luz
SKILL_SELECT_DIALOG1	¡Tienes que elegir una doctrina!
SKILL_SELECT_DIALOG2	¿Quieres aprender el estilo: %s?
ACCE_ABSORB_COST	Precio de la absorción: %d
ACCE_ALREADY_REGISTER	Este objeto ya se está utilizando.
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_DEL_SERVEITEM2	Si falla la combinación, la Estola 2 quedará destruida.
ACCE_INITEM	Arrastra los objetos a la ventana.
ACCE_MAXGRADE	Ya está personalizada.
ACCE_MAX_DRAINRATE	Tasa de absorción máxima
ACCE_NOTABSORBITEM	No puedes usar un arma o armadura que ya se haya absorbido.
ACCE_NOT_SEALITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
ACCE_NOT_USINGITEM	No puedes combinar un objeto equipado.
ACCE_NOT_WINDOWOPEN	No puedes usar el objeto mientras la ventana de combinación se encuentre abierta.
ACCE_POSSIBLE_ACCE	Solo puedes usar Estolas.
ACCE_POSSIBLE_ACCEITEM	Solo puedes extraer bonificaciones de armas y armaduras.
AFF_LOVE_POINT	Puntos de amor: %d%%
ALIGNMENT_NAME	Puntos de clasificación:
ATTACK_ERROR_UNKNOWN	Error desconocido de ataque: %s
ATTENDANCE_REWARD_QUESTION	¿Quieres recibir tu recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	No puedes utilizar este objeto mientras se está añadiendo una bonificación.
ATTR_6TH_7TH_ADD_QUESTION2	¿Seguro que quieres añadir la bonificación?
ATTR_6TH_7TH_CHANGE_FAIL	No puedes modificar la bonificación.
ATTR_6TH_7TH_DESC1	a) Debes introducir los materiales necesarios para el objeto para poder añadir la 6.ª y 7.ª bonificación.
ATTR_6TH_7TH_DESC2	b) Cada fragmento aumenta la tasa de éxito en un 2 %.
ATTR_6TH_7TH_DESC3	c) Utiliza una ampliación para aumentar la tasa de éxito de forma adicional.
ATTR_6TH_7TH_DESC4	d) Hacen falta 24 horas para añadir la bonificación. El PNJ se quedará con el objeto al que se añadirá la bonificación. En cuanto el proceso haya finalizado, podrás volver a recogerlo.
ATTR_6TH_7TH_POSSIBILITY	Puedes añadir una bonificación adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilidad de éxito: %.1f%%
AURA_DRAIN_PER	Tasa de absorción %.1f %%
AURA_EVOLUTION_GOLD	[Aura] No hay suficiente Yang para desarrollar.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No es posible transferir más bonificaciones.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] No se pueden utilizar objetos equipados.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] No se puede desarrollar.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] La cantidad de objetos no es suficiente para desarrollar.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] No se puede mejorar.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Solo es posible para Vestimenta del aura, Escudo, Collar, Pendientes y Pulsera.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Los objetos unidos al alma no se pueden transferir.
AURA_ITEM_NEED_REGISTER	[Aura] Tienes que añadir objetos.
AURA_LEVEL_STEP	Nv. %d (evolución %d)
AURA_MAX_LEVEL	[Aura] La Vestimenta del aura ha llegado al nivel máximo.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Se destruirá el objeto transferido.
AURA_OPEN_OTHER_WINDOW	No puedes realizar esta acción mientras esté abierta una ventana de mejora, desarrollo o transferencia de valores.
AURA_POSSIBLE_AURAITEM	[Aura] Solo es posible para la Vestimenta del aura.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Primero tienes que asignar la Vestimenta del aura.
AURA_TITLE_ABSORB	Transferir valores a la Vestimenta del aura
AURA_TITLE_EVOLUTION	Desarrollar la Vestimenta del aura
AURA_TITLE_GROWTH	Mejorar la Vestimenta del aura
AURA_TOOLTIP_EXP	EXP (%d%%/100%%)
AURA_TOOLTIP_LEVEL	Nv. %d (nivel %d) (Tasa de absorción %.1f %%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nuevo
AURA_TOOLTIP_NOW	Novedad
AURA_TOOLTIP_RESOURCE	Objeto de consumo
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Habilidades: selecciona habilidades para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE2	Atención: Debajo de cada habilidad puedes editar su intervalo de activación (en segundos).
AUTO_TOOLTIP_LINE3	Pociones: selecciona pociones para el combate y arrástralas a las casillas. (Premium)
AUTO_TOOLTIP_LINE4	Atención: Las pociones de HP y de SP se activan cuando se sobrepasa el valor (en porcentaje) introducido debajo de la poción.
AUTO_TOOLTIP_TITLE	Ayuda de la autocaza
BATTLE_POINT	Puntos de combate
BEAD	Esfera ánima
BEAD_TIME_REMAINING_TO_GET	La Esfera ánima se recargará en %d min.
BNW_COIN	Moneda de vidente
BUY_LIMIT_LEVEL	Límite de compra: %s
CANNOT_ATTACK_DEST_IN_SAFE	El combatiente está demasiado lejos.
CANNOT_ATTACK_SELF_IN_SAFE	No puedo atacar.
CANNOT_EQUIP_IN_EXCHANGE	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_EQUIP_IN_SHOP	No puedes cambiar ningún equipamiento mientras comercias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	No puedes abrir un almacén privado en un área pública.
CANNOT_SHOOT_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SHOOT_EMPTY_ARROW	Necesito una flecha.
CANNOT_SHOOT_SELF_IN_SAFE	No puedo hacer eso.
CANNOT_SKILL_APPROACH	Estoy seguro de que no puedo acercarme más.
CANNOT_SKILL_ATTACK	No puedo atacar.
CANNOT_SKILL_BLUE	Si el Alma lobuna escarlata se encuentra activa, no puedes utilizar el Alma lobuna índigo.
CANNOT_SKILL_DEST_IN_SAFE	El enemigo está demasiado lejos.
CANNOT_SKILL_EQUIP_FISHING_ROD	No puedes pescar peces si no tienes equipada una caña.
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_RED	Si el Alma lobuna índigo se encuentra activa, no puedes utilizar el Alma lobuna escarlata.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_USE	No se puede usar.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloqueado el susurro.	SA
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.	SA
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien si has bloqueado el susurro.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armaduras
CATEGORY_ARMOR_ARMOR_HEAD	Cascos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Atuendos
CATEGORY_COSTUMES_COSTUME_BODY	Atuendos
CATEGORY_COSTUMES_COSTUME_HAIR	Peinados
CATEGORY_COSTUMES_COSTUME_WEAPON	Aspectos para armas
CATEGORY_COSTUMES_ETC	Otros
CATEGORY_COSTUMES_SASH	Estolas
CATEGORY_DRAGON_STONE	Alquimia de Piedras dragón
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granate
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubí
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafiro
CATEGORY_DRAGON_STONE_ETC	Otros
CATEGORY_EQUIPMENT_ARMOR	Equipamiento
CATEGORY_EQUIPMENT_JEWELRY	Joyas
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Otros
CATEGORY_ETC_ETC	Otros
CATEGORY_ETC_EVENT	Objetos de evento
CATEGORY_ETC_GIFTBOX	Baúles | Cajas
CATEGORY_ETC_MATRIMORY	Bodas
CATEGORY_ETC_PARTI	Manuales del arte de guerra
CATEGORY_ETC_POLYMORPH	Bolas polimorfas
CATEGORY_ETC_RECIPE	Creación de pociones
CATEGORY_ETC_SEAL	Unión al alma
CATEGORY_FISHING_PICK	Pesca | Minería
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picos
CATEGORY_FISHING_PICK_ETC	Otros
CATEGORY_FISHING_PICK_FISHING_POLE	Cañas de pescar
CATEGORY_FISHING_PICK_FOOD	Peces
CATEGORY_FISHING_PICK_PICK_BOOK	Libros de minería
CATEGORY_FISHING_PICK_STONE	Minerales
CATEGORY_JEWELRY_ARMOR_EAR	Pendientes
CATEGORY_JEWELRY_ARMOR_FOOTS	Zapatos
CATEGORY_JEWELRY_ARMOR_NECK	Collares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismán
CATEGORY_JEWELRY_ARMOR_WRIST	Brazaletes
CATEGORY_JEWELRY_ITEM_BELT	Cinturones
CATEGORY_MOUNT_PET	Monturas | Mascotas
CATEGORY_MOUNT_PET_CHARGED_PET	Mascotas
CATEGORY_MOUNT_PET_EGG	Huevos de mascota
CATEGORY_MOUNT_PET_FREE_PET	Mascotas desarrollables
CATEGORY_MOUNT_PET_MOUNT	Monturas
CATEGORY_POTION	Pociones
CATEGORY_POTION_ABILITY	Consumibles
CATEGORY_POTION_ETC	Otros
CATEGORY_POTION_HAIRDYE	Tintes del pelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libros del olvido
CATEGORY_SKILL_ETC	Otros
CATEGORY_SKILL_PAHAE	Contraataque | Potenciación
CATEGORY_SKILL_SKILL_BOOK	Manuales de habilidad
CATEGORY_TUNING	Mejoras
CATEGORY_TUNING_ETC	Otros
CATEGORY_TUNING_RESOURCE	Materiales
CATEGORY_TUNING_STONE	Piedras espíritu
CATEGORY_UNIQUE	Objetos especiales
CATEGORY_UNIQUE_ABILITY	Consumibles
CATEGORY_UNIQUE_ETC	Otros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campanas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Puñales
CATEGORY_WEAPON_WEAPON_FAN	Abanicos
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanzas
CATEGORY_WEAPON_WEAPON_QUIVER	Carcajes
CATEGORY_WEAPON_WEAPON_SWORD	Armas a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas a dos manos
CHANGE_ALREADY_REGISTER	[Transfiguración] Este objeto ya se ha registrado.
CHANGE_LOOK_CHANGE_ITEM	¿Quieres transfigurar el objeto?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transfiguración] Por favor, retira primero el objeto sobre el que quieres aplicar la transfiguración.
CHANGE_LOOK_COST	Precio por transfiguración: %s Yang
CHANGE_LOOK_DEL_ITEM	El objeto en cuestión se borra.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transfiguración] Este objeto no se puede transfigurar.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transfiguración] No puedes transfigurar el objeto mientras esté en uso.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transfiguración] Este objeto no se puede registrar.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transfiguración] El objeto está unido al alma.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transfiguración] Por favor, registra el objeto que quieres transfigurar.
CHANGE_LOOK_INSERT_ITEM	[Transfiguración] Primero tienes que registrar el objeto.
CHANGE_LOOK_NEED_MONEY	No tienes suficiente Yang o suficientes objetos.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transfiguración] Esta acción no es posible mientras esté abierta la ventana "Transfiguración".
CHANGE_LOOK_TITLE	Transfiguración
CHANGE_LOOK_TITLE2	Transformación de montura
CHANGE_PET_PLEASE_APPEND_FIRST	Primero hay que seleccionar una mascota.
CHANGE_TOOLTIP2_LINE1	Añade a la izquierda el objeto de destino y a la derecha, el material.
CHANGE_TOOLTIP2_LINE2	Marca la opción para utilizar Yang o una Marca de transformación y cambia la apariencia de tu montura.
CHANGE_TOOLTIP2_LINE3	La marca de transformación modifica la apariencia de tu montura sin gastar Yang. (La marca se destruirá).
CHANGE_TOOLTIP2_LINE4	Si se modifica la apariencia de la montura con una duración, se mantiene la duración original.
CHANGE_TOOLTIP2_LINE5	Si la montura de destino es permanente y el material dispone de una duración concreta, la montura mantendrá la nueva apariencia con la duración del material.
CHANGE_TOOLTIP_LINE1	Coloca el objeto que quieres transfigurar a la izquierda.
CHANGE_TOOLTIP_LINE2	Coloca el otro objeto a la derecha.
CHANGE_TOOLTIP_LINE3	El aspecto del objeto de la izquierda cambia cuando
CHANGE_TOOLTIP_LINE4	confirmas las transfiguración (V) y se te extrajo el Yang correspondiente.
CHANGE_TOOLTIP_LINE5	Cuando utilizas este objeto,
CHANGE_TOOLTIP_LINE6	puedes transfigurar objetos sin tener que usar Yang.
CHANGE_TOOLTIP_TITLE	Transfiguración
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No se ha encontrado ninguna información a través de este canal.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_STATUS_BUSY	Muy frecuentado
CHANNEL_STATUS_FULL	Lleno
CHANNEL_STATUS_OFFLINE	Desconocido
CHANNEL_STATUS_RECOMMENDED	Recomendado
CHANNEL_STATUS_VACANT	Poco frecuentado
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crear personaje
CHARACTER_NAME	Nombre
CHARACTER_SELECT_MODE	Seleccionar personaje
CHARGE_BEAD_QUESTION	Esferas ánima necesarias: %d. ¿Deseas continuar?
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Tirada
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Protocolo del chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	No puedes tirar dinero.
CHEQUE_SYSTEM_PICK_WON	Has obtenido %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Precio de venta]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Nivel
CLEAR_TIME	Tiempo
ClosePetChangeWndButton	Cerrar
COMB_ACCE_IS_CONTINUE_PROCESS	¿Deseas continuar?
COMB_ACCE_WARNING_MESSAGE	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito. La transferencia puede fallar. La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WARNING_MESSAGE1	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ACCE_WARNING_MESSAGE2	La transferencia puede fallar.
COMB_ACCE_WARNING_MESSAGE3	La tasa de absorción del receptor disminuirá en caso de fallo o éxito parcial.
COMB_ACCE_WILL_REMOVE_MATERIAL	El original se destruirá si el proceso se completa con éxito o parcialmente con éxito.
COMB_ALREADY_APPEND	Este objeto ya se ha seleccionado.
COMB_CANT_APPEND_ITEM	No se puede utilizar este objeto.
COMB_CANT_APPEND_SEALED_ITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
COMB_CANT_BASE_ITEM	Si una estola ya tiene alguna bonificación, no podrá ser receptora.
COMB_CANT_MATCH_DRAINRATE	La tasa de absorción de ambos objetos tiene que ser idéntica para realizar una transferencia de bonificación.
COMB_CANT_MATCH_GRADE	El grado de ambos objetos tiene que ser idéntico para realizar una transferencia de bonificación.
COMB_CANT_MATERIAL_ITEM	El objeto original tiene que tener una bonificación.
COMB_COST	Precio: %s
COMB_IS_CONTINUE_PROCESS	¿Quieres continuar?
COMB_NOTICE	No puedes abrir una tienda privada mientras canjeas libros.
COMB_NOTICE_NOT_OPEN	No puedes canjear libros si has abierto una tienda privada.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Para transferir bonificaciones se necesita un objeto original, un receptor y uno de transferencia.
COMB_NOT_FULL_BOOK	No, así no vamos a hacer negocios. Como ya te expliqué, solamente canjeo libros si me puedes traer al menos 10 de ellos.
COMB_NOT_ITEM_IN_INVENTORY	No puedes utilizar un objeto equipado.
COMB_NOT_MEDIUM_ITEM	No se puede utilizar este objeto.
COMB_WILL_REMOVE_MATERIAL	El original se destruirá en caso de éxito.
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_ERROR_LIMIT_LEVEL	Tu personaje tiene que haber alcanzado el nivel 80 como mínimo.
CREATE_ERROR_TIME_LIMIT	Puedes crear un personaje cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nombre de personaje no es válido.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_FULL	No puedes crear más personajes.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
CUBE_CATEGORY_ACCESSORY	Joyas
CUBE_CATEGORY_ARMOR	Armadura
CUBE_CATEGORY_BELT	Cinturones
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_WEAPON	Arma
CUBE_MAKE_CONFIRM_QUESTION_1	Al menos un objeto utilizado es especialmente valioso (tiene más de %d bonificaciones).
CUBE_MAKE_CONFIRM_QUESTION_2	¿Seguro que quieres continuar?
CUBE_NOT_ENOUGH_GOLD	No dispones de suficiente Yang para la fabricación.
CUBE_NOT_ENOUGH_MATERIAL	No dispones de suficiente material para la fabricación.
CUBE_PLEASE_SELECT	No se ha seleccionado ningún objeto.
CZ_REWARD_QUESTION_COMPLETE	¿Quieres canjear esta casilla?
CZ_REWARD_TOOLTIP_10GAN	Insignias del zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_12ZI	Insignias de guardián
CZ_REWARD_TOOLTIP_12ZI_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro estrellado
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Haz clic aquí para recoger tu Tesoro estrellado como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Haz clic aquí para recoger tu Tesoro de aventurina como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Haz clic aquí para recoger tu Tesoro de aureolina como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Canjear
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro de aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesoros de aventurina canjeados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Día
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Viernes
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunes
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado / domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Jueves
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martes
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miércoles
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro de aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesoros de aureolina canjeados: %d
DAY	d
DETAILS_10	Fza. c. mon. desier.
DETAILS_11	Fuerza c. insectos
DETAILS_14	Daño medio
DETAILS_15	Res. a daño medio
DETAILS_16	Daño de habilidad
DETAILS_17	Resist. daño de habilidad
DETAILS_19	Ataque mágico
DETAILS_20	Prob. golpe crítico
DETAILS_21	Golpe perforador
DETAILS_22	Resistencia a golpe crítico
DETAILS_23	Resistencia a golpe perf.
DETAILS_24	Resistencia a relámpago
DETAILS_25	Resistencia a hielo
DETAILS_26	Resistencia a oscuridad
DETAILS_27	Resistencia a fuego
DETAILS_28	Resistencia a viento
DETAILS_29	Resistencia a tierra
DETAILS_3	Fuerza contra orcos
DETAILS_30	Poder del relámpago
DETAILS_31	Poder del hielo
DETAILS_32	Poder de oscuridad
DETAILS_33	Poder del fuego
DETAILS_34	Poder del viento
DETAILS_35	Poder de la tierra
DETAILS_36	Fza. c. Guerreros
DETAILS_37	Fuerza contra Ninjas
DETAILS_38	Fuerza contra Suras
DETAILS_39	Fuerza c. Chamanes
DETAILS_4	Fza. c. muertos viv.
DETAILS_40	Fuerza c. Lícanos
DETAILS_41	Defensa c. Guerreros
DETAILS_42	Defensa c. Ninjas
DETAILS_43	Defensa contra Suras
DETAILS_44	Defensa c. Chamanes
DETAILS_45	Defensa c. Lícanos
DETAILS_46	Defensa c. espadas
DETAILS_47	Defensa c. dos manos
DETAILS_48	Defensa contra dagas
DETAILS_49	Defensa c. garras
DETAILS_5	Fuerza c. monstruos
DETAILS_50	Defensa c. campanas
DETAILS_51	Defensa c. abanicos
DETAILS_52	Defensa c. flechas
DETAILS_53	Probabilidad desmayo
DETAILS_54	Probabilidad retardo
DETAILS_55	Prob. envenenamiento
