TELEPORT_PANEL_TITLE	teletrasporto
LOGIN_ACCOUNT_SAVED	SALVA
LOGIN_ACCOUNT_CONT	ACCOUNT
LOGIN_ACCOUNT_EMPTY	CONTO VUOTO
REMAINING_PLAYER	Giocatori rimanenti: 0
YOUR_KILL	Le tue uccisioni: 0
HIDE_TERRAIN_ZONE	Zona del terreno - Visibile
CONFIRM	Conferma
BATTLE_ROYALE_SELECT_TITLE	Seleziona il tuo personaggio Battle Royale
MULTIPLE_BUYS_TITLE	Acquisti multipli
DOGMODE	Modal. Cane
ENCHANT_REINFORCE_TITLE	Incanta & Rinforza
PET_HATCHING_TITLE	Incubatrice
PET_HATCHING_PRICE	Prezzo: 100.000 Yang
PET_HATCHING_NAME	Nome
PET_HATCHING	Fai schiudere
SKILL_SELECT_1	Scegli dottrina
SKILL_SELECT_2	Accetta
GUILD_MEMBER_WAR	Guerra
PET_MISSING_1	Abilità
PET_MISSING_2	HP
PET_MISSING_3	Forte vs Mostri
PET_MISSING_4	Danni Medi[PVM]
PET_MISSING_5	Livello
PET_MISSING_6	Esperienza
PET_MISSING_7	Età
PET_MISSING_8	Sistema Pet
HIDE_2_OPTION	Nascondi Effetti
HIDE_2_OPTION0	Shining Armatura
HIDE_2_OPTION1	Shining Arma
HIDE_2_OPTION2	Buff
HIDE_2_OPTION3	Abilità
HIDE_OPTION	Nascondi
HIDE_OPTION0	Cavalcature
HIDE_OPTION1	Pet
HIDE_OPTION2	Supporti B.
HIDE_OPTION3	Negozi
HIDE_OPTION4	Titoli Neg.
HIDE_OPTION5	Bandiere
TIME_TYPE	Orario AM/PM
ENVIRONMENT_MODE	Cielo
ENVIRONMENT_MODE0	Giorno
ENVIRONMENT_MODE1	Notte
ENVIRONMENT_MODE2	Speciale 1
ENVIRONMENT_MODE3	Speciale 2
ENVIRONMENT_MODE4	Speciale 3
ENVIRONMENT_MODE5	Speciale 4
ENVIRONMENT_MODE6	Speciale 5
OPTION_AUTO_PICKUP	Raccogli
OPTION_AUTO_PICKUP_ON	Auto
OPTION_AUTO_PICKUP_OFF	Manuale
OPTION_NAMES_TYPE_NAME	Tipo Nomi
OPTION_NAMES_TYPE_NAME_0	Parziale
OPTION_NAMES_TYPE_NAME_1	Intero
MASK_HP_DEFAULT	HP: 12.000.000 / 12.000.000
EXTRA_INVENTORY_TITLE	Inventario Extra
FISHING_RENEWAL_TITLE	Pesca
BIOLOG_WND_CHANGE	Cambia
BIOLOG_WND_TITLE_CHOOSE	Cambia Bonus
BIOLOG_WND_CHOOSE_1	Scegli la missione:
BIOLOG_WND_CHOOSE_2	Scegli il bonus:
BIOLOG_WND_TITLE	Missione Biologo
BIOLOG_WND_REWARD	Ricompensa
BIOLOG_WND_REWARD_BUTTON	Premio
UICHAR_LV	Liv.
UICHAR_EXP	EXP
UICHAR_NEXTEXP	EXP necessari
UICHAR_STATUS	Status Personaggio
UICHAR_CHARACTERISTICS	Caratteristiche
UICHAR_STATUS_VALUE	[%d]
UICHAR_STATUS_VIT	VIT
UICHAR_STATUS_INT	INT
UICHAR_STATUS_STR	STR
UICHAR_STATUS_DEX	DEX
UICHAR_STATUS_HP	HP
UICHAR_STATUS_SP	MP
UICHAR_STATUS_ATT	Attacco
UICHAR_STATUS_DEF	Difesa
UICHAR_CHARACTERISTICS_1a	Velocità
UICHAR_CHARACTERISTICS_1b	Movimento
UICHAR_CHARACTERISTICS_2a	Velocità
UICHAR_CHARACTERISTICS_2b	Attacco
UICHAR_CHARACTERISTICS_3a	Velocità
UICHAR_CHARACTERISTICS_3b	Magico
UICHAR_CHARACTERISTICS_4a	Attacco
UICHAR_CHARACTERISTICS_4b	Magico
UICHAR_CHARACTERISTICS_5a	Difesa
UICHAR_CHARACTERISTICS_5b	Magia
UICHAR_CHARACTERISTICS_6a	Valore
UICHAR_CHARACTERISTICS_6b	Evasione
BATTLEPASS_MISSIONNAME	Nome missione
BATTLEPASS_STATUS	Stato
BATTLEPASS_INFORMATIONS	Informazioni
BATTLEPASS_DESCRIPTION	Descrizione
BATTLEPASS_GENERAL_INFORMATIONS	Informazioni battlepass
BATTLEPASS_SHOP_DESC	Apri negozio
BATTLEPASS_REWARD_DESC	Premio
SUBTEXT_OFFLINESHOP_TEXTBTN1	Il mio negozio
SUBTEXT_OFFLINESHOP_TEXTBTN2	Lista negozi
SUBTEXT_OFFLINESHOP_TEXTBTN3	Magazzino
SUBTEXT_OFFLINESHOP_TEXTBTN4	Le mie offerte
SUBTEXT_OFFLINESHOP_TEXTBTN5	Cerca
SUBTEXT_OFFLINESHOP_TEXTBTN6	Storico
SUBTEXT_OFFLINESHOP_TEXTBTN7	Ricer. salvate
SUBTEXT_OFFLINESHOP_TEXTBTN8	La mia asta
SUBTEXT_OFFLINESHOP_TEXTBTN9	Lista aste
SUBTEXT_OFFLINESHOP_TEXT1	Nome:
SUBTEXT_OFFLINESHOP_TEXT2	Durata:
SUBTEXT_OFFLINESHOP_TEXT3	La durata massima è di 8 giorni.
SUBTEXT_OFFLINESHOP_TEXT4	Giorni
SUBTEXT_OFFLINESHOP_TEXT5	Ore
SUBTEXT_OFFLINESHOP_TEXT6	Titolo:
SUBTEXT_OFFLINESHOP_TEXT7	Durata:
SUBTEXT_OFFLINESHOP_TEXT8	Nome del proprietario:
SUBTEXT_OFFLINESHOP_TEXT9	Nome del negozio:
SUBTEXT_OFFLINESHOP_TEXT10	Durata:
SUBTEXT_OFFLINESHOP_TEXT11	Oggetti:
SUBTEXT_OFFLINESHOP_TEXT12	Nome:
SUBTEXT_OFFLINESHOP_TEXT13	Item:
SUBTEXT_OFFLINESHOP_TEXT14	Prezzo:
SUBTEXT_OFFLINESHOP_TEXT17	Nome item
SUBTEXT_OFFLINESHOP_TEXT18	Razza
SUBTEXT_OFFLINESHOP_TEXT19	Tipo
SUBTEXT_OFFLINESHOP_TEXT20	Prezzo
SUBTEXT_OFFLINESHOP_TEXT21	Livello
SUBTEXT_OFFLINESHOP_TEXT22	Bonus
SUBTEXT_OFFLINESHOP_TEXT23	Inserisci:
SUBTEXT_OFFLINESHOP_TEXT24	Suggerim.:
SUBTEXT_OFFLINESHOP_TEXT25	Min:
SUBTEXT_OFFLINESHOP_TEXT26	Max:
SUBTEXT_OFFLINESHOP_TEXT27	Guerrieri
SUBTEXT_OFFLINESHOP_TEXT28	Ninja
SUBTEXT_OFFLINESHOP_TEXT29	Sura
SUBTEXT_OFFLINESHOP_TEXT30	Shamani
SUBTEXT_OFFLINESHOP_TEXT31	Da:
SUBTEXT_OFFLINESHOP_TEXT32	A:
SUBTEXT_OFFLINESHOP_TEXT33	Data:
SUBTEXT_OFFLINESHOP_TEXT34	Tempo:
SUBTEXT_OFFLINESHOP_TEXT35	Numero item:
SUBTEXT_OFFLINESHOP_TEXT36	Nome:
SUBTEXT_OFFLINESHOP_TEXT37	Ultimo uso:
SUBTEXT_OFFLINESHOP_TEXT38	Giorni:
SUBTEXT_OFFLINESHOP_TEXT39	Durata:
SUBTEXT_OFFLINESHOP_TEXT40	Prezzo d'inizio:
SUBTEXT_OFFLINESHOP_TEXT41	Proprietario:
SUBTEXT_OFFLINESHOP_TEXT42	Offerta migliore:
SUBTEXT_OFFLINESHOP_TEXT43	Proprietario:
SUBTEXT_OFFLINESHOP_TEXT44	Rilancio min:
SUBTEXT_OFFLINESHOP_TEXT45	Nome:
SUBTEXT_OFFLINESHOP_TEXT46	Offerta:
SUBTEXT_OFFLINESHOP_TEXT47	Proprietario:
SUBTEXT_OFFLINESHOP_TEXT48	Offerta migliore:
SUBTEXT_OFFLINESHOP_TEXT49	Durata:
SUBTEXT_OFFLINESHOP_TEXT50	Conteggio:
DS_GRADE3	Antichi
DS_GRADE4	Leggendari
DS_GRADE5	Mitici
CHATTING_SETTING_CANCLE	Ripristina
CHATTING_SETTING_CLEAR	Resetta
CHATTING_SETTING_DEFAULT_TITLE	Generale
CHATTING_SETTING_DETAIL	Impostazioni sistema
CHATTING_SETTING_DICE	Dado
CHATTING_SETTING_DICE_SETTING	Impostazioni dado
CHATTING_SETTING_EXP	Esperienza
CHATTING_SETTING_GOLD	Valuta
CHATTING_SETTING_GUILD	Gilda
CHATTING_SETTING_ITEM	Item
CHATTING_SETTING_LIST	Lista
CHATTING_SETTING_NOTICE	Messaggio
CHATTING_SETTING_PARTY	Gruppo
CHATTING_SETTING_SAVE	Salva
CHATTING_SETTING_SHOUT	Chat chiama
CHATTING_SETTING_SYSTEM	Sistema
CHATTING_SETTING_TABNAME	Impostazioni nome della chat
CHATTING_SETTING_TALKING	Generale
CHATTING_SETTING_TITLE	Impostazioni chat
CHAT_FILTER	Filtro della chat
CHAT_FILTER_DICE	Dado
CAMERA_PERSPECTIVE	Prospettiva
CHARACTER_EMOJI_ACTION	Nuove Emozioni
BROWSER_CHROME	Chrome
PAGINA_GILDA_1	Pagina 1
PAGINA_GILDA_2	Pagina 2
TERZO_POSTO	Bronzo
SECONDO_POSTO	Argento
PRIMO_POSTO	Oro
TROFEI_GILDA	Trofei
SCONFITTE_GILDA	Sconfitte
PAREGGI_GILDA	Pareggi
VITTORIE_GILDA	Vittorie
NOME_GILDA	Nome
NOME_RANKING	Classifica
DIVISION_STACK	Divisione completa
WIKI_TITLE	Wiki
RESTART_TOWN_NEW	Ricomincia nella città in %s sec
RESTART_HERE_NEW	Ricomincia qui in %s sec
BIOLOGO_CONSEGNA_ITEM	Consegna
NOTIFICA_BIOLOGO	Abilita notifica
NOME_BIOLOGO	Biologo
AUTO_TRANSLATE_DESC	Se attivato i messaggi ricevuti saranno automaticamente tradotti nella tua lingua.
AUTO_TRANSLATE	Auto Traduci
AUTO_TRANSLATE_WHISPER	Messaggi Privati
RUNE_TITLE	Rune
RUNE_ACTIVE	Attiva
RUNE_DEACTIVE	Disattiva
RUNE_SHOP	Negozio
RUNE_EFFECT	Effetto
RUNE_EFFECT_DESC	Quando tutte le Rune sono ad almeno 60% puoi far nascondere l'effetto.
MYSHOP_DECO_CANCEL	Chiudi.
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Avanti
MYSHOP_DECO_OK	Chiudi
MYSHOP_DECO_PREV	Indietro
MYSHOP_DECO_SELECT_MODEL	Seleziona l'aspetto del tuo negozio.
MYSHOP_DECO_SELECT_TITLE	Seleziona l'aspetto del tuo titolo.
KASMIR_MARKET_PRIVATESHOP_0	Standard
KASMIR_MARKET_PRIVATESHOP_1	Mille e una notte
KASMIR_MARKET_PRIVATESHOP_2	Maestro della griglia
KASMIR_MARKET_PRIVATESHOP_3	Cacciatore di tesori
KASMIR_MARKET_PRIVATESHOP_4	Fiamma minima
KASMIR_MARKET_PRIVATESHOP_5	Mercante di armi
KASMIR_MARKET_PRIVATESHOP_6	Vendita di armi
KASMIR_MARKET_PRIVATESHOP_7	Alchimista
KASMIR_PAKET_STANDART	Standard
KASMIR_PAKET_FIRE	Fuoco
KASMIR_PAKET_ICE	Ghiaccio
KASMIR_PAKET_PAPER	Carta
KASMIR_PAKET_RIBON	Lettera
KASMIR_PAKET_WING	Ali
DESTROY	Distruggi
PET_BTN_1	Bonus età 
EQUIPMENT_PAGE_BUTTON_TOOLTIP_1	Equipaggiamento
EQUIPMENT_PAGE_BUTTON_TOOLTIP_2	Costumi
PET_BTN_3	Sviluppo
PET_EVOLVE_TITLE	Evoluzione
PET_EVOLVE_BUTTON_OK	Evolvi
PET_EVOLVE_BUTTON_CLOSE	Chiudi
PET_ENCHANT_TITLE	Incrementa Bonus Pet
PET_ENCHANT_CHOOSE	Scegli il bonus che vuoi incrementare:
PET_ENCHANT_ACCEPT	Migliora
PET_ENCHANT_CLOSE	Chiudi
RANKING_TITLE	Classifica
RANKING_RANK	Posizione
RANKING_NAME	Nome
RANKING_POINTS	Statistiche
RANKING_CAT0	Duelli vinti 
RANKING_CAT1	Duelli persi
RANKING_CAT2	Uccisioni in guerra
RANKING_CAT3	Danni medi vs player 
RANKING_CAT4	Danni abilità vs player 
RANKING_CAT5	Metin distrutte
RANKING_CAT6	Mostri uccisi
RANKING_CAT7	Boss uccisi
RANKING_CAT8	Danni medi vs boss
RANKING_CAT9	Danni abilità vs boss
RANKING_CAT10	Yang raccolti
RANKING_CAT11	Gaya accumulati
RANKING_CAT12	Incanta oggetto usati
RANKING_CAT13	Incanta talismani usati
RANKING_CAT14	Pesci pescati
RANKING_CAT15	Tempo in gioco (min)
RANKING_CAT16	Dungeon completati
RANKING_CAT17	Forzieri aperti
COMB_TITLE	Trasferimento dei bonus
ATTR_COSTUME_REMOVE	Rimuovi Bonus Speciale
ATTR_COSTUME_REMOVE_ACCEPT	Rimuovi
ATTR_COSTUME_REMOVE_CLOSE	Chiudi
ATTR_COSTUME_REMOVE_CHOOSE	Scegli il bonus che vuoi rimuovere:
SKILL_PASSIVE_DEFENSE	Passive
NEW_EXCHANGE_YOU	Tu
BATTLE_PASS	Battle Pass [F8]
BATTLE_PASS_MISSION_NAME	Nome Missione
BATTLE_PASS_MISSION_STATUS	Stato
BATTLE_PASS_MISSION_INFO	Informazioni
BATTLE_PASS_INFO	Battle Pass Informazioni
BATTLE_PASS_DESCRIPTION	Descrizione Missione
BATTLE_PASS_TOTAL_PROGRESS	Progresso Totale
SKILL_COLOR_TITLE	Scegli il colore
SKILL_COLOR_PRESET_TITLE	Preset colore
SKILL_COLOR_PRESET_SELECT	Scegli un colore
SKILL_COLOR_PRESET_SAVE	Salva il codice colore scelto
SKILL_COLOR_PRESET_CLEAR	Cancella il codice colore selezionato
SKILL_COLOR_CUSTOM_COLOR_CODE_TITLE	Codice colore
SKILL_COLOR_DEFAULT	Usa il colore predefinito
SKILL_COLOR_CHANGE	Cambia Colore
SKILL_COLOR_CANCEL	Cancella
WIKI_WONDER	Wiki
DUNGEON_INFO	Dungeon Informazioni
OFFLINE_SHOP	Offline Shop
BIOLOGO	Biologo
SAVE_POINT	Salva Punto
TELEPORTER	Mappa Teletrasporto
SUPPORT_SYSTEM	Support Shamy [X]
CLASSIFICA_GIOCATORI	Classifica Giocatori [F12]
CLASSIFICA_GILDA	Classifica Gilda [F6]
SWITCH_BOT	Gira bonus [K]
INVENTORY_SEPARATE	Ordina Inventario
INVENTORY_SPECIAL_SEPARATE	Ordina Inventario Extra
Rune	Rune [J]
EXTRA_INVENTORY	Inventario Speciale [U]
QUEST_UI_TEXT_COLLECTION	Missioni del biologo
QUEST_UI_TEXT_DAILY	Missione giornaliera
QUEST_UI_TEXT_EVENT	Missioni dell'evento
QUEST_UI_TEXT_LEVELUP	Missione di caccia
QUEST_UI_TEXT_MAIN	Missioni principali
QUEST_UI_TEXT_SCROLL	Missioni dei Libri missione
QUEST_UI_TEXT_SUB	Missioni secondarie
QUEST_UI_TEXT_SYSTEM	Missioni di gioco
HIDE_COSTUME	Hide costume
SELECT_YES_GUILD	Nome della gilda: %s
SUPPORT_SKILL_VALUE	Valore abilità
SUPPORT_CHAR_TITLE	Support Shaman Character
DRAGONSOUL_REFINE	Migliora
DRAGONSOUL_SHOP	Negozio
DEFANCE_WAWE_MAST_TEXT	Albero della nave
DEFANCE_WAWE_GAUGE_TOOLTIP	HP: 990000000 /990000000
DAILY_REWARD01	Ricompensa giornaliera
DAILY_REWARD02	Premio
DAILY_REWARD03	Riscatta
DAILY_REWARD04	Premi disponibili:
DAILY_REWARD05	Tempo:
OPTION_TILING	Grafica
OPTION_TILING_APPLY	Applica
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
SASH_ABSORB	Assorbimento bonus
SASH_COMBINE	Combinazione
SASH_MAIN	Sash 1
SASH_RESULT	Risultato
SASH_SERVE	Sash 2
ACCEPT	OK
ACCE_ABSORB	Assorbimento dei bonus
ACCE_COMBINE	Fusione
ACCE_MAIN	Stola 1
ACCE_RESULT	Risultato
ACCE_SERVE	Stola 2
ATTACH_METIN_INFO	Vuoi utilizzare la Pietra Spirituale?
ATTACH_METIN_TITLE	Utilizza la Pietra Spirituale
ATTENDANCE_TITLE	Evento dei Cacciatori di boss
ATTR_67_ADD	Aggiungi bonus
ATTR_67_ADD_TITLE	Aggiungi bonus
ATTR_67_MATERIAL_SLOT_TITLE	Frammenti
ATTR_67_REGIST_SLOT_TITLE	Item di destinazione
ATTR_67_SUPPORT_SLOT_TITLE	Integrazione
AURA_MAIN	Veste Aura
AURA_SUB	Materiale
AUTO_AUTO_ATTACK	Attacca
AUTO_AUTO_POSITION	Pozioni
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_SKILL	Abilità
AUTO_CLEAR	Svuota
AUTO_END	Stop
AUTO_OFF	Off
AUTO_ON	On
AUTO_POSITION_SETTING	Pozioni
AUTO_SAVE	Salva
AUTO_SETTING	Impostazioni
AUTO_SKILL_SETTING	Abilità
AUTO_START	Start
AUTO_TITLE	Autocaccia
BANNER_ATTENDANCE_BUTTON	Evento dei Cacciatori di boss
BANNER_BLACK_AND_WHITE_BUTTON	Contesa dei veggenti
BANNER_CATCHKING_BUTTON	Trova il re
BANNER_EASTER_BUTTON	PASQUA
BANNER_FISH_BUTTON	IL PUZZLE DEI PESCI
BANNER_FLOWER_BUTTON	FIGLI DEI FIORI
BANNER_FOOTBALL_BUTTON	CALCIO
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	CACCIA AI MOSTRI
BANNER_MINIBOSS_BUTTON	Apocalisse dello Zodiaco
BANNER_MINI_GAME_FINDM	TRIS DI MOSTRI
BANNER_MONSTERBACK_BUTTON	Incassa punti vita
BANNER_MYSTERY_BOX_BUTTON	EVENTO BOTTINO I
BANNER_MYSTERY_BOX_BUTTON_2	EVENTO BOTTINO II
BANNER_NEW_XMAS_BUTTON	NATALE
BANNER_OKEY_BUTTON	Evento Okey
BANNER_OLYMPIC_BUTTON	EVENTO DEGLI EROI
BANNER_RAMADAN_BUTTON	RAMADAN
BANNER_ROULETTE_BUTTON	Rituale del sangue
BANNER_SOUL_BUTTON	EVENTO DELLE ANIME
BANNER_SUMMER_BUTTON	EVENTO ESTIVO
BANNER_VALENTINE_BUTTON	SAN VALENTINO
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	Zona di combattimento
BATTLE_FIELD_OPERATION_TIME	È possibile entrare nella zona di combattimento dalle ore %s:00 alle ore %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	È possibile accedere in qualsiasi momento.
BATTLE_FIELD_OPERATION_TIME_END	Zona di Combattimento aperta ancora per %s ora/e.
BATTLE_FIELD_OPERATION_TIME_NA	Attualmente non è possibile accedere.
BATTLE_FIELD_OPERATION_TIME_OPEN	È possibile accedere tra %s h per %s h.
BATTLE_FILED_RANK	Rango
BATTLE_FILED_RANK_EMPIRE	Regno
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Punti
BNW_GAME_UI_COM	Avversario
BNW_RANK_UI_COUNT	Numero donazioni
BNW_RANK_UI_NAME	Nome
BNW_RANK_UI_RANK	Rango
CANCEL	Interrompi
CHANGE_ATTR_SELECT	Modifica bonus
CHANGE_PASSWORD_CONFIRM	Ripeti password
CHANGE_PASSWORD_NEW	Nuova password
CHANGE_PASSWORD_OLD	Vecchia password
CHANGE_PASSWORD_TITLE	Modifica password
CHARACTER_ACTION	Azioni
CHARACTER_EMOTICON	Emozioni
CHARACTER_MAIN	Personaggio
CHARACTER_MUTUAL_ACTION	Azioni interattive
CHARACTER_NORMAL_ACTION	Azioni normali
CHARACTER_QUEST	Missioni
CHARACTER_SKILL	Abilità
CHARACTER_SPECTIAL_ACTION	Azioni speciali
CHAT_FILTER	Filtro della chat
CHAT_FILTER_DICE	Dado
CLOSE	Chiudi
COMB_APPEARANCE	Destinazione
COMB_ATTRIBUTE	Originale
COMB_MAIN	Destinazione
COMB_MATERIAL	Originale
COMB_SKILLBOOK_TILE	Scambia libri
COSTUME_TITLE	Costumi
COSTUME_WINDOW_TITLE	Costumi
CREATE_ATT_GRADE	STR
CREATE_CREATE	Imposta
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_LAST_POINT	Punti
CREATE_MAN	Uomo
CREATE_NAME	Nome
CREATE_NEXT	Avanti
CREATE_PREV	Indietro
CREATE_SEX	Sesso
CREATE_SHAPE	Aspetto
CREATE_SP	INT
CREATE_STAT_RESET	Indietro
CREATE_WOMAN	Donna
CUBE_INFO_TITLE	Manuale della rifinitura
CUBE_RENEWAL_BELT_IMPROVE	Incrementa probabilità
CUBE_RENEWAL_TITLE	Raffinamento
CUBE_REQUIRE_MATERIAL	Materiali necessari
CUBE_REQUIRE_MATERIAL_OR	oppure
CUBE_TITLE	Finestra del raffinamento
CURRENT_POINT	Punteggio attuale: %s
CZ_REWARD_WINDOW_TITLE	Tempio dello Zodiaco
DO_CHANGE_ATTR	Applica
DO_REFINE	Raffina
DO_REFINE_ALL	Raffina tutto
DRAGONSOUL_ACTIVATE	Attiva
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Modifica del bonus per Pietre del drago mitiche
DRAGONSOUL_PAGE_BUTTON_1	Grezzo
DRAGONSOUL_PAGE_BUTTON_2	Tagliato
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antico
DRAGONSOUL_PAGE_BUTTON_5	Leggendario
DRAGONSOUL_PAGE_BUTTON_6	Mitico
DRAGONSOUL_REFINE_WINDOW_TITLE	Finestra del raffinamento
DRAGONSOUL_TAP_TITLE_1	Diamante del drago: %s
DRAGONSOUL_TAP_TITLE_2	Rubino del drago: %s
DRAGONSOUL_TAP_TITLE_3	Giada del drago: %s
DRAGONSOUL_TAP_TITLE_4	Zaffiro del drago: %s
DRAGONSOUL_TAP_TITLE_5	Granato del drago: %s
DRAGONSOUL_TAP_TITLE_6	Onice del drago: %s
