NPC_SEARCH	Ricerca Npc
REVALED	sarà rivelata in
MAP_NAME_25	Terra d'inverno
MAP_NAME_26	Villaggio Ghiacciato
CUBE_CATEGORY43	Effetti Arma
CUBE_CATEGORY44	Effetti Armatura
CUBE_CATEGORY45	Pet
CUBE_CATEGORY46	Cavalcature
CUBE_CATEGORY47	Costumi Stola
CUBE_CATEGORY48	Capigliature
CUBE_CATEGORY49	Costumi Armatura
CUBE_CATEGORY50	Costumi Arma
REFINE_CURRENT_PERCENTAGE	[i] Percentuale corrente: %d%%
TOOLTIP_AFFECT_VOTEFORBONUS	Vota per bonus
LOGIN_FAILURE_UPDATE	Devi aggiornare il gioco.
MULTIPLE_BUY_PRICE	Prezzo: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Per utilizzare acquisti multipli.
GAME_NOT_LOADED	Il gioco si sta caricando, riprova tra poco.
EMPTY_SLOT	%d. slot libero
PET_CANNOT_BE_EVOLVED	Non puoi ancora evolvere questo pet.
SKILL_SELECT_1A	Corporale
SKILL_SELECT_1B	Mentale
SKILL_SELECT_2A	Corpo a Corpo
SKILL_SELECT_2B	Arco
SKILL_SELECT_3A	Armi Magiche
SKILL_SELECT_3B	Magia Nera
SKILL_SELECT_4A	Drago
SKILL_SELECT_4B	Cura
SKILL_SELECT_DIALOG1	Devi scegliere una dottrina!
SKILL_SELECT_DIALOG2	Vuoi imparare lo stile: %s?
NEW_DETAILS_1	Resistenza mezziuomini
NEW_DETAILS_1_TOOLTIP	Resistenza Mezziuomini: Resiste hai danni inflitti da Mezziuomini
NEW_DETAILS_2	Difesa Talismano
NEW_DETAILS_2_TOOLTIP	Difesa Talismano: Resiste hai bonus talismani
NEW_DETAILS_5	Forte contro mostri dello Zodiaco
NEW_DETAILS_5_TOOLTIP	Forte contro mostri dello Zodiaco: infligge ingenti danni hai mostri Zodiaco
NEW_DETAILS_6	Forte contro Metin
NEW_DETAILS_6_TOOLTIP	Forte contro Metin: infligge ingenti danni alle Metin
NEW_DETAILS_7	Forte contro Boss
NEW_DETAILS_7_TOOLTIP	Forte contro Boss: infligge ingenti danni hai Mostri
NEW_DETAILS_8	Resistenza Mostri
NEW_DETAILS_8_TOOLTIP	Resistenza Mostri: Resiste hai danni inflitti dai mostri
NEW_DETAILS_9	Possibilità di Colpi critici (PVM)
NEW_DETAILS_10	Interruzione della Difesa Spada
NEW_DETAILS_10_TOOLTIP	Interruzione della Difesa Spada: riduce i danni subiti da Spada.
NEW_DETAILS_11	Interruzione della Difesa Spadone
NEW_DETAILS_11_TOOLTIP	Interruzione della Difesa Spadone: riduce i danni subiti da Spadone.
NEW_DETAILS_12	Interruzione della Difesa Pugnale
NEW_DETAILS_12_TOOLTIP	Interruzione della Difesa Pugnale: riduce i danni subiti da Pugnale.
NEW_DETAILS_13	Interruzione della Difesa Frecce
NEW_DETAILS_13_TOOLTIP	Interruzione della Difesa Frecce: riduce i danni subiti da Freccia.
NEW_DETAILS_14	Interruzione della Difesa Ventaglio
NEW_DETAILS_14_TOOLTIP	Interruzione della Difesa Ventaglio: riduce i danni subiti da Ventaglio.
NEW_DETAILS_15	Interruzione della Difesa Campana
NEW_DETAILS_15_TOOLTIP	Interruzione della Difesa Campana: riduce i danni subiti da Campana.
NEW_DETAILS_16	Forte contro i mostri delle Rune
NEW_DETAILS_16_TOOLTIP	Forte contro mostri dello Zodiaco: infligge ingenti danni hai mostri Rune
NEW_DETAILS_17	Valore d'attacco
NEW_DETAILS_17_TOOLTIP	Valore d'attacco
PET_MISSING1_1	Cucciolo
PET_MISSING1_2	Selvaggio
PET_MISSING1_3	Coraggioso
PET_MISSING1_4	Eroico
COOLDOWN_IN_PROGRESS	Devi attendere!
PERMANENT_EFFECT	Permanente
TARGET_INFO_RACE_RUNE	Rune
CUBE_LOSE_BONUSES_ALERT	Continuando perderai i bonus dell'item, sei sicuro?
ACCE_FAILURE_CLEAN	Nessun bonus può essere tolto.
ACCE_DO_YOU_CLEAN	Vuoi rimuovere tutti i bonus disponibili?
ACCE_REFINE_COST	Absorption price: %s
ACCE_ABSORB_CHANCE	Tasso di assorbimento: %d%%
ACCE_ABSORB_CHANCE2	Tasso di assorbimento: %d%% ~ %d%%
MAP_SAVEPOINT_NAME_0	Sconosciuta
MAP_SAVEPOINT_NAME_214	Villaggi
MAP_SAVEPOINT_NAME_70	Terra dei Giganti
MAP_SAVEPOINT_NAME_69	Campo Serpi
MAP_SAVEPOINT_NAME_72	Grotta Esilio 1
MAP_SAVEPOINT_NAME_73	Grotta Esilio 2
MAP_SAVEPOINT_NAME_67	Lungsam
MAP_SAVEPOINT_NAME_68	Bosco Rosso
MAP_SAVEPOINT_NAME_64	Valle Seungryong
MAP_SAVEPOINT_NAME_65	Tempio Hwang
MAP_SAVEPOINT_NAME_62	Doyyumhwaji
MAP_SAVEPOINT_NAME_104	Sotterraneo 1
MAP_SAVEPOINT_NAME_71	Sotterraneo 2
MAP_SAVEPOINT_NAME_217	Sotterraneo 3
MAP_SAVEPOINT_NAME_219	Lobby Normale
MAP_SAVEPOINT_NAME_215	Lobby Speciale
MAP_SAVEPOINT_NAME_61	Monte Sohan
MAP_SAVEPOINT_NAME_63	Deserto Yongbi
MAP_SAVEPOINT_NAME_303	Baia Nefrite
MAP_SAVEPOINT_NAME_304	Monti Tonanti
MAP_SAVEPOINT_NAME_302	Falesia Gautama
MAP_SAVEPOINT_NAME_301	Fuoco del Drago
MAP_SAVEPOINT_NAME_210	Sottobosco
SAVEPOINT_TELEPORTDIALOG	Vuoi teletrasportarti in questa posizione?
SAVEPOINT_EMPTYITDIALOG	Vuoi ripristinare questo slot?
SAVEPOINT_SAVEDIALOG	Vuoi salvare questa posizione?
SAVEPOINT_EMPTY	[ Vuoto ]
SAVEPOINT_SAVE	Salva
SAVEPOINT_EMPTYIT	Svuota
SAVEPOINT_GO	Teletrasportati
ATLASINFO_QUESTIONDIALOG1	Vuoi teletrasportarti da %s?
ATLASINFO_QUESTIONDIALOG2	Prezzo: 10.000.000 Yang
WIKI_SUBCATEGORY_SUPPORT	SUPPORTI
WIKI_CATEGORY_COMPANY	COMPAGNIA
WIKI_SUBCATEGORY_FASTKEY	TASTI RAPIDI
WIKI_SUBCATEGORY_RUNES	RUNE
WIKI_SUBCATEGORY_D_ORCMAZE	TEMPIO DEGLI ORCHI
WIKI_SUBCATEGORY_D_MELMA	RIFUGIO DELLA REGINA MELMA
WIKI_SUBCATEGORY_D_ARACNIDI	STANZA DEGLI ARACNIDI
WIKI_SUBCATEGORY_D_DEVILSTOWER	TORRE DEI DEMONI
WIKI_SUBCATEGORY_D_RUNE	DUNGEON DELLE RUNE
WIKI_SUBCATEGORY_D_CATACOMBE	CATACOMBE DEL DIAVOLO
WIKI_SUBCATEGORY_D_BERAN	BERAN
WIKI_SUBCATEGORY_D_MELEY	RIFUGIO DI MELEY
WIKI_SUBCATEGORY_D_NEMERE	TORRE DI VEDETTA DI NEMERE
WIKI_SUBCATEGORY_D_RAZADOR	FORTEZZA DEL DRAGO ROSSO
WIKI_SUBCATEGORY_D_OCHAO	TEMPIO DI OCHAO
WIKI_SUBCATEGORY_D_JOTUN	STANZA DI JOTUN THRYM
WIKI_SUBCATEGORY_D_NAVE	DIFESA NAVE
WIKI_SUBCATEGORY_D_PIRAMIDE	PIRAMIDE DI TUTANKHAMUN
MASK_HP	HP: %s / %s
WIKI_SUBCATEGORY_EARRINGS	ORECCHINI
WIKI_SUBCATEGORY_BRACELET	BRACCIALI
WIKI_SUBCATEGORY_NECKLACE	COLLANE
WIKI_SUBCATEGORY_SHOES	SCARPE
WIKI_CATEGORY_CHESTS	FORZIERI
WIKI_SUBCATEGORY_CHESTS	DEI CAPI
WIKI_SUBCATEGORY_DUNGEONS	DEI DUNGEON
WIKI_SUBCATEGORY_EVENT_CHESTS	DEGLI EVENTI
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	ALTERNATIVI
WIKI_CATEGORY_BOSSES	CAPI
WIKI_SUBCATEGORY_LV1_75	DI LIVELLO 1-75
WIKI_SUBCATEGORY_LV76_100	DI LIVELLO 76-100
WIKI_SUBCATEGORY_LV100	DI LIVELLO 100+
WIKI_CATEGORY_MONSTERS	MOSTRI
WIKI_CATEGORY_METINSTONES	PIETRE METIN
WIKI_CATEGORY_SYSTEMS	SISTEMI
WIKI_SUBCATEGORY_REACTION_EVENT	Reaction Event
WIKI_SUBCATEGORY_SHAMY	SUPPORTO SHAMY
WIKI_SUBCATEGORY_DRAGONALCHEMY	ALCHIMIA
WIKI_SUBCATEGORY_SHOULDER_SASH	STOLE
WIKI_SUBCATEGORY_EPIC_SYSTEM	EPICIZZAZIONI
WIKI_SUBCATEGORY_COSTUME_SASH	COSTUME STOLA
WIKI_SUBCATEGORY_COSTUMES	COSTUMI
WIKI_SUBCATEGORY_BATTLEPASS	BATTLE PASS
WIKI_SUBCATEGORY_BOOST	BOOST ABILITA'
WIKI_SUBCATEGORY_PASSIVE	ABILITA' PASSIVE
WIKI_SUBCATEGORY_BIOLOGIST	BIOLOGO
WIKI_SUBCATEGORY_ANTIFARM	BLOCCO MULTI-FARM
WIKI_SUBCATEGORY_FREEZE	CONGELA BONUS
WIKI_SUBCATEGORY_GAYA	GAYA
WIKI_SUBCATEGORY_GUILD	GILDE
WIKI_SUBCATEGORY_OFFLINESHOP	NEGOZI OFFLINE
WIKI_SUBCATEGORY_SKILL_COLOR	COLORE ABILITA'
WIKI_CATEGORY_DUNGEONS	DUNGEONS
WIKI_SUBCATEGORY_HAIRSTYLES	CAPIGLIATURE
WIKI_SUBCATEGORY_PET	PET
WIKI_SUBCATEGORY_PET_COSTUMES	COSTUMI PET
WIKI_SUBCATEGORY_ANIME	SOULS
WIKI_SUBCATEGORY_MOUNT	CAVALCATURE
WIKI_SUBCATEGORY_MOUNT_COSTUMES	COSTUMI CAVALCATURE
WIKI_CATEGORY_COSTUMES	COSTUMI
WIKI_CATEGORY_EVENTS	EVENTI
WIKI_CATEGORY_GUIDES	GUIDE
WIKI_REFINEINFO_YANG_COSTS	Costo Yang
WIKI_REFINEINFO_UPGRADE_COSTS	Prezzo migl.
WIKI_REFINEINFO_ITEM_LEVEL	Livello %i
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_CHESTINFO_CONTENTOF	Contenuto di %s
WIKI_CHESTINFO_COMMON_DROP	Drop comune
WIKI_MONSTERINFO_DROPLISTOF	Il drop di %s
WIKI_MONSTERINFO_LEVEL	Livello: %i
WIKI_MONSTERINFO_IMMUNE_TO	Imune a: %s
WIKI_MONSTERINFO_DMG_HP	Min. Danno%s | Danno max.:%s | Max. HP: %s
WIKI_MONSTERINFO_GOLD_EXP	Yang min.: %s | Yang max.: %s | EXP: %s
WIKI_MONSTERINFO_RESISTANCES	Difese:
WIKI_MONSTERINFO_IMMUNE_NOTHING	niente
WIKI_MONSTERINFO_STATISTICSOF	statistiche di %s
WIKI_ITEMINFO_OPTAINEDFROM	Disponibile a
WIKI_ITEMINFO_REFINEINFO	Info miglioramento di %s
WIKI_TITLENAME	Wiki
WIKI_SUBCATEGORY_BELTS	CINTURE
WIKI_SUBCATEGORY_TALISMANS	TALISMANI
WIKI_SUBCATEGORY_STOLE	STOLE
WIKI_SUBCATEGORY_STOLE_COSTUMES	COSTUMI STOLE
WIKI_SUBCATEGORY_WEAPONS_EFFECT	EFFETTI ARMI
WIKI_SUBCATEGORY_ARMORS_EFFECT	EFFETTI ARMATURE
WIKI_SUBCATEGORY_TRANSLATE	TRADUZIONI
WIKI_SUBCATEGORY_LV76_105	LV. 76-105
WIKI_SUBCATEGORY_SHIELD	SCUDI
WIKI_SUBCATEGORY_HELMET	ELMI
WIKI_SUBCATEGORY_ARMOR	ARMATURE
WIKI_SUBCATEGORY_WEAPONS	ARMI
WIKI_CATEGORY_EQUIPEMENT	EQUIP
WIKI_SEARCH_OVERLAY_TEXT	RICERCA
WIKI_EXACT_SEARCH_TEXT	Ricerca Esatta
WIKI_MONSTERINFO_DAMAGE	Danni: %s-%s
WIKI_MONSTERINFO_DEFENSE	Difesa: %s
WIKI_MONSTERINFO_EXP	Esperienza: %s
WIKI_MONSTERINFO_MAINRACE	Razza: %s
WIKI_MONSTERINFO_MAX_HP	Max HP: %s
WIKI_MONSTERINFO_NO_RACE	No
WIKI_MONSTERINFO_RACE_ANIMAL	Animali
WIKI_MONSTERINFO_RACE_UNDEAD	Zombie
WIKI_MONSTERINFO_RACE_DEVIL	Diavolo
WIKI_MONSTERINFO_RACE_HUMAN	Mezziuomini
WIKI_MONSTERINFO_RACE_ORC	Orchi
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_TREE	Alberi
WIKI_MONSTERINFO_RACE_ELEC	Lampo 
WIKI_MONSTERINFO_RACE_FIRE	Fuoco
WIKI_MONSTERINFO_RACE_ICE	Ghiaccio
WIKI_MONSTERINFO_RACE_WIND	Vento
WIKI_MONSTERINFO_RACE_EARTH	Terra
WIKI_MONSTERINFO_RACE_DARK	Oscurità
WIKI_MONSTERINFO_RACE_METIN	Pietra Metin
WIKI_MONSTERINFO_STONE_NAME	Pietra Spirituale
WIKI_MONSTERINFO_SUBRACE	Sotto-razza: %s
WIKI_MONSTERINFO_IMMUNE_STUN	Stun
WIKI_MONSTERINFO_IMMUNE_SLOW	Rallentamento
WIKI_MONSTERINFO_IMMUNE_CURSE	Maledizioni
WIKI_MONSTERINFO_IMMUNE_POISON	Veleno
WIKI_MONSTERINFO_IMMUNE_TERROR	Terrore
IDRA_TEXT1	Uccidi l'Idra
IDRA_TEXT2	Distruggi il tesoro
IDRA_TEXT3	Resisti per %d : %d
IDRA_TEXT4	Distruggi le uova
IDRA_TEXT5	Attendi %d : %d
IDRA_TEXT6	Ripara l'albero
IDRA_TEXT7	Avete Liberato la nave
IDRA_TEXT8	Uccidi la regina
IDRA_TEXT9	-:-
IDRA_TEXT10	%d
SUPPORTINCUBATRICE_DIALOG1	Il nome inserito non è corretto!
GAMEMOD_DIALOG1	Cucciolo
GAMEMOD_DIALOG2	Selvaggio
GAMEMOD_DIALOG3	Coraggioso
GAMEMOD_DIALOG4	Eroico
GAMEMOD_DIALOG5	%s (g) e %s (o)
WHISPERMANAGER_DIALOG1	Inglese
WHISPERMANAGER_DIALOG2	Rumeno
WHISPERMANAGER_DIALOG3	Italiano
WHISPERMANAGER_DIALOG4	Turco
WHISPERMANAGER_DIALOG5	Tedesco
WHISPERMANAGER_DIALOG6	Polacco
WHISPERMANAGER_DIALOG7	Portughese
WHISPERMANAGER_DIALOG8	Spagnolo
WHISPERMANAGER_DIALOG9	Ceco
WHISPERMANAGER_DIALOG10	Ungherese
WHISPERMANAGER_DIALOG11	Tutte
PETSYSTEM_DIALOG1	Esperienza : %d of %d
PETSYSTEM_DIALOG2	Esperienza : %.2f%%
PETSYSTEM_DIALOG3	EsperienzaI : %d of %d
PETSYSTEM_DIALOG4	EsperienzaI : %.2f%%
PETFEED_DIALOG1	Non è possibile inserire oggetti sovrapposti.
PETFEED_DIALOG2	Selezionato %s.
PETINCUBATRICE_DIALOG1	Il nome del pet non è valido.
PETINCUBATRICE_DIALOG2	Devi possedere: %s.
PETINCUBATRICE_DIALOG3	Incubatrice: %s.
PETINCUBATRICE_DIALOG4	Uovo di Scimmia
PETINCUBATRICE_DIALOG5	Uovo di Ragno
PETINCUBATRICE_DIALOG6	Uovo di Razador
PETINCUBATRICE_DIALOG7	Uovo di Nemere
PETINCUBATRICE_DIALOG8	Uovo di drago blu
PETINCUBATRICE_DIALOG9	Uovo di drago rosso
PETINCUBATRICE_DIALOG10	Uovo di Azraeluccio
PETINCUBATRICE_DIALOG11	Uovo di Boia paffuto
PETINCUBATRICE_DIALOG12	Uovo di Baashido bebè 
PETINCUBATRICE_DIALOG13	Uovo di Nessie
PETINCUBATRICE_DIALOG14	Uovo di Exedyar
UIMARKETSYS_DIALOG1	Rotto: %d
UIMARKETSYS_DIALOG2	Codice NPC: %d
UIMARKETSYS_DIALOG3	Codice Titolo: %d
SUPPORT_DIALOG1	Sei sicuro di voler rimuovere l'oggetto selezionato?
SUPPORT_DIALOG2	Devi evocare il support per poterlo fare!
SUPPORT_DIALOG3	Non puoi inserire questo item.
SUPPORT_DIALOG4	L'oggetto non è del sesso giusto!
SUPPORT_DIALOG5	Aggiungendo l'oggeto i bonus andranno persi. Vuoi continuare?
PETSPECIAL_QUESTION1	Vuoi inserire il Pet nel trasportino?
PETSPECIAL_QUESTION2	Vuoi dare da mangiare al tuo Pet?
PVP_DUEL_TIME_REMAINING	Tempo rimasto: [%s]
AFFECT_NEW_POTION31	Libro del Capo
APPLY_PARTY_DROPEXP	Tutti i membri del gruppo raccoglieranno il %d%% di punti esperienza in più	SA
SLOTNAME_10	Item da PVM
SLOTNAME_11	Item da PVP
TOOLTIP_PETSKILL_1	Resistenza (Guerrieri)
TOOLTIP_PETSKILL_2	Resistenza (Sura)
TOOLTIP_PETSKILL_3	Resistenza (Ninja)
TOOLTIP_PETSKILL_4	Resistenza (Shamani)
TOOLTIP_PETSKILL_5	Danni critici (PvM)
TOOLTIP_PETSKILL_6	Forte contro Metin
TOOLTIP_PETSKILL_7	Forte contro Boss
TOOLTIP_PETSKILL_8	Perspicacia
TOOLTIP_PETSKILL_9	Drop Yang
TOOLTIP_PETSKILL_10	Valore attacco/magico
TOOLTIP_PETSKILL_11	Blocco a. corporale
TOOLTIP_PETSKILL_12	Rif. a. corporale
TOOLTIP_NEW_POTION30	Aumenta la possibilità che prendi il pesce di 20% se è un pesce raro.
AFFECT_NEW_POTION30	Libro della pesca
TOOLTIP_APPLY_FISHING_RARE	%d%% in più di probabilità di pescare un pesce raro	SA
TOOLTIP_ROD_FISHING	%d%% in più di probabilità di prendere il pesce.
TOOLTIP_FISH_USE_TIME	Durata: %d minuti
TOOLTIP_ANTIDROP	|Eemoji/anti_drop|e
TOOLTIP_ANTISAFEBOX	|Eemoji/anti_safebox|e
TOOLTIP_ANTISELL	|Eemoji/anti_sell|e
TOOLTIP_ANTISHOP	|Eemoji/anti_shop|e
SLOTNAME_1	Skin Armatura
SLOTNAME_2	Skin Capigliatura
SLOTNAME_3	Skin Cavalcatura
SLOTNAME_4	Skin Stola
SLOTNAME_5	Skin Arma
SLOTNAME_6	Skin Pet
SLOTNAME_7	Cavalcatura
SLOTNAME_8	Effetto Armatura
SLOTNAME_9	Effetto Arma
TEXT_CHANNEL	%s, CH%d
CH_99_NAME	%s, Generale
TOOLTIP_BONUS_UNKNOWN	Sconosciuto
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ANIMAL	Forte contro Animali
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ORC	Forte contro Orchi
TOOLTIP_DUNGEON_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo
TOOLTIP_DUNGEON_APPLY_RESIST_FIRE	Resistenza fuoco
TOOLTIP_DUNGEON_APPLY_RESIST_ELEC	Resistenza lampo
TOOLTIP_DUNGEON_APPLY_RESIST_ICE	Resistenza ghiaccio
TOOLTIP_DUNGEON_APPLY_RESIST_WIND	Resistenza vento
TOOLTIP_DUNGEON_APPLY_RESIST_EARTH	Resistenza terra
TOOLTIP_DUNGEON_APPLY_RESIST_DARK	Resistenza oscurità
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ELEC	Forte fuoco
TOOLTIP_DUNGEON_APPLY_ATTBONUS_FIRE	Forte lampo
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ICE	Forte ghiaccio
TOOLTIP_DUNGEON_APPLY_ATTBONUS_WIND	Forte vento
TOOLTIP_DUNGEON_APPLY_ATTBONUS_EARTH	Forte terra
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DARK	Forte oscurità
TOOLTIP_DUNGEON_APPLY_DESIGN_1	Forte vs Lampo, Oscurità, Ghiaccio, Fuoco, Terra
TOOLTIP_DUNGEON_APPLY_ATTBONUS_RUNE	Forte contro i mostri delle rune
TOOLTIP_APPLY_DESIGN_1	Forte vs lampo, oscurità, ghiaccio %d%%	SA
AFFECT_NEW_POTION24	Orecchini dell'Armonia
AFFECT_NEW_POTION25	Bracciale dell'Amore
AFFECT_NEW_POTION26	Orecchini dell'Amore
AFFECT_NEW_POTION27	Bracciale dell'Armonia
AFFECT_NEW_POTION28	Collana dell'Amore
AFFECT_NEW_POTION29	Collana dell'Armonia
PET_TOOLTIP_LV	Livello: %d
PET_TOOLTIP_BNS1	HP: +%s%%
PET_TOOLTIP_BNS2	Forte vs Mostri: +%s%%
PET_TOOLTIP_BNS3	Danni Medi[PVM]: +%s%%
DS_TIME_CHARGE	Tempoo rimasto: %d%% (sec %d) di %d%% (sec %d)
BIOLOGIST_ALERT2	Per proseguire devi prima prendere il premio.
BIOLOGIST_ALERT3	Hai completato la missione ora puoi ritirare il premio.
BIOLOGIST_ALERT4	Per poter ricevere il premio devi prima consegnare tutti i oggetti richiesti.
BIOLOGIST_CONFIRM_TYPE1	Sei sicuro di accettare il bonus selezionato?
BIOLOGIST_ALERT_TYPE1	Devi cliccare su uno dei seguenti bonus per poter ritirare la ricompensa.
BIOLOGIST_REWARD_TYPE0	Riceverai i seguenti bonus:
BIOLOGIST_REWARD_TYPE1	Dovrai scegliere uno dei seguenti bonus:
BIOLOGIST_WAIT_FINISH	Il tempo d'attessa del Biologo è finito.
BIOLOGIST_WAIT	Prossima consegna: %s
BIOLOGIST_COUNT	%d/%d
BIOLOGIST_MISSION_NAME_1	I denti d'orco
BIOLOGIST_MISSION_NAME_2	I libri delle maledizioni
BIOLOGIST_MISSION_NAME_3	I ricordi del demone
BIOLOGIST_MISSION_NAME_4	Le palle di ghiaccio
BIOLOGIST_MISSION_NAME_5	I rami di zelkova
BIOLOGIST_MISSION_NAME_6	Le tavole tugyi
BIOLOGIST_MISSION_NAME_7	I rami d'albero fantasma rosso
BIOLOGIST_MISSION_NAME_8	Le notizie dei capi
BIOLOGIST_MISSION_NAME_9	I gioielli dell'invidia
BIOLOGIST_MISSION_NAME_10	I gioielli della saggezza
BIOLOGIST_MISSION_NAME_11	Le felce scure
BIOLOGIST_MISSION_NAME_12	Gli anelli di Chaegirab
BIOLOGIST_MISSION_NAME_13	I cristalli metin
BIOLOGIST_MISSION_NAME_14	I nuclei purificati
BATTLE_PASS_PROCENT	Percentuale: %.1f%%
BATTLE_PASS_ALERT1	Non hai ancora il battle pass attivo, ti serve questo item per attivarlo.
BATTLE_PASS_OK	OK
BATTLE_PASS_STATUS	Stato: %s%s|h|r
BATTLE_PASS_INACTIVE	Non attivo
BATTLE_PASS_ACTIVE	In corso
BATTLE_PASS_COMPLETED	Completato
BATTLE_PASS_UNKNOWN_NAME	Nome sconosciuto
BATTLE_PASS_NAME	Nome: %s
BATTLE_PASS_COUNTQUEST	Missioni rimaste: %s
BATTLE_PASS_COUNTQUEST_COMPELTED	Missioni completate: %s
BATTLE_PASS_REMAINING_TIME	Tempo rimanente: %s
PETBOX_RIMUOVE	Sei sicuro di voler far uscire il pet?
BUY_GAYA_ITEM	Vuoi comprare questo oggetto?
PETSKILLNAME_1	Resistenza (guerriero)
PETSKILLNAME_2	Resistenza (sura)
PETSKILLNAME_3	Resistenza (ninja)
PETSKILLNAME_4	Resistenza (shamani)
PETSKILLNAME_5	Danni critici (PvM)
PETSKILLNAME_6	Forte contro Metin
PETSKILLNAME_7	Forte contro Boss
PETSKILLNAME_8	Drop EXP
PETSKILLNAME_9	Drop Yang
PETSKILLNAME_10	Valore attacco/magico
PETSKILLNAME_11	Blocco a. corporale
PETSKILLNAME_12	Rif. a. corporale
PETBOX_DESC1	Caratteristiche:
PETBOX_DESC2	Età: %d giorni, %d ore e %d minuti
PETBOX_DESC3	Livello: %d
PETBOX_DESC4	Evoluzione: %s
PETBOX_DESC5	HP: %s%%
PETBOX_DESC6	Forte contro i mostri: %s%%
PETBOX_DESC7	Danni medi (solo sui mostri): %s%%
PETBOX_DESC8A	Slot abilità 1: bloccato
PETBOX_DESC9A	Slot abilità 2: bloccato
PETBOX_DESC10A	Slot abilità 3: bloccato
PETBOX_DESC11A	Slot abilità 4: bloccato
PETBOX_DESC8B	Slot abilità 1: vuoto
PETBOX_DESC9B	Slot abilità 2: vuoto
PETBOX_DESC10B	Slot abilità 3: vuoto
PETBOX_DESC11B	Slot abilità 4: vuoto
