NPC_SEARCH	Cãutare Npc
SAVEPOINT_EMPTYITDIALOG	Vrei sã resetezi acest slot?
SAVEPOINT_SAVEDIALOG	Vrei sã salvezi aceastã poziþie?
SAVEPOINT_EMPTY	[ Liber ]
SAVEPOINT_SAVE	Salveazã
SAVEPOINT_EMPTYIT	Elibereazã
SAVEPOINT_GO	Teleporteazã-te
ATLASINFO_QUESTIONDIALOG1	Vrei sã te teleportezi la %s?
ATLASINFO_QUESTIONDIALOG2	Preþ: 10.000.000 Yang
WIKI_SUBCATEGORY_SUPPORT	SUPORT-URI
WIKI_CATEGORY_COMPANY	COMPANIE
WIKI_SUBCATEGORY_FASTKEY	HOTKEYS
WIKI_SUBCATEGORY_RUNES	RUNE
WIKI_SUBCATEGORY_D_ORCMAZE	TEMPLUL ORCILOR
WIKI_SUBCATEGORY_D_MELMA	REFUGIUL REGINEI MELMA
WIKI_SUBCATEGORY_D_ARACNIDI	CAMERA ARACHNIDELOR
WIKI_SUBCATEGORY_D_DEVILSTOWER	TURNUL DEMONILOR
WIKI_SUBCATEGORY_D_RUNE	RUNE DUNGEON
WIKI_SUBCATEGORY_D_CATACOMBE	CATACOMBELE DIAVOLULUI
WIKI_SUBCATEGORY_D_BERAN	BERAN-SETAOU
WIKI_SUBCATEGORY_D_MELEY	REFUGIUL LUI MELEY
WIKI_SUBCATEGORY_D_NEMERE	TURNUL LUI NEMERE
WIKI_SUBCATEGORY_D_RAZADOR	CETATEA LUI RAZADOR
WIKI_SUBCATEGORY_D_OCHAO	TEMPLUL LUI OCHAO
WIKI_SUBCATEGORY_D_JOTUN	REFUGIUL LUI JOTUN THRYM
WIKI_SUBCATEGORY_D_NAVE	APÂRAREA NAVEI
WIKI_SUBCATEGORY_D_PIRAMIDE	PIRAMIDELE LUI TUTANKHAMUN
MASK_HP	PV: %s / %s
WIKI_SUBCATEGORY_EARRINGS	CERCEI
WIKI_SUBCATEGORY_BRACELET	BRAÞARI
WIKI_SUBCATEGORY_NECKLACE	COLIERE
WIKI_SUBCATEGORY_SHOES	PAPUCI
WIKI_CATEGORY_CHESTS	CUFERE
WIKI_SUBCATEGORY_CHESTS	ALE ªEFILOR
WIKI_SUBCATEGORY_DUNGEONS	DIN DUNGEON-URI
WIKI_SUBCATEGORY_EVENT_CHESTS	DE LA EVENTE
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	ALTERNATIVE
WIKI_CATEGORY_BOSSES	ªEFI
WIKI_SUBCATEGORY_LV1_75	DE NIVEL 1-75
WIKI_SUBCATEGORY_LV76_100	DE NIVEL 76-100
WIKI_SUBCATEGORY_LV100	DE NIVEL 100+
WIKI_CATEGORY_MONSTERS	MONªTRI
WIKI_CATEGORY_METINSTONES	PIETRE METIN
WIKI_CATEGORY_SYSTEMS	SISTEME
WIKI_SUBCATEGORY_REACTION_EVENT	Eveniment Reacþie
WIKI_SUBCATEGORY_SHAMY	SUPORT BUFF
WIKI_SUBCATEGORY_DRAGONALCHEMY	ALCHIMIE
WIKI_SUBCATEGORY_SHOULDER_SASH	EªARFE
WIKI_SUBCATEGORY_EPIC_SYSTEM	EPICIZARE
WIKI_SUBCATEGORY_COSTUME_SASH	COSTUME EªARFE
WIKI_SUBCATEGORY_COSTUMES	COSTUME
WIKI_SUBCATEGORY_BATTLEPASS	BATTLE PASS
WIKI_SUBCATEGORY_BOOST	SKILL-URI BOOST
WIKI_SUBCATEGORY_PASSIVE	SKILL-URI PASIVE
WIKI_SUBCATEGORY_BIOLOGIST	BIOLOG
WIKI_SUBCATEGORY_ANTIFARM	ANTI MULTI-FARM
WIKI_SUBCATEGORY_FREEZE	ÎNGHEAÞA BONUSURI
WIKI_SUBCATEGORY_GAYA	GAYA
WIKI_SUBCATEGORY_GUILD	BRESLE
WIKI_SUBCATEGORY_OFFLINESHOP	MAGAZINE OFFLINE
WIKI_SUBCATEGORY_SKILL_COLOR	CULOARE SKILL-URI
WIKI_CATEGORY_DUNGEONS	DUNGEON-URI
WIKI_SUBCATEGORY_HAIRSTYLES	FRIZURI
WIKI_SUBCATEGORY_PET	PET-URI
WIKI_SUBCATEGORY_PET_COSTUMES	COSTUME PET-URI
WIKI_SUBCATEGORY_ANIME	SUFLETE
WIKI_SUBCATEGORY_MOUNT	MOUNT-URI
WIKI_SUBCATEGORY_MOUNT_COSTUMES	COSTUME MOUNT-URI
WIKI_CATEGORY_COSTUMES	COSTUME
WIKI_CATEGORY_EVENTS	EVENTE
WIKI_CATEGORY_GUIDES	GHIDURI
WIKI_REFINEINFO_YANG_COSTS	Preþ Yang
WIKI_REFINEINFO_UPGRADE_COSTS	Top preþ
WIKI_REFINEINFO_ITEM_LEVEL	Nivel %i
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_CHESTINFO_CONTENTOF	Conþinutul lui %s
WIKI_CHESTINFO_COMMON_DROP	Drop comun
WIKI_MONSTERINFO_DROPLISTOF	Drop-ul lui %s
WIKI_MONSTERINFO_LEVEL	Nivel: %i
WIKI_MONSTERINFO_IMMUNE_TO	Imun la: %s
WIKI_MONSTERINFO_DMG_HP	Min. Daune%s | Max. daune:%s | Max. PV: %s
WIKI_MONSTERINFO_GOLD_EXP	Min. Yang: %s | Max. Yang: %s | EXP: %s
WIKI_MONSTERINFO_RESISTANCES	Apãrari:
WIKI_MONSTERINFO_IMMUNE_NOTHING	nimic
WIKI_MONSTERINFO_STATISTICSOF	statisticile lui %s
WIKI_ITEMINFO_OPTAINEDFROM	Disponibil la
WIKI_ITEMINFO_REFINEINFO	Îmbunãtãþire %s
WIKI_TITLENAME	Wiki
WIKI_SUBCATEGORY_BELTS	CURELE
WIKI_SUBCATEGORY_TALISMANS	TALISMANE
WIKI_SUBCATEGORY_STOLE	EªARFE
WIKI_SUBCATEGORY_STOLE_COSTUMES	COSTUME EªARFE
WIKI_SUBCATEGORY_WEAPONS_EFFECT	EFECTE ARME
WIKI_SUBCATEGORY_ARMORS_EFFECT	EFECTE ARMURI
WIKI_SUBCATEGORY_TRANSLATE	TRADUCERI
WIKI_SUBCATEGORY_LV76_105	LV. 76-105
WIKI_SUBCATEGORY_SHIELD	SCUT-URI
WIKI_SUBCATEGORY_HELMET	COIF-URI
WIKI_SUBCATEGORY_ARMOR	ARMURI
WIKI_SUBCATEGORY_WEAPONS	ARME
WIKI_CATEGORY_EQUIPEMENT	ECHIPAMENT
WIKI_SEARCH_OVERLAY_TEXT	CAUTA
WIKI_EXACT_SEARCH_TEXT	Cãutare exactã
WIKI_MONSTERINFO_DAMAGE	Daune: %s-%s
WIKI_MONSTERINFO_DEFENSE	Apãrare: %s
WIKI_MONSTERINFO_EXP	Experienþã: %s
WIKI_MONSTERINFO_MAINRACE	Rasã: %s
WIKI_MONSTERINFO_MAX_HP	Max. PV: %s
WIKI_MONSTERINFO_NO_RACE	Nu
WIKI_MONSTERINFO_RACE_ANIMAL	Animale
WIKI_MONSTERINFO_RACE_UNDEAD	Vampiri
WIKI_MONSTERINFO_RACE_DEVIL	Diavol
WIKI_MONSTERINFO_RACE_HUMAN	Semi-oameni
WIKI_MONSTERINFO_RACE_ORC	Orci
WIKI_MONSTERINFO_RACE_MILGYO	Esoterici
WIKI_MONSTERINFO_RACE_TREE	Copaci
WIKI_MONSTERINFO_RACE_ELEC	Fulger
WIKI_MONSTERINFO_RACE_FIRE	Foc
WIKI_MONSTERINFO_RACE_ICE	Gheaþã
WIKI_MONSTERINFO_RACE_WIND	Vânt
WIKI_MONSTERINFO_RACE_EARTH	Pãmânt
WIKI_MONSTERINFO_RACE_DARK	Întuneric
WIKI_MONSTERINFO_RACE_METIN	Pietrã Metin
WIKI_MONSTERINFO_STONE_NAME	Pietrã Spiritualã
WIKI_MONSTERINFO_SUBRACE	Sub-rasã: %s
WIKI_MONSTERINFO_IMMUNE_STUN	Stun
WIKI_MONSTERINFO_IMMUNE_SLOW	Încetinire
WIKI_MONSTERINFO_IMMUNE_CURSE	Blestem
WIKI_MONSTERINFO_IMMUNE_POISON	Otravã
WIKI_MONSTERINFO_IMMUNE_TERROR	Teroare
IDRA_TEXT1	Ucidel pe Idra
IDRA_TEXT2	Distruge comoara
IDRA_TEXT3	Rezistã pt. %d : %d
IDRA_TEXT4	Distruge ouãle
IDRA_TEXT5	Aºteaptã %d : %d
IDRA_TEXT6	Reparã catârgul
IDRA_TEXT7	A-þi eliberat nava
IDRA_TEXT8	Ucide regina
IDRA_TEXT9	-:-
IDRA_TEXT10	%d
SUPPORTINCUBATRICE_DIALOG1	Numele introdus nu este corect!
GAMEMOD_DIALOG1	Pui
GAMEMOD_DIALOG2	Sãlbatic
GAMEMOD_DIALOG3	Curajos
GAMEMOD_DIALOG4	Eroic
GAMEMOD_DIALOG5	%s (z) ºi %s (o)
WHISPERMANAGER_DIALOG1	Englezã
WHISPERMANAGER_DIALOG2	Românã
WHISPERMANAGER_DIALOG3	Italianã
WHISPERMANAGER_DIALOG4	Turcã
WHISPERMANAGER_DIALOG5	Germana
WHISPERMANAGER_DIALOG6	Polonezã
WHISPERMANAGER_DIALOG7	Portughezã
WHISPERMANAGER_DIALOG8	Spaniolã
WHISPERMANAGER_DIALOG9	Cehã
WHISPERMANAGER_DIALOG10	Ungarã
WHISPERMANAGER_DIALOG11	Toate
PETSYSTEM_DIALOG1	Experienþã : %d of %d
PETSYSTEM_DIALOG2	Experienþã : %.2f%%
PETSYSTEM_DIALOG3	Experienþã I : %d of %d
PETSYSTEM_DIALOG4	Experienþã I : %.2f%%
PETFEED_DIALOG1	Nu poþi introduce iteme suprapuse.
PETFEED_DIALOG2	Selecþionat %s.
PETINCUBATRICE_DIALOG1	Numele pet-ului este invalid.
PETINCUBATRICE_DIALOG2	Trebuie sã deþii: %s.
PETINCUBATRICE_DIALOG3	Incubator: %s.
PETINCUBATRICE_DIALOG4	Ou Maimuþã
PETINCUBATRICE_DIALOG5	Ou Pãianjen
PETINCUBATRICE_DIALOG6	Ou Razador
PETINCUBATRICE_DIALOG7	Ou Nemere
PETINCUBATRICE_DIALOG8	Ou Dragon Albastru
PETINCUBATRICE_DIALOG9	Ou Dragon Roºu
PETINCUBATRICE_DIALOG10	Ou Azrael
PETINCUBATRICE_DIALOG11	Ou Boia
PETINCUBATRICE_DIALOG12	Ou Baashido
PETINCUBATRICE_DIALOG13	Ou Nessie
PETINCUBATRICE_DIALOG14	Ou Exedyar
UIMARKETSYS_DIALOG1	Spart: %d
UIMARKETSYS_DIALOG2	Cod NPC: %d
UIMARKETSYS_DIALOG3	Cod Titlu: %d
SUPPORT_DIALOG1	Sigur doreºti sã ºtergi obiectul selecþionat?
SUPPORT_DIALOG2	Trebuie mai întâi sã evocaþi suport-ul!
SUPPORT_DIALOG3	Nu poþi introduce acest item.
SUPPORT_DIALOG4	Item-ul nu este de acelaºi sex!
SUPPORT_DIALOG5	Continuând, item-ul îºi va pierde bonusurile. Vrei sã continuii?
PETSPECIAL_QUESTION1	Vrei sã pui pet-ul în cutie?
PETSPECIAL_QUESTION2	Vrei sã îþi hrãneºti pet-ul?
PVP_DUEL_TIME_REMAINING	Timp rãmas: [%s]
AFFECT_NEW_POTION31	Cartea ºefului
APPLY_PARTY_DROPEXP	Toþi membrii grupului vor colecta cu %d%% mai multe puncte experienþã.	SA
SLOTNAME_10	Item de PVM
SLOTNAME_11	Item de PVP
TOOLTIP_PETSKILL_1	Rezistenþã (Rãzboinici)
TOOLTIP_PETSKILL_2	Rezistenþã (Sura)
TOOLTIP_PETSKILL_3	Rezistenþã (Ninja)
TOOLTIP_PETSKILL_4	Rezistenþã (Shamani)
TOOLTIP_PETSKILL_5	Daune critice (PvM)
TOOLTIP_PETSKILL_6	Tare împotriva Pietrelor
TOOLTIP_PETSKILL_7	Tare împotriva ªefilor
TOOLTIP_PETSKILL_8	Calmare
TOOLTIP_PETSKILL_9	Drop Yang
TOOLTIP_PETSKILL_10	Valoarea atac/atac magic
TOOLTIP_PETSKILL_11	Blocheazã a. corporal
TOOLTIP_PETSKILL_12	Reflectã a. corporal
TOOLTIP_NEW_POTION30	Creºte posibilitatea de a prinde peºtele cu 20% daca e un peºte rar 20%.
AFFECT_NEW_POTION30	Cartea pescarului
TOOLTIP_APPLY_FISHING_RARE	Creºte posibilitatea de a prin un peºte rar cu %d%%	SA
TOOLTIP_ROD_FISHING	Creºte posibilitatea de a prinde peºtele cu %d%%.
TOOLTIP_FISH_USE_TIME	Duratã: %d minut(e)
TOOLTIP_ANTIDROP	|Eemoji/anti_drop|e
TOOLTIP_ANTISAFEBOX	|Eemoji/anti_safebox|e
TOOLTIP_ANTISELL	|Eemoji/anti_sell|e
TOOLTIP_ANTISHOP	|Eemoji/anti_shop|e
SLOTNAME_1	Skin Armurã
SLOTNAME_2	Skin Frizurã
SLOTNAME_3	Skin Mount
SLOTNAME_4	Skin Eºarfã
SLOTNAME_5	Skin Armã
SLOTNAME_6	Skin Pet
SLOTNAME_7	Mount
SLOTNAME_8	Efect Armurã
SLOTNAME_9	Efect Armã
TEXT_CHANNEL	%s, CH%d
CH_99_NAME	%s, General
TOOLTIP_BONUS_UNKNOWN	Necunoscut
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ANIMAL	Tare vs Animale
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ORC	Tare vs Orchi
TOOLTIP_DUNGEON_APPLY_ATTBONUS_UNDEAD	Tare vs Vampiri
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DEVIL	Tare vs Diavol
TOOLTIP_DUNGEON_APPLY_RESIST_FIRE	Rezistenþã la Foc
TOOLTIP_DUNGEON_APPLY_RESIST_ELEC	Rezistenþã la Fulger
TOOLTIP_DUNGEON_APPLY_RESIST_ICE	Rezistenþã la Gheaþã
TOOLTIP_DUNGEON_APPLY_RESIST_WIND	Rezistenþã la Vânt
TOOLTIP_DUNGEON_APPLY_RESIST_EARTH	Rezistenþã la Pãmânt
TOOLTIP_DUNGEON_APPLY_RESIST_DARK	Rezistenþã la Întuneric
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ELEC	Puterea Focului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_FIRE	Puterea Fulgerului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_ICE	Puterea Gheþii
TOOLTIP_DUNGEON_APPLY_ATTBONUS_WIND	Puterea Vântului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_EARTH	Puterea Pãmântului
TOOLTIP_DUNGEON_APPLY_ATTBONUS_DARK	Puterea Întunericului
TOOLTIP_DUNGEON_APPLY_DESIGN_1	Putere Fulger, Întuneric, Gheaþã, Foc, Pãmânt
TOOLTIP_DUNGEON_APPLY_ATTBONUS_RUNE	Tare vs monºtri Rune
TOOLTIP_APPLY_DESIGN_1	Putere Fulger, Întuneric, Gheaþã %d%%	SA
AFFECT_NEW_POTION24	Cerceii Armoniei
AFFECT_NEW_POTION25	Brãþara Iubirii
AFFECT_NEW_POTION26	Cerceii Iubirii
AFFECT_NEW_POTION27	Brãþara Armoniei
AFFECT_NEW_POTION28	Colierul Iubirii
AFFECT_NEW_POTION29	Colierul Armoniei
PET_TOOLTIP_LV	Nivel: %d
PET_TOOLTIP_BNS1	PV: +%s%%
PET_TOOLTIP_BNS2	Tare vs Monºtrii: +%s%%
PET_TOOLTIP_BNS3	Paguba medie [PVM]: +%s%%
DS_TIME_CHARGE	Timp rãmas: %d%% (sec %d) din %d%% (sec %d)
BIOLOGIST_ALERT2	Trebuie sã ridici recompensa pentru a putea continua.
BIOLOGIST_ALERT3	Ai completat misiunea, acum îþi poþi ridica recompensa.
BIOLOGIST_ALERT4	Pentru a putea ritira recompensa trebuie mai întâi sã completezi misiunea.
BIOLOGIST_CONFIRM_TYPE1	Sigur vrei sã accepþi bonusul selectat?
BIOLOGIST_ALERT_TYPE1	Trebuie sã alegi unul dintre bonusuri pentru a putea continua.
BIOLOGIST_REWARD_TYPE0	Vei primi urmãtoarele bonusuri:
BIOLOGIST_REWARD_TYPE1	Va trebuii sã alegi unul din urmãtoarele bonusuri:
BIOLOGIST_WAIT_FINISH	Timpul de aºteptare al biologului a luat sfârºit.
BIOLOGIST_WAIT	Urmãtoarea livrare: %s
BIOLOGIST_COUNT	%d/%d
BIOLOGIST_MISSION_NAME_1	Dinþii de Orc
BIOLOGIST_MISSION_NAME_2	Cãrþile Blestemate
BIOLOGIST_MISSION_NAME_3	Suvenirele Demonilor
BIOLOGIST_MISSION_NAME_4	Globurile de Gheaþã
BIOLOGIST_MISSION_NAME_5	Crengile Zelkova
BIOLOGIST_MISSION_NAME_6	Tãbliþele Tugyi
BIOLOGIST_MISSION_NAME_7	Crengile Copacilor F. Roºii
BIOLOGIST_MISSION_NAME_8	Insemnele Liderilor
BIOLOGIST_MISSION_NAME_9	Bijuteriile Invidiei
BIOLOGIST_MISSION_NAME_10	Bijuteriile Întelepciunii
BIOLOGIST_MISSION_NAME_11	Ferigile Întunecate
BIOLOGIST_MISSION_NAME_12	Inelele lui Chaegirab
BIOLOGIST_MISSION_NAME_13	Cristalele Metin
BIOLOGIST_MISSION_NAME_14	Nucleele Purificate
BATTLE_PASS_PROCENT	Procent: %.1f%%
BATTLE_PASS_ALERT1	Încã nu ai battlepass-ul activ, ai nevoie de acest item pentru a-l activa.
BATTLE_PASS_OK	Ok
BATTLE_PASS_STATUS	Status: %s%s|h|r
BATTLE_PASS_INACTIVE	Invactiv
BATTLE_PASS_ACTIVE	În curs
BATTLE_PASS_COMPLETED	Completat
BATTLE_PASS_UNKNOWN_NAME	Nume necunoscut
BATTLE_PASS_NAME	Nume: %s
BATTLE_PASS_COUNTQUEST	Misiuni rãmase: %s
BATTLE_PASS_COUNTQUEST_COMPELTED	Misiuni completate: %s
BATTLE_PASS_REMAINING_TIME	Timp rãmas: %s
PETBOX_RIMUOVE	Sigur doreºti sã scoþi pet-ul?
BUY_GAYA_ITEM	Doreºti sã cumperi acest item?
PETSKILLNAME_1	Rezistenþã (Rãzboinici)
PETSKILLNAME_2	Rezistenþã (Sura)
PETSKILLNAME_3	Rezistenþã (Ninja)
PETSKILLNAME_4	Rezistenþã (Shamani)
PETSKILLNAME_5	Daune critice (PvM)
PETSKILLNAME_6	Tare împotriva Pietrelor
PETSKILLNAME_7	Tare împotriva ªefilor
PETSKILLNAME_8	Drop EXP
PETSKILLNAME_9	Drop Yang
PETSKILLNAME_10	Valoarea atac/atac magic
PETSKILLNAME_11	Blocheazã a. corporal
PETSKILLNAME_12	Reflectã a. corporal
PETBOX_DESC1	Caracteristici:
PETBOX_DESC2	Vârstã: %d zile, %d ore ºi %d minute
PETBOX_DESC3	Nivel: %d
PETBOX_DESC4	Evoluþie: %s
PETBOX_DESC5	PV: %s%%
PETBOX_DESC6	Tare vs monºtrii: %s%%
PETBOX_DESC7	Paguba medie [PVM]: %s%%
PETBOX_DESC8A	Slot skill 1: blocat
PETBOX_DESC9A	Slot skill 2: blocat
PETBOX_DESC10A	Slot skill 3: blocat
PETBOX_DESC11A	Slot skill 4: blocat
PETBOX_DESC8B	Slot skill 1: gol
PETBOX_DESC9B	Slot skill 2: gol
PETBOX_DESC10B	Slot skill 3: gol
PETBOX_DESC11B	Slot skill 4: gol
