TELEPORT_PANEL_TITLE	Teleporter
TELEPORT_MAP_YONGBI_DESC	Aer cald, nisip în sandale. Nu vã place? Atunci mai bine evita?i acest loc. Dar sunt multe de descoperit aici. Douã temni?e de maimu?e sunt adiacente aici, de aici se poate ajunge ?i la temni?a cu pãianjeni ?i la câmpul de ?erpi.
TELEPORT_MAP_SOHAN_DESC	E destul de frig aici sus, a?a cã îmbracã-te! Aici gãse?ti rar legendarul Nine Tails. Ai grijã la ei! Este, de asemenea, o zonã bunã pentru a cuceri pietrele de metin. Dacã supravie?uie?ti frigului, e?ti un luptãtor dur.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulcani ?i magmã. E foarte cald aici! Mon?tri care se simt în afara acestei lumi pot fi gãsi?i aici. Nu intra aici dacã nu e?ti suficient de puternic!
TELEPORT_MAP_SNAKEFIELD_DESC	?erpi ?i uria?i? Pff... cum a putut sã iasã asta. Merge?i într-o zonã periculoasã ?i încerca?i sã supravie?ui?i aici. Evitã acest loc dacã chiar nu ?tii ce faci, altfel vei termina în cel mai scurt timp.
TELEPORT_MAP_GHOSTWOOD_DESC	Hartã cu mul?i mon?tri copac, metine ?i un ?ef rãu.
TELEPORT_MAP_REDWOOD_DESC	Hartã cu mul?i mon?tri copac, metine ?i un ?ef rãu.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Daca ai o problema cu marimile, nu intra aici! În caz contrar, vei putea jefui aici obiecte care ?i-ar putea aduce faimã ?i avere. Vã rugãm sã merge?i acolo bine echipat. ?ara are ?i mai mult nevoie de tine!
TELEPORT_BUTTON_RED_EMPIRE	Imperiu ro?u
TELEPORT_BUTTON_YELLOW_EMPIRE	Imperiu galben
TELEPORT_BUTTON_BLUE_EMPIRE	Imperiul albastru
TELEPORT_BUTTON_START	Început
TELEPORT_BUTTON_MIDDLE	Centru
TELEPORT_BUTTON_END	Final
TELEPORT_BUTTON_ENTRY	Intrare
TELEPORT_BUTTON_SKIPIA_1	Grota 1
TELEPORT_BUTTON_SKIPIA_2	Grota 2
TELEPORT_BUTTON_SKIPIA_BOSS	Camera sefului
LOGIN_ACCOUNT_EMPTY	CONT GOL
LOGIN_ACCOUNT_N_S	NICIUN CONT
LOGIN_ACCOUNT_DELETE	STERGE
LOGIN_ACCOUNT_SAVED	SALVARE
LOGIN_ACCOUNT_CONT	CONT
MULTIPLE_BUYS_TITLE	Cumpãrãturi multiple
DOGMODE	Mod Câine
ENCHANT_REINFORCE_TITLE	Adaugã & Schimbã
PET_HATCHING_TITLE	Incubator
PET_HATCHING_PRICE	Preþ: 100.000 Yang
PET_HATCHING_NAME	Nume
PET_HATCHING	Deschide
SKILL_SELECT_1	Selecteazã doctrina
SKILL_SELECT_2	Acceptã
GUILD_MEMBER_WAR	Rãzboi
PET_MISSING_1	Abilitãþi
PET_MISSING_2	PV
PET_MISSING_3	Tare vs Monºtrii
PET_MISSING_4	Daune Medii[PVM]
PET_MISSING_5	Nivel
PET_MISSING_6	Experienþã
PET_MISSING_7	Vârstã
PET_MISSING_8	Pet Sistem
HIDE_2_OPTION	Ascunde Efecte
HIDE_2_OPTION0	Shining Armurã
HIDE_2_OPTION1	Shining Armã
HIDE_2_OPTION2	Buff
HIDE_2_OPTION3	Skill
HIDE_OPTION	Ascunde
HIDE_OPTION0	Mount
HIDE_OPTION1	Pet
HIDE_OPTION2	Suport
HIDE_OPTION3	Magazine
HIDE_OPTION4	Titluri
HIDE_OPTION5	Steaguri
TIME_TYPE	Orariu AM/PM
ENVIRONMENT_MODE	Cer
ENVIRONMENT_MODE0	Zi
ENVIRONMENT_MODE1	Noapte
ENVIRONMENT_MODE2	Special 1
ENVIRONMENT_MODE3	Special 2
ENVIRONMENT_MODE4	Special 3
ENVIRONMENT_MODE5	Special 4
ENVIRONMENT_MODE6	Special 5
OPTION_AUTO_PICKUP	Adunã
OPTION_AUTO_PICKUP_ON	Auto
OPTION_AUTO_PICKUP_OFF	Manual
OPTION_NAMES_TYPE_NAME	Tip Nume
OPTION_NAMES_TYPE_NAME_0	Parþial
OPTION_NAMES_TYPE_NAME_1	Integral
MASK_HP_DEFAULT	HP: 12.000.000 / 12.000.000
EXTRA_INVENTORY_TITLE	Inventar Extra
BIOLOG_WND_CHANGE	Schimbã
BIOLOG_WND_TITLE_CHOOSE	Schimbã Bonusul
BIOLOG_WND_CHOOSE_1	Alege misiunea:
BIOLOG_WND_CHOOSE_2	Alege bonusul:
BIOLOG_WND_TITLE	Misiune Biolog
BIOLOG_WND_REWARD	Recompensã
BIOLOG_WND_REWARD_BUTTON	Premiu
UICHAR_LV	Niv.
UICHAR_EXP	EXP
UICHAR_NEXTEXP	EXP necesar
UICHAR_STATUS	Statusul personajului
UICHAR_CHARACTERISTICS	Caracteristici
UICHAR_STATUS_VALUE	[%d]
UICHAR_STATUS_VIT	VIT
UICHAR_STATUS_INT	INT
UICHAR_STATUS_STR	STR
UICHAR_STATUS_DEX	DEX
UICHAR_STATUS_HP	PV
UICHAR_STATUS_SP	PM
UICHAR_STATUS_ATT	Atac
UICHAR_STATUS_DEF	Apãrare
UICHAR_CHARACTERISTICS_1a	Vitezã de
UICHAR_CHARACTERISTICS_1b	miºcare
UICHAR_CHARACTERISTICS_2a	Vitezã de
UICHAR_CHARACTERISTICS_2b	atac
UICHAR_CHARACTERISTICS_3a	Vitezã
UICHAR_CHARACTERISTICS_3b	vrajã
UICHAR_CHARACTERISTICS_4a	Atac
UICHAR_CHARACTERISTICS_4b	magic
UICHAR_CHARACTERISTICS_5a	Apãrare
UICHAR_CHARACTERISTICS_5b	magicã
UICHAR_CHARACTERISTICS_6a	Valoare
UICHAR_CHARACTERISTICS_6b	eschivã
BATTLEPASS_MISSIONNAME	Nume misiune
BATTLEPASS_STATUS	Status
BATTLEPASS_INFORMATIONS	Informaþii
BATTLEPASS_DESCRIPTION	Descriere
BATTLEPASS_GENERAL_INFORMATIONS	Informaþii battlepass
BATTLEPASS_SHOP_DESC	Magazin
BATTLEPASS_REWARD_DESC	Premiu
SUBTEXT_OFFLINESHOP_TEXTBTN1	Magazinul meu
SUBTEXT_OFFLINESHOP_TEXTBTN2	Listã magazine
SUBTEXT_OFFLINESHOP_TEXTBTN3	Depozit
SUBTEXT_OFFLINESHOP_TEXTBTN4	Ofertele mele
SUBTEXT_OFFLINESHOP_TEXTBTN5	Cautã
SUBTEXT_OFFLINESHOP_TEXTBTN6	Istoric
SUBTEXT_OFFLINESHOP_TEXTBTN7	Caut. salvate
SUBTEXT_OFFLINESHOP_TEXTBTN8	Licitaþia mea
SUBTEXT_OFFLINESHOP_TEXTBTN9	Listã licit.
SUBTEXT_OFFLINESHOP_TEXT1	Nume:
SUBTEXT_OFFLINESHOP_TEXT2	Duratã:
SUBTEXT_OFFLINESHOP_TEXT3	Durata maximã e de 8 zile.
SUBTEXT_OFFLINESHOP_TEXT4	Zile
SUBTEXT_OFFLINESHOP_TEXT5	Ore
SUBTEXT_OFFLINESHOP_TEXT6	Titlu:
SUBTEXT_OFFLINESHOP_TEXT7	Duratã:
SUBTEXT_OFFLINESHOP_TEXT8	Numele proprietarului:
SUBTEXT_OFFLINESHOP_TEXT9	Numele magazinului:
SUBTEXT_OFFLINESHOP_TEXT10	Duratã:
SUBTEXT_OFFLINESHOP_TEXT11	Iteme:
SUBTEXT_OFFLINESHOP_TEXT12	Nume:
SUBTEXT_OFFLINESHOP_TEXT13	Item:
SUBTEXT_OFFLINESHOP_TEXT14	Preþ:
SUBTEXT_OFFLINESHOP_TEXT17	Nume item
SUBTEXT_OFFLINESHOP_TEXT18	Rasã
SUBTEXT_OFFLINESHOP_TEXT19	Tip
SUBTEXT_OFFLINESHOP_TEXT20	Preþ
SUBTEXT_OFFLINESHOP_TEXT21	Nivel
SUBTEXT_OFFLINESHOP_TEXT22	Bonus
SUBTEXT_OFFLINESHOP_TEXT23	Introdu:
SUBTEXT_OFFLINESHOP_TEXT24	Sugestii:
SUBTEXT_OFFLINESHOP_TEXT25	Min:
SUBTEXT_OFFLINESHOP_TEXT26	Max:
SUBTEXT_OFFLINESHOP_TEXT27	Rãzboinici
SUBTEXT_OFFLINESHOP_TEXT28	Ninja
SUBTEXT_OFFLINESHOP_TEXT29	Sura
SUBTEXT_OFFLINESHOP_TEXT30	Shamani
SUBTEXT_OFFLINESHOP_TEXT31	De la:
SUBTEXT_OFFLINESHOP_TEXT32	La:
SUBTEXT_OFFLINESHOP_TEXT33	Datã:
SUBTEXT_OFFLINESHOP_TEXT34	Timp:
SUBTEXT_OFFLINESHOP_TEXT35	Numãr de iteme:
SUBTEXT_OFFLINESHOP_TEXT36	Nume:
SUBTEXT_OFFLINESHOP_TEXT37	Ultima folosire:
SUBTEXT_OFFLINESHOP_TEXT38	Zile:
SUBTEXT_OFFLINESHOP_TEXT39	Duratã:
SUBTEXT_OFFLINESHOP_TEXT40	Preþ de pornire:
SUBTEXT_OFFLINESHOP_TEXT41	Proprietar:
SUBTEXT_OFFLINESHOP_TEXT42	Cea mai mare ofertã:
SUBTEXT_OFFLINESHOP_TEXT43	Proprietar:
SUBTEXT_OFFLINESHOP_TEXT44	Relansare min:
SUBTEXT_OFFLINESHOP_TEXT45	Nume:
SUBTEXT_OFFLINESHOP_TEXT46	Ofertã:
SUBTEXT_OFFLINESHOP_TEXT47	Proprietar:
SUBTEXT_OFFLINESHOP_TEXT48	Cea mai mare ofertã:
SUBTEXT_OFFLINESHOP_TEXT49	Duratã:
SUBTEXT_OFFLINESHOP_TEXT50	Numere:
DS_GRADE3	Antice
DS_GRADE4	Legendare
DS_GRADE5	Mitice
CHATTING_SETTING_CANCLE	Reseteazã
CHATTING_SETTING_CLEAR	Curãþã
CHATTING_SETTING_DEFAULT_TITLE	General
CHATTING_SETTING_DETAIL	Opþiuni sistem
CHATTING_SETTING_DICE	Zar
CHATTING_SETTING_DICE_SETTING	Opþiuni zar
CHATTING_SETTING_EXP	Experienþã
CHATTING_SETTING_GOLD	Valutã
CHATTING_SETTING_GUILD	Breaslã
CHATTING_SETTING_ITEM	Iteme
CHATTING_SETTING_LIST	Listã
CHATTING_SETTING_NOTICE	Mesaj
CHATTING_SETTING_PARTY	Grup
CHATTING_SETTING_SAVE	Salveazã
CHATTING_SETTING_SHOUT	Chat strigã
CHATTING_SETTING_SYSTEM	Sistem
CHATTING_SETTING_TABNAME	Setãri nume chat
CHATTING_SETTING_TALKING	General
CHATTING_SETTING_TITLE	Setãri chat
CAMERA_PERSPECTIVE	Perspectivã
CHARACTER_EMOJI_ACTION	Emoþii Noi
BROWSER_CHROME	Chrome
PAGINA_GILDA_1	Pagina 1
PAGINA_GILDA_2	Pagina 2
TERZO_POSTO	Bronz
SECONDO_POSTO	Argint
PRIMO_POSTO	Aur
TROFEI_GILDA	Trofee
SCONFITTE_GILDA	Înfrângeri
PAREGGI_GILDA	Egalitãþi
VITTORIE_GILDA	Victorii
NOME_GILDA	Nume
NOME_RANKING	Clasament
DIVISION_STACK	Împãrte tot
WIKI_TITLE	Wiki
RESTART_TOWN_NEW	Reîncepe în oraº în %s sec
RESTART_HERE_NEW	Reîncepe aici în %s sec
BIOLOGO_CONSEGNA_ITEM	Livreazã
NOTIFICA_BIOLOGO	Activeazã notificarea
NOME_BIOLOGO	Biolog
AUTO_TRANSLATE_DESC	Dacã e activat, toate mesajele primite vor fi traduse automat în limba ta.
AUTO_TRANSLATE	Traducere Auto
AUTO_TRANSLATE_WHISPER	Mesaje Private
RUNE_TITLE	Rune
RUNE_ACTIVE	Activeazã
RUNE_DEACTIVE	Dezactiveazã
RUNE_SHOP	Magazin
RUNE_EFFECT	Efect
RUNE_EFFECT_DESC	Atunci când toate Runele sunt la cel puþin 60% vei putea ascunde efectul.
KASMIR_MARKET_PRIVATESHOP_0	Standard
KASMIR_MARKET_PRIVATESHOP_1	O mie ºi una de nopþi
KASMIR_MARKET_PRIVATESHOP_2	Maestrul grãtarului
KASMIR_MARKET_PRIVATESHOP_3	Vânãtor de comori
KASMIR_MARKET_PRIVATESHOP_4	Flacãrã minimã
KASMIR_MARKET_PRIVATESHOP_5	Vãnzãtor de arme
KASMIR_MARKET_PRIVATESHOP_6	Vãnzãre de arme
KASMIR_MARKET_PRIVATESHOP_7	Alchimist
KASMIR_PAKET_STANDART	Standard
KASMIR_PAKET_FIRE	Foc
KASMIR_PAKET_ICE	Gheaþã
KASMIR_PAKET_PAPER	Hârtie
KASMIR_PAKET_RIBON	Scrisoare
KASMIR_PAKET_WING	Aripi
DESTROY	Distruge
PET_BTN_1	Bonus vârstã
EQUIPMENT_PAGE_BUTTON_TOOLTIP_1	Echipament
EQUIPMENT_PAGE_BUTTON_TOOLTIP_2	Costume
PET_BTN_3	Evolueazã
PET_EVOLVE_TITLE	Evoluare
PET_EVOLVE_BUTTON_OK	Evolueazã
PET_EVOLVE_BUTTON_CLOSE	Închide
PET_ENCHANT_TITLE	Creºte bonusurile
PET_ENCHANT_CHOOSE	Alege bonusul pe care vrei sã îl creºti:
PET_ENCHANT_ACCEPT	Creºte
PET_ENCHANT_CLOSE	Închide
RANKING_TITLE	Clasament
RANKING_RANK	Poziþie
RANKING_NAME	Nume
RANKING_POINTS	Statistici
RANKING_CAT0	Duele câºtigate
RANKING_CAT1	Duele pierdute
RANKING_CAT2	Ucideri 
RANKING_CAT3	Daune medii vs player
RANKING_CAT4	Daune abilitate vs player
RANKING_CAT5	Metine distruse
RANKING_CAT6	Monºtrii omorâþi
RANKING_CAT7	ªefi omorâþi
RANKING_CAT8	Daune medii vs ºefi
RANKING_CAT9	Daune abilitate vs ºefi
RANKING_CAT10	Yang acumulat
RANKING_CAT11	Gaya acumulat
RANKING_CAT12	Vrãjeºte obiectul folosite
RANKING_CAT13	Vrãjeºte talismane folosite
RANKING_CAT14	Peºti pescuiþi
RANKING_CAT15	Timp în joc (min)
RANKING_CAT16	Dungeon-uri completate
RANKING_CAT17	Cufere deschise
ATTR_COSTUME_REMOVE	ªterge Bonusul Special
ATTR_COSTUME_REMOVE_ACCEPT	ªterge
ATTR_COSTUME_REMOVE_CLOSE	Închide
ATTR_COSTUME_REMOVE_CHOOSE	Alege bonusul pe care vrei sã îl ºtergi:
SKILL_PASSIVE_DEFENSE	Pasiv
NEW_EXCHANGE_YOU	Tu
BATTLE_PASS	Battle Pass [F8]
BATTLE_PASS_MISSION_NAME	Nume Misiune
BATTLE_PASS_MISSION_STATUS	Status
BATTLE_PASS_MISSION_INFO	Informaþii
BATTLE_PASS_INFO	Informaþii Battle Pass
BATTLE_PASS_DESCRIPTION	Descriere Misiune
BATTLE_PASS_TOTAL_PROGRESS	Progres total
SKILL_COLOR_TITLE	Alege culoarea
SKILL_COLOR_PRESET_TITLE	Presetare culoare
SKILL_COLOR_PRESET_SELECT	Alege o culoare
SKILL_COLOR_PRESET_SAVE	Salveazã codul culorii alese
SKILL_COLOR_PRESET_CLEAR	Þterge codul culorii selecþionatã
SKILL_COLOR_CUSTOM_COLOR_CODE_TITLE	Cod culoare
SKILL_COLOR_DEFAULT	Foloseºte culoarea de default
SKILL_COLOR_CHANGE	Schimbã culoarea
SKILL_COLOR_CANCEL	Anuleazã
WIKI_WONDER	Wiki
DUNGEON_INFO	Informaþii Dungeon
OFFLINE_SHOP	Magazin Offline
BIOLOGO	Biolog
SAVE_POINT	Salveazã Locaþia
TELEPORTER	Harta de teleportare
SUPPORT_SYSTEM	Suport Shaman [X]
CLASSIFICA_GIOCATORI	Clasamentul Jucãtorilor [F12]
CLASSIFICA_GILDA	Clasamentul Breslelor [F6]
SWITCH_BOT	Switchbot [K]
INVENTORY_SEPARATE	Re-ordineazã Inventarul
INVENTORY_SPECIAL_SEPARATE	Re-ordineazã Inventarul Extra
Rune	Rune [J]
EXTRA_INVENTORY	Inventar Extra [F5]
HIDE_COSTUME	Ascunde costume
SELECT_YES_GUILD	Numele breslei: %s
SUPPORT_SKILL_VALUE	Valoarea abilitãþii
SUPPORT_CHAR_TITLE	Buff Suport
DRAGONSOUL_REFINE	Îmbunãtãþeºte
DRAGONSOUL_SHOP	Magazin
DEFANCE_WAWE_MAST_TEXT	Catârgul navei
DEFANCE_WAWE_GAUGE_TOOLTIP	HP: 990000000 /990000000
DAILY_REWARD01	Recompensã zilnicã
DAILY_REWARD02	Premiu
DAILY_REWARD03	Ridicã
DAILY_REWARD04	Premii disponibile:
DAILY_REWARD05	Timp:
OPTION_TILING	Graficã
OPTION_TILING_APPLY	Aplicã
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
SASH_ABSORB	Absorbþie Bonusuri
SASH_COMBINE	Combinaþie
SASH_MAIN	Eºarfã 1
SASH_RESULT	Rezultat
SASH_SERVE	Eºarfã 2
BANNER_MINI_GAME_FINDM	TRIO MONªTRII
DRAGONSOUL_TAP_TITLE_1	Diamant dragon: %s
DRAGONSOUL_TAP_TITLE_2	Rubin dragon: %s
DRAGONSOUL_TAP_TITLE_3	Jad dragon: %s
DRAGONSOUL_TAP_TITLE_4	Safir dragon: %s
DRAGONSOUL_TAP_TITLE_5	Granat dragon: %s
DRAGONSOUL_TAP_TITLE_6	Onyx dragon: %s
GUILD_BANK_NUMBER	Numãrul bãncii
GUILD_BASEINFO_DEAL	Vinde terenul breslei
GUILD_BASEINFO_GOLDMANAGE	Tranzacþie
GUILD_BASEINFO_LANDABANDON	Anuleazã contractul terenului al breslei.
GUILD_BASEINFO_MONEYIN	Depoziteazã
GUILD_BASEINFO_MONEYOUT	Retrage
GUILD_BASEINFO_VOTE	Sondaj
GUILD_LANDDEAL_VOTE	Vinde terenul breslei
GUILD_LANDDEAL_VOTE_DEALGOLD	Preþ în Yang:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Nume breaslã:
GUILD_MEMBER_VOTE_CHECK	Controleazã sondajul
SAFEBOX_TITLE	Depozit
MINI_GAME_FINDM_HINT_BTN	Sugestie
MINI_GAME_FINDM_START_BTN	Începe jocul
MINI_GAME_FINDM_TITLE	Trio de monºtrii
MINI_GAME_FINDM_TRY_COUNT_TEXT	Încercãri
MINI_GAME_FINDM_UPGRADE_BAR1	Item
MINI_GAME_FINDM_UPGRADE_BAR2	Contribuþie (Yang)
MINI_GAME_FINDM_UPGRADE_RECV	Item primit
MINI_GAME_FINDM_UPGRADE_RETRY	Incearcã sã îmbunãtãþeºti
MINI_GAME_FINDM_UPGRADE_TITLE	Îmbunãtãþeºti recompensa
MOUSEBUTTON_ANTIEXP	Inel anti-EXP
OPTION_CAMERA_DISTANCE_LONG_LONG	F. Departe
PIN_CODE_DESC_1	Introdu codul pin al caracterului
PIN_CODE_DESC_2	pentru a intra în joc.
PIN_CODE_NEW	Cod pin nou
PIN_CODE_CONFIRM_NEW	Confirmã codul pin
BOOKS_TITLE	Cãrþi
COFFERS_TITLE	Cufere
STONES_TITLE	Pietre
UPPGRADE_TITLE	Iteme Upp
USERNAMETEXT	Nume utilizator:
PASSWORDTEXT	Parolã:
DUNGEON_INFO	Informaþii Dungeon
DUNGEON_INFO_TYPE	Tip:
DUNGEON_INFO_ORGANIZATION	Organizaþie:
DUNGEON_INFO_LEVEL_LIMIT	Limita nivelului:
DUNGEON_INFO_PARTY_MEMBERS	Membri grup:
DUNGEON_INFO_COOLDOWN	Timp de aºteptare:
DUNGEON_INFO_DURATION	Duratã:
DUNGEON_INFO_ENTRANCE	Intrare:
DUNGEON_INFO_STRENGTH	Putere:
DUNGEON_INFO_RESISTANCE	Rezistenþã:
DUNGEON_INFO_TOTAL_FINISHED	Total terminat:
DUNGEON_INFO_FASTEST_TIME	Cel mai bun timp:
DUNGEON_INFO_HIGHEST_DAMAGE	Cea mai mare daunã asupra ºefului:
DUNGEON_INFO_TELEPORT	Teleportare
DUNGEON_INFO_CLOSE	Închide
DUNGEON_INFO_PERSONAL_STATS	Rezultatele mele
DUNGEON_INFO_DUNGEON	Dungeon
DUNGEON_RANKING	Clasament
DUNGEON_RANKING_POSITION	Poziþie
DUNGEON_RANKING_NAME	Nume
DUNGEON_RANKING_LEVEL	Nivel
DUNGEON_RANKING_POINTS	Puncte
DUNGEON_RANKING_TYPE1	Clasament Terminat
DUNGEON_RANKING_TYPE2	Clasament Timp
DUNGEON_RANKING_TYPE3	Clasament Daune
DUNGEON_RANKING_POINT_TYPE1	Completat
DUNGEON_RANKING_POINT_TYPE2	Min. Timp
DUNGEON_RANKING_POINT_TYPE3	Max. Daune
FISHING_RENEWAL_TITLE	Pescuit
CHAT_FILTER	Filtru Chat
CHAT_FILTER_DICE	Zaruri
MYSHOP_DECO_CANCEL	Închide
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Urmãtorul
MYSHOP_DECO_OK	Confirmã
MYSHOP_DECO_PREV	Înapoi
MYSHOP_DECO_SELECT_MODEL	Alege aspectul magazinului.
MYSHOP_DECO_SELECT_TITLE	Alege aspectul numelui.
COMB_TITLE	
QUEST_UI_TEXT_COLLECTION	Misiuni Biolog
QUEST_UI_TEXT_DAILY	Misiune Zilnicã
QUEST_UI_TEXT_EVENT	Misiuni Eveniment
QUEST_UI_TEXT_LEVELUP	Misiuni Vânãtoare
QUEST_UI_TEXT_MAIN	Misiuni de Bazã
QUEST_UI_TEXT_SCROLL	Misiune Cartea Misiunii
QUEST_UI_TEXT_SUB	Misiuni Secundare
QUEST_UI_TEXT_SYSTEM	Misiuni Joc
ACCEPT	OK
ACCE_ABSORB	Bonus de Absorbþie
ACCE_COMBINE	Combinaþie
ACCE_MAIN	Esarfa 1
ACCE_RESULT	Rezultat
ACCE_SERVE	Esarfa 2
ATTACH_METIN_INFO	Doreºti sã utilizezi Piatra Spiritului?
ATTACH_METIN_TITLE	Foloseºte Piatra Spiritului
ATTENDANCE_TITLE	Eveniment Spintecãtorul de ªefi
ATTR_67_ADD	Adaugã Bonus
ATTR_67_ADD_TITLE	Adaugã Bonus
ATTR_67_MATERIAL_SLOT_TITLE	Marcasite
ATTR_67_REGIST_SLOT_TITLE	Obiect Þintã
ATTR_67_SUPPORT_SLOT_TITLE	Aditiv
AURA_MAIN	Costum Aura
AURA_SUB	Material
AUTO_AUTO_ATTACK	Atac
AUTO_AUTO_POSITION	Licori
AUTO_AUTO_RANGE	Focus
AUTO_AUTO_SKILL	Abilitãþi
AUTO_CLEAR	Curãþã
AUTO_END	Stop
AUTO_OFF	Off
AUTO_ON	On
AUTO_POSITION_SETTING	Licori
AUTO_SAVE	Salveazã
AUTO_SETTING	Setãri
AUTO_SKILL_SETTING	Abilitãþi
AUTO_START	Start
AUTO_TITLE	Auto-Atac
BANNER_ATTENDANCE_BUTTON	Eveniment Spintecãtorul de ªefi
BANNER_BLACK_AND_WHITE_BUTTON	Duelul Profeþilor
BANNER_CATCHKING_BUTTON	Prinde Regele
BANNER_EASTER_BUTTON	PAªTE
BANNER_FISH_BUTTON	PESCUIT JIGSAW
BANNER_FLOWER_BUTTON	FLOWER POWER
BANNER_FOOTBALL_BUTTON	FOTBAL
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	OMOARÃ MONªTRI
BANNER_MINIBOSS_BUTTON	Apocalipsa Zodiac
BANNER_MONSTERBACK_BUTTON	Obþine Puncte Loviturã
BANNER_MYSTERY_BOX_BUTTON	EVENIMENT PRADÃ I
BANNER_MYSTERY_BOX_BUTTON_2	EVENIMENT PRADÃ II
BANNER_NEW_XMAS_BUTTON	CRÃCIUN
BANNER_OKEY_BUTTON	Eveniment Okey
BANNER_OLYMPIC_BUTTON	EVENIMENT CU EROI
BANNER_RAMADAN_BUTTON	RAMADAN
BANNER_ROULETTE_BUTTON	Ritualul Sângelui
BANNER_SOUL_BUTTON	EVENIMENT DE SUFLET
