TELEPORT_PANEL_TITLE	teleport
ACCE_MAIN	äerpa 1
ACCE_RESULT	V˝sledek
ACCE_SERVE	äerpa 2
ATTACH_METIN_INFO	P¯ejete si pouûÌt k·men ducha?
ATTACH_METIN_TITLE	PouûÌt k·men ducha
ATTENDANCE_TITLE	Ud·lost Boss Reaper
ATTR_67_ADD	P¯idat bonus
ATTR_67_ADD_TITLE	P¯idat bonus
ATTR_67_MATERIAL_SLOT_TITLE	St¯epy sÌly
ATTR_67_REGIST_SLOT_TITLE	CÌlov˝ p¯edmÏt
ATTR_67_SUPPORT_SLOT_TITLE	P¯Ìsada
AURA_MAIN	Kost˝m s aurou
AURA_SUB	Materi·l
AUTO_AUTO_ATTACK	⁄tok
AUTO_AUTO_POSITION	Lektvary
AUTO_AUTO_RANGE	Aut. zamÏ¯enÌ
AUTO_AUTO_SKILL	Schopnosti
AUTO_CLEAR	Smazat
AUTO_END	Stop
AUTO_OFF	Vyp.
AUTO_ON	Zap.
AUTO_POSITION_SETTING	Lektvary
AUTO_SAVE	Uloûit
AUTO_SETTING	NastavenÌ
AUTO_SKILL_SETTING	Schopnosti
AUTO_START	Start
AUTO_TITLE	Auto lov
BANNER_ATTENDANCE_BUTTON	Ud·lost Boss Reaper
BANNER_BLACK_AND_WHITE_BUTTON	Souboj vÏötc˘
BANNER_CATCHKING_BUTTON	Chyù kr·le
BANNER_EASTER_BUTTON	VELIKONOCE
BANNER_FISH_BUTTON	RYB¡ÿSK¡ SKL¡DA»KA
BANNER_FLOWER_BUTTON	SÕLA KVÃTIN
BANNER_FOOTBALL_BUTTON	FOTBAL
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	LOV PÿÕäER
BANNER_MINIBOSS_BUTTON	Apokalypsa ZvÏrokruhu
BANNER_MONSTERBACK_BUTTON	Obnovit Body ûivota
BANNER_MYSTERY_BOX_BUTTON	UD¡LOST KOÿIST I
BANNER_MYSTERY_BOX_BUTTON_2	UD¡LOST KOÿIST II
BANNER_NEW_XMAS_BUTTON	V¡NOCE
BANNER_OKEY_BUTTON	Ud·lost Okey
BANNER_OLYMPIC_BUTTON	HRDINA
BANNER_RAMADAN_BUTTON	RAMADAN
BANNER_ROULETTE_BUTTON	Krvav˝ ritu·l
BANNER_SOUL_BUTTON	HONBA DUäÕ
BANNER_SUMMER_BUTTON	LETNÕ AKCE
BANNER_VALENTINE_BUTTON	VALENT›NSK› SV¡TEK
BANNER_YUTNORI_BUTTON	Yutnori
BATTLE_FIELD_INFO	BitevnÌ zÛna
BATTLE_FIELD_OPERATION_TIME	Do bitevnÌch zÛn lze vstoupit mezi %s:00 a %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Moment·lnÏ otev¯eno pro vstup.
BATTLE_FIELD_OPERATION_TIME_END	BitevnÌ zÛna bude otev¯ena jeötÏ %s hodin.
BATTLE_FIELD_OPERATION_TIME_NA	Moment·lnÏ uzav¯eno pro vstup.
BATTLE_FIELD_OPERATION_TIME_OPEN	Pro vstup se otev¯e za %s hodin a bude otev¯ena %s hodin.
BATTLE_FILED_RANK	Hodnost
BATTLE_FILED_RANK_EMPIRE	Kr·lovstvÌ
BATTLE_FILED_RANK_NAME	N·zev
BATTLE_FILED_RANK_POINT	Body
BNW_GAME_UI_COM	ProtivnÌk
BNW_RANK_UI_COUNT	Dary
BNW_RANK_UI_NAME	JmÈno
BNW_RANK_UI_RANK	UmÌstÏnÌ
CANCEL	Zruöit
CHANGE_ATTR_SELECT	ZmÏnit bonus
CHANGE_PASSWORD_CONFIRM	Potvrdit novÈ heslo
CHANGE_PASSWORD_NEW	NovÈ heslo
CHANGE_PASSWORD_OLD	StarÈ heslo
CHANGE_PASSWORD_TITLE	ZmÏna hesla
CHARACTER_ACTION	Akce
CHARACTER_EMOTICON	Emoce
CHARACTER_MAIN	Postava
CHARACTER_MUTUAL_ACTION	InteraktivnÌ akce
CHARACTER_NORMAL_ACTION	Norm·lnÌ akce
CHARACTER_QUEST	⁄kol
CHARACTER_SKILL	Schopnosti
CHARACTER_SPECTIAL_ACTION	Speci·lnÌ akce
CHAT_FILTER	Filtr konverzace
CHAT_FILTER_DICE	Kostka
CLOSE	Zav¯Ìt
COMB_APPEARANCE	CÌl
COMB_ATTRIBUTE	Zdroj
COMB_MAIN	CÌl
COMB_MATERIAL	Zdroj
COMB_SKILLBOOK_TILE	Obchodovat s knihami
COSTUME_TITLE	Kost˝my
COSTUME_WINDOW_TITLE	Kost˝my
CREATE_ATT_GRADE	SIL
CREATE_CREATE	Vytvo¯it
CREATE_DEX_GRADE	POH
CREATE_HP	VIT
CREATE_LAST_POINT	Body
CREATE_MAN	Muû
CREATE_NAME	JmÈno
CREATE_NEXT	D·le
CREATE_PREV	ZpÏt
CREATE_SEX	PohlavÌ
CREATE_SHAPE	Vzhled
CREATE_SP	INT
CREATE_STAT_RESET	ZpÏt
CREATE_WOMAN	éena
CUBE_INFO_TITLE	P¯ÌruËka zuölechùov·nÌ
CUBE_RENEWAL_BELT_IMPROVE	Zv˝öit öanci
CUBE_RENEWAL_TITLE	ZuölechtÏnÌ
CUBE_REQUIRE_MATERIAL	PoûadovanÈ materi·ly
CUBE_REQUIRE_MATERIAL_OR	nebo
CUBE_TITLE	Okno zuölechùov·nÌ
CURRENT_POINT	Aktu·lnÌ body: %s
CZ_REWARD_WINDOW_TITLE	Chr·m ZvÏrokruhu
DO_CHANGE_ATTR	PouûÌt
DO_REFINE	Zuölechtit
DO_REFINE_ALL	Zuölechtit vechno
DRAGONSOUL_ACTIVATE	Aktivovat
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	ZmÏna bonusu pro M˝tick˝ DraËÌ k·men
DRAGONSOUL_PAGE_BUTTON_1	Surov˝
DRAGONSOUL_PAGE_BUTTON_2	Brouöen˝
DRAGONSOUL_PAGE_BUTTON_3	Vz·cn˝
DRAGONSOUL_PAGE_BUTTON_4	StarovÏk˝
DRAGONSOUL_PAGE_BUTTON_5	Legend·rnÌ
DRAGONSOUL_PAGE_BUTTON_6	M˝tick˝
DRAGONSOUL_REFINE_WINDOW_TITLE	Okno zuölechùov·nÌ
DRAGONSOUL_TAP_TITLE_1	DraËÌ diamant: %s
DRAGONSOUL_TAP_TITLE_2	DraËÌ rubÌn: %s
DRAGONSOUL_TAP_TITLE_3	DraËÌ nefrit: %s
DRAGONSOUL_TAP_TITLE_4	DraËÌ safÌr: %s
DRAGONSOUL_TAP_TITLE_5	DraËÌ gran·t: %s
DRAGONSOUL_TAP_TITLE_6	DraËÌ onyx: %s
DRAGONSOUL_TITLE	Alchymie DraËÌch kamen˘
DUTCHAUCTION_BUTTON	Jdi!
DUTCHAUCTION_TITLE	Bleskov· aukce
EMPIRE_A	Shinsoo
EMPIRE_ALL	Vöechna
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	UkonËit
EMPIRE_NEXT	D·le
EMPIRE_PREV	ZpÏt
EMPIRE_SELECT	Zvolit
END_TIME	AktivnÌ ud·lost
ENTER_BATTLE_FIELD	Vstoupit
EVENT_ALARM_TITLE	P¯ehled ud·losti
EVENT_NAME_TITLE	N·zev
EVENT_REWARD_TITLE	OdmÏna
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Obchodov·nÌ
EXIT_BATTLE_FIELD	Opravdu chceö opustit bitevnÌ zÛnu?
EXIT_BATTLE_FIELD_ON_DEAD	Chceö opustit bitevnÌ zÛnu s %d body?
EXPIRED_TIME	Ud·lost byla ukonËena.
FISHING_RENEWAL_TITLE	Chytat ryby
FRAGMENT_COMB_TITLE	Kombinovat Knihy schopnostÌ
GAMEOPTION_TITLE	NastavenÌ hry
GAME_EXIT_OBSERVER	UkonËit div·ck˝ modus
GAME_GUILD_WAR_JOIN	P¯idat se k v·lce cech˘
GAME_QUEST	⁄koly
GAME_SKILL_UP	Zv˝öit schopnost
GAME_STAT_UP	Zv˝öit status
GEMSHOP_LEFTTIME	Zb˝vajÌcÌ Ëas
GEMSHOP_TITLA	GAYA TRéIäTÃ
GRADE	StupeÚ
GRADE_SELECT	StupeÚ
GRAPHICONOFF_DROP_ITEM_APPLY	PouûÌt
GRAPHICONOFF_DROP_ITEM_LEVEL	Pad·nÌ p¯edmÏt˘
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Zobrazit efekt & n·zev
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Skr˝t efekt
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Skr˝t efekt & n·zev
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Skr˝t p¯edmÏty & zobrazit n·zev na kurzor
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Skr˝t p¯edmÏty & n·zev
GRAPHICONOFF_EFFECT_APPLY	PouûÌt
GRAPHICONOFF_EFFECT_LEVEL	Efekty
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Zobrazit vöe
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Pouze efekty tvÈ a p¯Ìöer
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Pouze efekty tvÈ a ostatnÌch hr·Ë˘
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Pouze tvÈ
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Skr˝t vöe
GRAPHICONOFF_NPC_NAME_STATUS	JmÈna NPC
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Vyp.
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Skr˝t jmÈna NPC
GRAPHICONOFF_NPC_NAME_STATUS_ON	Zap.
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Zobrazit jmÈna NPC
GRAPHICONOFF_PET_STATUS	MazlÌci
GRAPHICONOFF_PET_STATUS_OFF	Vyp.
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Skr˝t mazlÌky
GRAPHICONOFF_PET_STATUS_ON	Zap.
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Zobrazit mazlÌky
GRAPHICONOFF_PRIVATE_SHOP_APPLY	PouûÌt
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	SoukromÈ st·nky
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Zobrazit vöe
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Zobrazit vöe v öirokÈm okolÌ
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Zobrazit vöe ve st¯ednÌm okolÌ
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Zobrazit vöe v blÌzkÈm okolÌ
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Zobrazit vöe v tÏsnÈ blÌzkosti
GUILDWINDOW_BASE_BUFF	CechovnÌ bonus
GUILD_ATTENDANCE_LOCA1	PrvnÌ ˙Ëast: 1x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA2	10 a vÌce: 1x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA3	20 a vÌce: 2x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA4	30 a vÌce: 4x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA5	40 a vÌce: 6x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA6	50 a vÌce: 8x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA7	60 a vÌce: 10x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA8	70 a vÌce: 12x Medaile stateËnosti
GUILD_ATTENDANCE_LOCA9	PoË·tek: dennÏ v 05:00
GUILD_ATTENDANCE_TITLE	OdmÏna za ˙Ëast
GUILD_BANKINFO_CLOSE	Zav¯Ìt
GUILD_BANKINFO_NAME	»len
GUILD_BANKINFO_TITLE	Z·znamy cechovnÌho skladiötÏ
GUILD_BANKINFO_TYPE	P¯edmÏt/mÏna
GUILD_BANKINFO_USETYPE	Akce
GUILD_BANK_CLOSE	Zav¯Ìt
GUILD_BANK_INFO	Str·nka:
GUILD_BASEINFO_BANK	CechovnÌ skladiötÏ
GUILD_BASEINFO_BANKLASTOUT	P¯edmÏt odebr·n
GUILD_BASEINFO_BUILDING	CechovnÌ budova
GUILD_BASEINFO_FACTORY	CechovnÌ kov·¯
GUILD_BASEINFO_GUILDLAND	⁄zemÌ cechu
GUILD_BASEINFO_LANDSCAPE	OstatnÌ
GUILD_BASEINFO_LOCALE	UmÌstÏnÌ
GUILD_BASEINFO_MONEY	Bilance
GUILD_BASEINFO_MONEYBANKINFO	Informace o cechovnÌ pokladnÏ
GUILD_BASEINFO_MONEYLASTOUT	PoslednÌ v˝bÏr
GUILD_BASEINFO_POWER	Olt·¯ sÌly
GUILD_BASEINFO_SMEITER	CechovnÌ alchymista
GUILD_BASEINFO_TITLE	Informace o ˙zemÌ
GUILD_BASENAME	Z·kladnÌ jmÈno
GUILD_BOARD_ID	JmÈno
GUILD_BOARD_REFRESH	Aktualizovat
GUILD_BOARD_TEXT	Zpr·va
GUILD_BUILDING_CATEGORY_TITLE	StavebnÌ jednotky
GUILD_BUILDING_CHANGE	ZmÏnit
GUILD_BUILDING_CHANGE_DELETE	Smazat
GUILD_BUILDING_CHANGE_FIX	Rekonstrukce cechu
GUILD_BUILDING_CHANGE_LIST	Seznamu cechovnÌch budov
GUILD_BUILDING_DIRECTION	Orientace
GUILD_BUILDING_FIX	Rekonstrukce
GUILD_BUILDING_GRADE	Hodnost
GUILD_BUILDING_INFO	Informace o budovÏ a n·kladech
GUILD_BUILDING_LIST_TITLE	Seznam budov
GUILD_BUILDING_LOG	Kmen
GUILD_BUILDING_NAME	N·zev budovy
GUILD_BUILDING_OPERATE	Obsluhovat
GUILD_BUILDING_PLY	P¯ekliûka
GUILD_BUILDING_POSITION	Poloha
GUILD_BUILDING_PREVIEW	N·hled
GUILD_BUILDING_PRICE	Cena
GUILD_BUILDING_REFRESH	Aktualizovat
GUILD_BUILDING_STONE	K·men
GUILD_BUILDING_TITLE	Stavba domu cechu
GUILD_CRYSTAL	K¯iöù·l
GUILD_DEPOSIT	Zaplatit
GUILD_DONATE_BUTTON_OVER_TEXT	N·hodn˝ p¯edmÏt
GUILD_DONATE_COUNT	DostupnÈ dary: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	CechovnÌ BZK
GUILD_DONATE_HIGH_MATERIAL	Velk˝ dar
GUILD_DONATE_MEDAL_OF_HONOR	Medaile stateËnosti
GUILD_DONATE_MIDDLE_MATERIAL	St¯ednÌ dar
GUILD_DONATE_MY_MEDAL_OF_HONOR	MÈ Medaile stateËnosti
GUILD_DONATE_NORMAL_MATERIAL	120 000 Yang˘
GUILD_DONATE_TAB_HIGH	Velk˝ dar
GUILD_DONATE_TAB_MIDDLE	St¯ednÌ dar
GUILD_DONATE_TAB_NORMAL	Mal˝ dar
GUILD_DONATE_TITLE	Dar BZK
GUILD_DRAGONLAIR_RANKING	HodnocenÌ
GUILD_DRAGONLAIR_RANKING_COUNT	Hodn.
GUILD_DRAGONLAIR_RANKING_MEMBER	»len
GUILD_DRAGONLAIR_RANKING_NAME	Cech
GUILD_DRAGONLAIR_RANKING_TIME	»as
GUILD_DROP_RESOURCE1	zde
GUILD_DROP_RESOURCE2	Nechat spadnout zdroj
GUILD_GEM	Drahokam
GUILD_GRADE_CHANGE_GRADE_NAME	NovÈ jmÈno hodnosti
GUILD_GRADE_NUM	»Ìslo
GUILD_GRADE_PERMISSION_BANK	M˘ûe pouûÌvat cechovnÌ pokladnu a skladiötÏ
GUILD_GRADE_PERMISSION_DELETE	Odebrat z cechu
GUILD_GRADE_PERMISSION_JOIN	M˘ûe p¯ijÌmat hr·Ëe do cechu
GUILD_GRADE_PERMISSION_NOTICE	M˘ûe posÌlat cechovnÌ zpr·vy
GUILD_GRADE_PERMISSION_SKILL	Schopnosti cechu
GUILD_GRADE_PERMISSION_WAR	M˘ûe vybÌrat Ëleny jako bojovnÌky
GUILD_GRADE_RANK	Hodnost
GUILD_GRADE_WRITE	Ps·t
GUILD_INFO	Informace o cechu
GUILD_INFO_CUR_EXP	Zkuöenost
GUILD_INFO_DECALRE_WAR	Vyhl·sit v·lku
GUILD_INFO_ENEMY_GUILD	Nep¯·telsk˝ cech
GUILD_INFO_ENEMY_GUILD_EMPTY	é·dn·
GUILD_INFO_LEVEL	CechovnÌ ˙roveÚ
GUILD_INFO_MARK	Logo cechu
GUILD_INFO_MASTER	VedoucÌ
GUILD_INFO_MASTER_VALUE	VedoucÌ
GUILD_INFO_MEMBER_AVG_LEVEL	Pr˘m. ˙roveÚ
GUILD_INFO_MEMBER_NUM	PoËet Ëlen˘
GUILD_INFO_NAME	N·zev cechu
GUILD_INFO_NAME_VALUE	Toto je n·zev cechu
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Pot¯ebn· zkuöenost
GUILD_INFO_UPLOAD_MARK	Uploadovat logo
GUILD_INFO_UPLOAD_SYMBOL	Uploadovat logo
GUILD_MARK	Logo cechu
GUILD_MASTER_CHANGE_TITLEBAR	Vzd·t se vedenÌ cechu
GUILD_MEMBER_JOB	Rasa
GUILD_MEMBER_KNIGHT	BojovnÌk
GUILD_MEMBER_LEVEL	⁄roveÚ
GUILD_MEMBER_NAME	JmÈno
GUILD_MEMBER_OUT_TITLEBAR	Odebrat Ëlena
GUILD_MEMBER_PACE_ATTENDANCE	⁄Ëast ({0}/{1})
GUILD_MEMBER_RANK	Hodnost
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	K·men metin
GUILD_MINENAL	Miner·l
GUILD_MONEY	Yang
GUILD_NAME	Cech
GUILD_RESOURCE_INFO	Informace o zdrojÌch
GUILD_SKILLPAGE_LADDER	Body umÌstÏnÌ
GUILD_SKILLPAGE_RANK	Hodn.
GUILD_SKILL_ACTIVE	AktivnÌ
GUILD_SKIlL_HEAL_GSP	NabÌt
GUILD_SKILL_PASSIVE	PasivnÌ
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Schopnosti cechu
GUILD_SYMBOL	Prapor cechu
GUILD_WAR_ACCEPT	Akceptovat vyhl·öenÌ v·lky
GUILD_WAR_ALLSCORE	Vöechny v·lky
GUILD_WAR_BATTLE_TYPE	Druh boje
GUILD_WAR_CTF	Vlajka
GUILD_WAR_DECLARE	Vyhl·sit v·lku cech˘
GUILD_WAR_ENEMY	ProtivnÌk
GUILD_WAR_GAINSCORE	Body
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	»as boje
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	»lenovÈ
GUILD_WAR_JOINMEMBER_COUNT	»lenovÈ
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Pole
GUILD_WAR_REPORT	V·leËn˝ report
GUILD_WAR_REPORTLIST	P¯ehled (Bitvy: B, vÌtezstvÌ: V, prohry: P, remÌzy: R)
GUILD_WAR_SCORE	V·leËn˝ report
GUILD_WAR_SKILL	Schopnosti cechu
