NPC_SEARCH	Szukaj NPC
SKILL_SELECT_DIALOG1	Musisz wybrac doktryne!
SKILL_SELECT_DIALOG2	Chcesz nauczyc sie stylu: %s?
ACCE_ABSORB_COST	Cena absorpcji: %d
ACCE_ALREADY_REGISTER	Przedmiot ten zosta³ ju¿ u¿yty.
ACCE_DEL_ABSORDITEM	Absorbowaæ i tym samym zniszczyæ przedmiot?
ACCE_DEL_SERVEITEM	Szarfa 2 ulegnie zniszczeniu, jeœli kombinacja siê nie powiedzie.
ACCE_DEL_SERVEITEM2	Szarfa 2 ulegnie zniszczeniu, jeœli kombinacja siê nie powiedzie.
ACCE_INITEM	Przeci¹gnij przedmioty do okienka.
ACCE_MAXGRADE	To posiada ju¿ stopieñ unikatowy.
ACCE_MAX_DRAINRATE	Maksymalny stopieñ absorpcji
ACCE_NOTABSORBITEM	Nie mo¿esz u¿ywaæ broni/zbroi, które zosta³y ju¿ absorbowane.
ACCE_NOT_SEALITEM	Nie mo¿esz u¿ywaæ przedmiotu przywi¹zanego do duszy.
ACCE_NOT_USINGITEM	Nie mo¿esz kombinowaæ wyposa¿onego przedmiotu.
ACCE_NOT_WINDOWOPEN	Nie mo¿esz u¿yæ przedmiotu przy otwartym okienku kombinacji.
ACCE_POSSIBLE_ACCE	Mo¿esz u¿ywaæ tylko szarf.
ACCE_POSSIBLE_ACCEITEM	Mo¿esz ekstrahowaæ bonusy tylko z broni i zbroi.
AFF_LOVE_POINT	Punkty Mi³osne: %d%%
ALIGNMENT_NAME	Punkty Rangi:
ATTACK_ERROR_UNKNOWN	Nieznany b³¹d podczas ataku: %s
ATTENDANCE_REWARD_QUESTION	Czy chcesz otrzymaæ swoj¹ nagrodê?
ATTR_6TH_7TH_ADD_QUESTION1	Nie mo¿esz u¿yæ tego przedmiotu w trakcie dodawania bonusu.
ATTR_6TH_7TH_ADD_QUESTION2	Czy naprawdê chcesz dodaæ bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Bonusu nie mo¿na zmieniæ.
ATTR_6TH_7TH_DESC1	a. Musisz wybraæ materia³y potrzebne do dodania 6. lub 7. bonusu do przedmiotu.
ATTR_6TH_7TH_DESC2	b. Ka¿dy od³amek zwiêksza szansê na sukces o 2%.
ATTR_6TH_7TH_DESC3	c. U¿yj suplementu, by dodatkowo zwiêkszyæ szansê na sukces.
ATTR_6TH_7TH_DESC4	d. Dodanie bonusu trwa 24 godziny. NPC zatrzymuje przedmiot, do którego ma zostaæ dodany bonus. Gdy proces zostanie ukoñczony, mo¿esz odebraæ swój przedmiot.
ATTR_6TH_7TH_POSSIBILITY	Mo¿esz dodaæ jeden dodatkowy bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Szansa na sukces: %.1f%%
AURA_DRAIN_PER	Stopnieñ absorpcji %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Za ma³o Yang do rozwoju.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Nie mo¿na przenieœæ ju¿ wiêcej bonusów.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Nie mo¿na przenieœæ wyposa¿onych przedmiotów.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nie mo¿na rozwin¹æ.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Za ma³o przedmiotów do rozwoju.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nie mo¿na ulepszyæ.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Mo¿liwe s¹ tylko: szata aury, naszyjnik, kolczyk i bransoleta.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Nie mo¿na przenieœæ przywi¹zanych do duszy przedmiotów.
AURA_ITEM_NEED_REGISTER	[Aura] Trzeba dodaæ przedmioty.
AURA_LEVEL_STEP	Pz. %d (poziom %d)
AURA_MAX_LEVEL	[Aura] Szata aury posiada maks. poziom.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Przeniesiony przedmiot ulegnie zniszczeniu.
AURA_OPEN_OTHER_WINDOW	Nie mo¿esz tego zrobiæ, gdy otwarte jest okno ulepszeñ, rozwoju lub transferu parametrów.
AURA_POSSIBLE_AURAITEM	[Aura] Mo¿liwa jest jedynie szata aury.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Najpierw trzeba dodaæ szatê aury.
AURA_TITLE_ABSORB	Przenieœ parametry na szatê aury
AURA_TITLE_EVOLUTION	Rozwiñ szatê aury
AURA_TITLE_GROWTH	Ulepsz szatê aury
AURA_TOOLTIP_EXP	PD (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Pz. %d (Poziom %d) (stopnieñ absorpcji %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nowoœæ
AURA_TOOLTIP_NOW	Aktualne
AURA_TOOLTIP_RESOURCE	Towar u¿ytkowy
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Umiejêtnoœci: Wybierz umiejêtnoœci do walki i przeci¹gnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE2	Wskazówka: Pod ka¿d¹ umiejêtnoœci¹ mo¿esz edytowaæ czas trwania aktywacji (w sek.)
AUTO_TOOLTIP_LINE3	Mikstury: Wybierz mikstury do walki i przeci¹gnij je na sloty. (Premium)
AUTO_TOOLTIP_LINE4	Wskazówka: Mikstury P¯ i PE zostan¹ aktywowane, gdy wartoœæ w % podana pod mikstur¹ spadnie poni¿ej danego poziomu.
AUTO_TOOLTIP_TITLE	Auto £owy - Pomoc
BATTLE_POINT	Punkty walki
BEAD	Animosfera
BEAD_TIME_REMAINING_TO_GET	Animosfera zostanie na³adowana za: %d min.
BNW_COIN	Moneta Proroka
BUY_LIMIT_LEVEL	Limit zakupu: %s
CANNOT_ATTACK_DEST_IN_SAFE	Przeciwnik jest za daleko.
CANNOT_ATTACK_SELF_IN_SAFE	Nie mogê zaatakowaæ.
CANNOT_EQUIP_IN_EXCHANGE	Nie mo¿esz zmieniaæ wyposa¿enia podczas handlowania.
CANNOT_EQUIP_IN_SHOP	Nie mo¿esz zdj¹æ za³o¿onego ekwipunku podczas handlu.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nie mo¿esz otworzyæ prywatnego sklepu w miejscu publicznym.
CANNOT_SHOOT_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SHOOT_EMPTY_ARROW	Potrzebujê Strza³y.
CANNOT_SHOOT_SELF_IN_SAFE	Nie mogê tego zrobiæ.
CANNOT_SKILL_APPROACH	Na pewno nie mogê podejœæ bli¿ej.
CANNOT_SKILL_ATTACK	Nie mogê zaatakowaæ.
CANNOT_SKILL_BLUE	Gdy aktywna jest Dusza Purpurowego Wilka, nie mo¿esz u¿yæ Duszy Wilka Indygo.
CANNOT_SKILL_DEST_IN_SAFE	Wróg jest za daleko.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nie z³apiesz ¿adnej ryby bez za³o¿onej wêdki.
CANNOT_SKILL_HAVE_TO_RIDE	Potrzebujê Konia zanim bêdê móg³ tego u¿yæ.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nie mam Pustej Butelki.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nie mam Butelki Z Trucizn¹.
CANNOT_SKILL_NEED_TARGET	Kto jest celem?
CANNOT_SKILL_NOT_ENOUGH_HP	Mam za ma³o Punktów ¯ycia!
CANNOT_SKILL_NOT_ENOUGH_SP	Mam za ma³o Punktów Energii!
CANNOT_SKILL_NOT_HORSE_SKILL	Nie mogê tego u¿yæ podczas jazdy konnej.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Nie mogê u¿yæ tej umiejêtnoœci z t¹ broni¹.
CANNOT_SKILL_NOT_YET_LEARN	Nie opanowa³em tej umiejêtnoœci.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	To dzia³a tylko na cz³onków grupy.
CANNOT_SKILL_ONLY_FOR_CORPSE	To dzia³a tylko na martwych ludzi.
CANNOT_SKILL_RED	Gdy aktywna jest Dusza Wilka Indygo, nie mo¿esz u¿yæ Duszy Purpurowego Wilka.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nie mogê u¿yæ tej umiejêtnoœci z Wêdk¹.
CANNOT_SKILL_SELF_IN_SAFE	Nie mogê zaatakowaæ z tego miejsca.
CANNOT_SKILL_USE_SELF	Nie mogê tego u¿yæ na sobie.
CANNOT_SKILL_WAIT_COOLTIME	Nie mogê jeszcze u¿yæ tej Umiejêtnoœci.
CANNOT_USE	Nie mo¿esz go u¿yæ.
CANNOT_WHISPER_DEST_REFUSE	%s zablokowa³ mo¿liwoœæ szeptania.	SA
CANNOT_WHISPER_NOT_LOGON	%s nie jest zalogowany.	SA
CANNOT_WHISPER_SELF_REFUSE	Nie mo¿esz pisaæ do innych gdy masz zablokowane szeptanie.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Zbroje
CATEGORY_ARMOR_ARMOR_HEAD	He³my
CATEGORY_ARMOR_ARMOR_SHIELD	Tarcze
CATEGORY_COSTUMES	Kostiumy
CATEGORY_COSTUMES_COSTUME_BODY	Kostiumy
CATEGORY_COSTUMES_COSTUME_HAIR	Fryzury
CATEGORY_COSTUMES_COSTUME_WEAPON	Wizerunki broni
CATEGORY_COSTUMES_ETC	Inne
CATEGORY_COSTUMES_SASH	Szarfy
CATEGORY_DRAGON_STONE	Alchemia Smoczych Kamieni
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diament
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jadeit
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyks
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubin
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Szafir
CATEGORY_DRAGON_STONE_ETC	Inne
CATEGORY_EQUIPMENT_ARMOR	Wyposa¿enie
CATEGORY_EQUIPMENT_JEWELRY	Bi¿uteria
CATEGORY_EQUIPMENT_WEAPON	Broñ
CATEGORY_ETC	Inne
CATEGORY_ETC_ETC	Inne
CATEGORY_ETC_EVENT	Eventowe przedmioty
CATEGORY_ETC_GIFTBOX	Skrzynie | Pud³a
CATEGORY_ETC_MATRIMORY	Œlub
CATEGORY_ETC_PARTI	Ksiêgi Sztuki Wojny
CATEGORY_ETC_POLYMORPH	Kula Polimorfii
CATEGORY_ETC_RECIPE	Wytwarzanie mikstur
CATEGORY_ETC_SEAL	Zwi¹zanie duszy
CATEGORY_FISHING_PICK	£owienie | Górnictwo
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Kilofy
CATEGORY_FISHING_PICK_ETC	Inne
CATEGORY_FISHING_PICK_FISHING_POLE	Wêdki
CATEGORY_FISHING_PICK_FOOD	Ryby
CATEGORY_FISHING_PICK_PICK_BOOK	Przewodniki do górnictwa
CATEGORY_FISHING_PICK_STONE	Rudy
CATEGORY_JEWELRY_ARMOR_EAR	Kolczyki
CATEGORY_JEWELRY_ARMOR_FOOTS	Buty
CATEGORY_JEWELRY_ARMOR_NECK	Naszyjniki
CATEGORY_JEWELRY_ARMOR_PENDANT	Talizman
CATEGORY_JEWELRY_ARMOR_WRIST	Bransolety
CATEGORY_JEWELRY_ITEM_BELT	Pasy
CATEGORY_MOUNT_PET	Wierzchowce | Zwierzaki
CATEGORY_MOUNT_PET_CHARGED_PET	Zwierzaki
CATEGORY_MOUNT_PET_EGG	Jaja zwierzaków
CATEGORY_MOUNT_PET_FREE_PET	Zwierzaki, które mo¿na levelowaæ
CATEGORY_MOUNT_PET_MOUNT	Wierzchowce
CATEGORY_POTION	Eliksiry
CATEGORY_POTION_ABILITY	Przedmioty u¿ytkowe
CATEGORY_POTION_ETC	Inne
CATEGORY_POTION_HAIRDYE	Farby do w³osów
CATEGORY_SKILL	Umiejêtnoœci
CATEGORY_SKILL_BOOK_OF_OBLIVION	Ksiêgi Zapomnienia
CATEGORY_SKILL_ETC	Inne
CATEGORY_SKILL_PAHAE	Riposta | Dopalacz
CATEGORY_SKILL_SKILL_BOOK	Ksiêgi umiejêtnoœci
CATEGORY_TUNING	Ulepszenia
CATEGORY_TUNING_ETC	Inne
CATEGORY_TUNING_RESOURCE	Materia³y
CATEGORY_TUNING_STONE	Kamienie Duszy
CATEGORY_UNIQUE	Przedmioty specjalne
CATEGORY_UNIQUE_ABILITY	Dobra konsumpcyjne
CATEGORY_UNIQUE_ETC	Inne
CATEGORY_WEAPON_WEAPON_ARROW	Strza³y
CATEGORY_WEAPON_WEAPON_BELL	Dzwony
CATEGORY_WEAPON_WEAPON_BOW	£uki
CATEGORY_WEAPON_WEAPON_CLAW	Pazury
CATEGORY_WEAPON_WEAPON_DAGGER	Sztylety
CATEGORY_WEAPON_WEAPON_FAN	Wachlarze
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	W³ócznie
CATEGORY_WEAPON_WEAPON_QUIVER	Ko³czany
CATEGORY_WEAPON_WEAPON_SWORD	Broñ jednorêczna
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Broñ oburêczna
CHANGE_ALREADY_REGISTER	[Transmutacja] Przedmiot ten zosta³ ju¿ zarejestrowany.
CHANGE_LOOK_CHANGE_ITEM	Czy chcesz transmutowaæ ten przedmiot?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutacja] Usuñ najpierw przedmiot, na który chcesz u¿yæ transmutacji.
CHANGE_LOOK_COST	Cena za transmutacjê: %s Yang
CHANGE_LOOK_DEL_ITEM	Przyjêty przedmiot zostanie usuniêty.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutacja] Nie mo¿esz transmutowaæ tego przedmiotu.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutacja] Nie mo¿esz transmutowaæ tego przedmiotu, gdy jest za³o¿ony.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutacja] Przedmiotu nie mo¿na zarejestrowaæ.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutacja] Przedmiot jest przywi¹zany do duszy.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutacja] Zarejestruj przedmiot, który chcesz transmutowaæ.
CHANGE_LOOK_INSERT_ITEM	[Transmutacja] Najpierw musisz zarejestrowaæ przedmiot.
CHANGE_LOOK_NEED_MONEY	Masz za ma³o Yang lub za ma³o przedmiotów.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutacja] Nie mo¿na przeprowadziæ akcji, jeœli otwarte jest okno "Transmutacja".
CHANGE_LOOK_TITLE	Transmutacja
CHANGE_LOOK_TITLE2	Polimorfia Wierzchowca
CHANGE_PET_PLEASE_APPEND_FIRST	Najpierw musisz wybraæ zwierzaka.
CHANGE_TOOLTIP2_LINE1	Dodaj po lewej przedmiot docelowy, a po prawej - materia³.
CHANGE_TOOLTIP2_LINE2	Kliknij na haczyk, aby u¿yæ Yang lub kartê polimorfii do zmiany wygl¹du twojego wierzchowca.
CHANGE_TOOLTIP2_LINE3	Karta polimorfii zmienia wygl¹d twojego wierzchowca bez koniecznoœci wydawania Yang. (Podczas procesu karta ulegnie zniszczeniu.)
CHANGE_TOOLTIP2_LINE4	Jeœli zmienisz wygl¹d wierzchowca z ograniczeniem czasowym, to ograniczenie to nie zostanie zresetowane.
CHANGE_TOOLTIP2_LINE5	Jeœli docelowy wierzchowiec jest nielimitowany czasowo, a wierzchowiec na materia³ posiada ograniczenie czasowe, to zmieniony wygl¹d wierzchowca utrzyma siê do koñca limitu czasowego wierzchowca na materia³.
CHANGE_TOOLTIP_LINE1	Po³ó¿ przedmiot do transmutacji po lewej stronie.
CHANGE_TOOLTIP_LINE2	Po³ó¿ inny przedmiot po prawej stronie.
CHANGE_TOOLTIP_LINE3	Jeœli aktywujesz transmutacjê (V), zmieni siê wygl¹d przedmiotu
CHANGE_TOOLTIP_LINE4	znajduj¹cego siê po lewej stronie i zostan¹ odjête Yang.
CHANGE_TOOLTIP_LINE5	Jeœli u¿yjesz tego przedmiotu,
CHANGE_TOOLTIP_LINE6	mo¿esz transmutowaæ swoje przedmioty, bez u¿ycia Yang.
CHANGE_TOOLTIP_TITLE	Transmutacja
CHANNEL	Kana³
CHANNELING_CANNOT_LOGOUT	Nie mo¿esz wróciæ do okna logowania.
CHANNEL_EMPTY_SERVER	Brak Serwera
CHANNEL_NORMAL	Kana³ %d
CHANNEL_NOTIFY_FULL	Ten Kana³ jest pe³ny! Proszê wybraæ inny.
CHANNEL_NOT_FIND_INFO	Brak informacji o tym kanale.
CHANNEL_PVP	Wolny pojedynek
CHANNEL_SELECT_CHANNEL	Wybierz Kana³
CHANNEL_SELECT_REGION	Wybierz region.
CHANNEL_SELECT_SERVER	Wybierz serwer
CHANNEL_STATUS_BUSY	Czêsto odwiedzany
CHANNEL_STATUS_FULL	Pe³ny
CHANNEL_STATUS_OFFLINE	Nieznany
CHANNEL_STATUS_RECOMMENDED	Zalecane
CHANNEL_STATUS_VACANT	Niska
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Utwórz postaæ
CHARACTER_NAME	Nazwa
CHARACTER_SELECT_MODE	Wybierz postaæ
CHARGE_BEAD_QUESTION	Wymagane Animosfery: %d. Chcesz kontynuowaæ?
CHAT_ALL	Wszystko
CHAT_BLOCK	Blok
CHAT_DICE_INFO	Rzut
CHAT_GUILD	Gildia
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	To zdanie zawiera niepoprawne s³owa.
CHAT_LOG	Poka¿ stare wiadomoœci [L]
CHAT_LOG_TITLE	Protokó³ wiadomoœci
CHAT_NORMAL	Normalne
CHAT_NOTICE	Serwer
CHAT_PARTY	Grupa
CHAT_SEND_CHAT	Wyœlij wiadomoœæ
CHAT_SEND_MEMO	Wyœlij szept [Shift+Enter]
CHAT_SHOUT	Wo³aj
CHAT_SHOUT_LIMIT	Mo¿esz wo³aæ tylko co 15 sekund.
CHAT_WHISPER	Szeptanie
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Nie mo¿esz upuœciæ pieniêdzy.
CHEQUE_SYSTEM_PICK_WON	Otrzyma³eœ %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Cena sprzeda¿y]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Poziom
CLEAR_TIME	Czas
ClosePetChangeWndButton	Zamknij
COMB_ACCE_IS_CONTINUE_PROCESS	Chcesz kontynuowaæ?
COMB_ACCE_WARNING_MESSAGE	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie. Transfer mo¿e siê nie udaæ. Stopieñ absorpcji zostanie zmniejszony przy pora¿ce lub czêœciowym sukcesie.
COMB_ACCE_WARNING_MESSAGE1	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie.
COMB_ACCE_WARNING_MESSAGE2	Transfer mo¿e siê nie udaæ.
COMB_ACCE_WARNING_MESSAGE3	Stopieñ absorpcji zostanie zmniejszony przy pora¿ce lub czêœciowym sukcesie.
COMB_ACCE_WILL_REMOVE_MATERIAL	Orygina³ zostanie zniszczony przy sukcesie lub czêœciowym sukcesie.
COMB_ALREADY_APPEND	Przedmiot ten zosta³ ju¿ wybrany.
COMB_CANT_APPEND_ITEM	Nie mo¿na u¿yæ tego przedmiotu.
COMB_CANT_APPEND_SEALED_ITEM	Nie mo¿esz u¿ywaæ przedmiotu przywi¹zanego do duszy.
COMB_CANT_BASE_ITEM	Szarfa, która posiada ju¿ bonus, nie mo¿e byæ odbiorc¹.
COMB_CANT_MATCH_DRAINRATE	Stopieñ absorpcji obydwu przedmiotów musi byæ identyczny, aby transferowaæ bonus.
COMB_CANT_MATCH_GRADE	Poziom obydwu przedmiotów musi byæ identyczny, aby transferowaæ bonus.
COMB_CANT_MATERIAL_ITEM	Orygina³ musi posiadaæ bonus.
COMB_COST	Cena: %s
COMB_IS_CONTINUE_PROCESS	Chcesz kontynuowaæ?
COMB_NOTICE	Nie mo¿esz otworzyæ prywatnego sklepu podczas wymiany ksi¹g.
COMB_NOTICE_NOT_OPEN	Nie mo¿esz wymieniæ ksi¹g, gdy masz otwarty prywatny sklep.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Aby transferowaæ bonusy, potrzebujesz orygina³u, odbiorcy oraz przedmiot transferu.
COMB_NOT_FULL_BOOK	Nie, tak to nie ubijemy interesu. Ju¿ ci przecie¿ wyt³umaczy³em, ¿e chcê 10 ksi¹g, aby dokonaæ wymiany.
COMB_NOT_ITEM_IN_INVENTORY	Nie mo¿esz u¿ywaæ za³o¿onych przedmiotów.
COMB_NOT_MEDIUM_ITEM	Nie mo¿na u¿yæ tego przedmiotu.
COMB_WILL_REMOVE_MATERIAL	Orygina³ zostanie zniszczony w przypadku sukcesu.
CREATE_ERROR_GM_NAME	Nie jesteœ upowa¿niony do u¿ycia ,GM‘ w swojej nazwie postaci.
CREATE_ERROR_INSULT_NAME	Ta nazwa jest niepoprawna.
CREATE_ERROR_LIMIT_LEVEL	Twoja postaæ musi znajdowaæ siê przynajmniej na poziomie 80.
CREATE_ERROR_TIME_LIMIT	Mo¿esz tworzyæ now¹ postaæ tylko co 30 sek.
CREATE_ERROR_WRONG_STRING	Ta nazwa postaci jest niedozwolona.
CREATE_EXIST_SAME_NAME	Nazwa jest ju¿ w u¿yciu.
CREATE_FAILURE	Nie mo¿esz stworzyæ postaci
CREATE_FULL	Nie mo¿esz tworzyæ wiêcej postaci.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Wybierz nazwê.
CREATE_PLUS_STAT	Nadal pozosta³y punkty statusu.
CUBE_CATEGORY_ACCESSORY	Bi¿uteria
CUBE_CATEGORY_ARMOR	Zbroja
CUBE_CATEGORY_BELT	Pasy
CUBE_CATEGORY_ETC	Itp.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_WEAPON	Broñ
CUBE_MAKE_CONFIRM_QUESTION_1	Co najmniej jeden u¿yty przedmiot jest wyj¹tkowo cenny (ma wiêcej ni¿ %d bonusów).
CUBE_MAKE_CONFIRM_QUESTION_2	Czy naprawdê chcesz kontynuowaæ?
CUBE_NOT_ENOUGH_GOLD	Za ma³o Yang do wytworzenia.
CUBE_NOT_ENOUGH_MATERIAL	Za ma³o materia³u do wytworzenia.
CUBE_PLEASE_SELECT	Nie wybrano przedmiotów.
CZ_REWARD_QUESTION_COMPLETE	Chcesz zrealizowaæ to pole?
CZ_REWARD_TOOLTIP_10GAN	Insygnia Zodiaku
CZ_REWARD_TOOLTIP_10GAN_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_12ZI	Insygnia Stra¿nika
CZ_REWARD_TOOLTIP_12ZI_COUNT	Liczba w ekwipunku
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Wymagana liczba
CZ_REWARD_TOOLTIP_ALL_BOX	Gwiezdny Skarb
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Gwiezdny Skarb.
