TELEPORT_PANEL_TITLE	teleportáló
TELEPORT_MAP_BOSQ_ENCANT	Elvarázsolt erdo
TELEPORT_MAP_DEAMONTOWER	démontorony
TELEPORT_MAP_DEVILS_CATACOMB	katakombák
TELEPORT_MAP_SKIPIA_DUNGEON	Számuzési barlang
TELEPORT_MAP_SKIPIA_DUNGEON_02	Számuzési barlang 2
TELEPORT_MAP_BLAZING_PURGATORY	Vörös Sárkány erod
TELEPORT_MAP_NEMERES_WARTE	Nemere vár
TELEPORT_MAP_MAP_1_DESC	Ó, igen, az a hely, ahol nosztalgikus zene szól. Mindenesetre ez a kereskedelem központja. Ha vásárolni szeretne valamit, itt mindig talál valamit! De egyébként nem nagyon lehet itt találni, ha már a legerosebb harcosok közé tartozol.
TELEPORT_MAP_MAP_2_DESC	Fontos terület fiatalon. Itt gyenge szörnyeket találsz, amelyek jó élményt nyújtanak a 30. szintig. Ezen kívül itt található az egyik majomkazamata.
TELEPORT_MAP_GUILDZONE_DESC	A céhek számára fontos terület. Itt építkezünk! De nem csak, szörnyek is megtalálhatók itt. Agresszívak és egyedül támadnak. A fiatal játékosoknak itt nehéz dolguk lehet, de jó tárgyakat zsákmányolhatsz itt.
TELEPORT_MAP_SEUNGRYONG_DESC	Az Orc Valley tökéletes hely a 20-as szintrol az 50-es szintre való fellépéshez. Ezen kívül az Orc Valley-ben található az egyik legnépszerubb Metin Farm helyszín. A fonök ezen a térképen a fonök ork. Ez gyakran túlterhelt, ezért mindig vigyázzon a Sárga Srácra!
TELEPORT_MAP_YONGBI_DESC	Forró levego, homok a szandálban. Nem szereted? Akkor jobb, ha elkerüli ezt a helyet. De sok felfedeznivaló van itt. Itt két majombörtön található, a pókbörtön és a kígyómezo is innen érheto el.
TELEPORT_MAP_SOHAN_DESC	Elég hideg van itt, úgyhogy csomagoljatok össze! Itt ritkán találja meg a legendás Nine Tailst. Vigyázz rájuk! Ez egy jó terület a metin kövek meghódítására is. Ha túléled a hideget, kemény harcos vagy.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulkánok és magma. Nagyon meleg van itt! Szörnyek, akik úgy érzik, hogy nem e világból, itt találhatók. Ne menj ide, ha nem vagy elég eros!
TELEPORT_MAP_SNAKEFIELD_DESC	Kígyók és óriások? Pff... hogy is alakulhatott volna. Menj egy veszélyes területre, és próbálj itt túlélni. Kerülje el ezt a helyet, ha tényleg nem tudja, mit csinál, különben pillanatok alatt végez.
TELEPORT_MAP_GHOSTWOOD_DESC	Térkép sok fa szörnyeteggel, metinnel és egy gonosz fonökkel.
TELEPORT_MAP_REDWOOD_DESC	Térkép sok fa szörnyeteggel, metinnel és egy gonosz fonökkel.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Ha problémád van a méretekkel, ne menj ide! Ellenkezo esetben olyan tárgyakat zsákmányolhat itt, amelyek hírnevet és vagyont hozhatnak. Kérem, menjen oda jól felszerelt. Az országnak még nagyobb szüksége van rátok!
TELEPORT_BUTTON_RED_EMPIRE	vörös birodalom
TELEPORT_BUTTON_YELLOW_EMPIRE	sárga birodalom
TELEPORT_BUTTON_BLUE_EMPIRE	kék birodalom
TELEPORT_BUTTON_START	Kezdet
TELEPORT_BUTTON_MIDDLE	Központ
TELEPORT_BUTTON_END	Végso
TELEPORT_BUTTON_ENTRY	Belépés
TELEPORT_BUTTON_SKIPIA_1	Elso emelet
TELEPORT_BUTTON_SKIPIA_2	Második emelet
TELEPORT_BUTTON_SKIPIA_BOSS	fonöki szoba
LOGIN_ACCOUNT_N_S	NINCS FIÓK
LOGIN_ACCOUNT_DELETE	TÖRLÉS
LOGIN_ACCOUNT_SAVED	MENTÉS
LOGIN_ACCOUNT_CONT	ACCOUNT
LOGIN_ACCOUNT_EMPTY	SZÁMLA ÜRÍTÉSE
MULTIPLE_BUYS_TITLE	Tobb vasarlas
DOGMODE	Kutya Mod
ENCHANT_REINFORCE_TITLE	Elvarazsol & Megerosit
PET_HATCHING_TITLE	Inkubátor
PET_HATCHING_PRICE	Ár: 100.000 Yang
PET_HATCHING_NAME	Keresztnév
PET_HATCHING	Nyisd ki
SKILL_SELECT_1	Válassza a tant
SKILL_SELECT_2	Elfogad
GUILD_MEMBER_WAR	Háború
ACCEPT	OK
ACCE_ABSORB	Bónusz abszorpció
ACCE_COMBINE	Kombináció
ACCE_MAIN	Pánt 1
ACCE_RESULT	Eredmény
ACCE_SERVE	Pánt 2
ATTACH_METIN_INFO	Használni akarod a Szellemkövet?
ATTACH_METIN_TITLE	Szellemkõ használata
ATTENDANCE_TITLE	Fõszörny-kaszáló esemény
ATTR_67_ADD	Bónusz hozzáadása
ATTR_67_ADD_TITLE	Bónusz hozzáadása
ATTR_67_MATERIAL_SLOT_TITLE	Erõszilánkok
ATTR_67_REGIST_SLOT_TITLE	Céltárgy
ATTR_67_SUPPORT_SLOT_TITLE	Erõsítõ
AURA_MAIN	Aura öltözék
AURA_SUB	Anyag
AUTO_AUTO_ATTACK	Támadás
AUTO_AUTO_POSITION	Bájitalok
AUTO_AUTO_RANGE	Kis hatókör
AUTO_AUTO_SKILL	Készségek
AUTO_CLEAR	Töröl
AUTO_END	Állj
AUTO_OFF	Ki
AUTO_ON	Be
AUTO_POSITION_SETTING	Bájitalok
AUTO_SAVE	Mentés
AUTO_SETTING	Beállítások
AUTO_SKILL_SETTING	Készségek
AUTO_START	Indítás
AUTO_TITLE	Auto-vad.
BANNER_ATTENDANCE_BUTTON	Fõszörny-kaszáló esemény
BANNER_BLACK_AND_WHITE_BUTTON	Látók párbaja
BANNER_CATCHKING_BUTTON	Kapd el a Királyt
BANNER_EASTER_BUTTON	HÚSVÉT
BANNER_FISH_BUTTON	HAL-KIRAKÓS
BANNER_FLOWER_BUTTON	VIRÁGOK EREJE
BANNER_FOOTBALL_BUTTON	FOCI
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	SZÖRNY-VADÁSZAT
BANNER_MINIBOSS_BUTTON	Zodiákus Apokalipszis
BANNER_MONSTERBACK_BUTTON	Ütéspontok beváltása
BANNER_MYSTERY_BOX_BUTTON	ZSÁKMÁNY-VADÁSZAT I
BANNER_MYSTERY_BOX_BUTTON_2	ZSÁKMÁNY-VADÁSZAT II
BANNER_NEW_XMAS_BUTTON	KARÁCSONY
BANNER_OKEY_BUTTON	Okey esemény
BANNER_OLYMPIC_BUTTON	HÕS RENDEZVÉNY
BANNER_RAMADAN_BUTTON	RAMADÁN
BANNER_ROULETTE_BUTTON	Vér rituálé
BANNER_SOUL_BUTTON	LÉLEK RENDEZVÉNY
BANNER_SUMMER_BUTTON	NYÁRI RENDEZVÉNY
BANNER_VALENTINE_BUTTON	VALENTIN NAP
BANNER_YUTNORI_BUTTON	Yut Nori
BATTLE_FIELD_INFO	Harci övezet
BATTLE_FIELD_OPERATION_TIME	A Harci övezetbe %s:00 és %s:00 között lehet belépni.
BATTLE_FIELD_OPERATION_TIME_ALL	Jelenleg nyitva a belépéshez.
BATTLE_FIELD_OPERATION_TIME_END	A Harci övezet még nyitva %s órán át.
BATTLE_FIELD_OPERATION_TIME_NA	Pillanatnyilag lezárva a belépés elõl.
BATTLE_FIELD_OPERATION_TIME_OPEN	Megnyílik a belépésre %s óra múlva %s órára.
BATTLE_FILED_RANK	Helyezés
BATTLE_FILED_RANK_EMPIRE	Birodalom
BATTLE_FILED_RANK_NAME	Név
BATTLE_FILED_RANK_POINT	Pontok
BNW_GAME_UI_COM	Ellenfél
BNW_RANK_UI_COUNT	Adományok
BNW_RANK_UI_NAME	Név
BNW_RANK_UI_RANK	Helyezés
CANCEL	Megszakít
CHANGE_ATTR_SELECT	Bónusz megváltoztatása
CHANGE_PASSWORD_CONFIRM	Új jelszó ismét
CHANGE_PASSWORD_NEW	Új jelszó
CHANGE_PASSWORD_OLD	Régi jelszó
CHANGE_PASSWORD_TITLE	Jelszó változtatás
CHARACTER_ACTION	Akció
CHARACTER_EMOTICON	Érzelem
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Interaktív akció
CHARACTER_NORMAL_ACTION	Normál akció
CHARACTER_QUEST	Küldetések
CHARACTER_SKILL	Képesség
CHARACTER_SPECTIAL_ACTION	Különleges akciók
CHAT_FILTER	Csetszûrõ
CHAT_FILTER_DICE	Kocka
CLOSE	Bezár
COMB_APPEARANCE	Cél
COMB_ATTRIBUTE	Kiindulás
COMB_MAIN	Cél
COMB_MATERIAL	Kiindulás
COMB_SKILLBOOK_TILE	Könyvekkel üzletelni
COSTUME_TITLE	Öltözékek
COSTUME_WINDOW_TITLE	Viseletek
CREATE_ATT_GRADE	Erõ
CREATE_CREATE	Létrehoz
CREATE_DEX_GRADE	ÜGY
CREATE_HP	VIT
CREATE_LAST_POINT	Pont
CREATE_MAN	Férfi
CREATE_NAME	Név
CREATE_NEXT	Tovább
CREATE_PREV	Vissza
CREATE_SEX	Neme
CREATE_SHAPE	Kinézet
CREATE_SP	INT
CREATE_STAT_RESET	Vissza
CREATE_WOMAN	Asszony
CUBE_INFO_TITLE	Finomítási kézikönyv
CUBE_RENEWAL_BELT_IMPROVE	Esély növelése
CUBE_RENEWAL_TITLE	Fejlesztés
CUBE_REQUIRE_MATERIAL	Szükséges anyagok
CUBE_REQUIRE_MATERIAL_OR	vagy
CUBE_TITLE	Nemesítési ablak
CURRENT_POINT	Jelenlegi pontok: %s
CZ_REWARD_WINDOW_TITLE	Zodiákus templom
DO_CHANGE_ATTR	Mehet
DO_REFINE	Nemesít
DO_REFINE_ALL	Nemesít osszes
DRAGONSOUL_ACTIVATE	Aktiválás
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mitikus sárkánykõ bónuszának megváltoztatása
DRAGONSOUL_PAGE_BUTTON_1	Nyers
DRAGONSOUL_PAGE_BUTTON_2	Metszett
DRAGONSOUL_PAGE_BUTTON_3	Ritka
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendás
DRAGONSOUL_PAGE_BUTTON_6	Mitikus
DRAGONSOUL_REFINE_WINDOW_TITLE	Nemesítési ablak
DRAGONSOUL_TAP_TITLE_1	Sárkánygyémánt: %s
DRAGONSOUL_TAP_TITLE_2	Sárkányrubin: %s
DRAGONSOUL_TAP_TITLE_3	Sárkányjáde: %s
DRAGONSOUL_TAP_TITLE_4	Sárkányzafír: %s
DRAGONSOUL_TAP_TITLE_5	Sárkánygránát: %s
DRAGONSOUL_TAP_TITLE_6	Sárkányónix: %s
DRAGONSOUL_TITLE	Sárkánykõ-alkímia: %s
DUTCHAUCTION_BUTTON	Menj
DUTCHAUCTION_TITLE	Villám aukció
EMPIRE_A	Shinsoo
EMPIRE_ALL	Összes
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Bezár
EMPIRE_NEXT	Tovább
EMPIRE_PREV	Vissza
EMPIRE_SELECT	Választani
END_TIME	Aktív rendezvény
ENTER_BATTLE_FIELD	Belépni
EVENT_ALARM_TITLE	Rendezvények áttekintése
EVENT_NAME_TITLE	Név
EVENT_REWARD_TITLE	Jutalom
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Kereskedés
EXIT_BATTLE_FIELD	Tényleg el szeretnéd hagyni a Harci övezetet?
EXIT_BATTLE_FIELD_ON_DEAD	El akarod hagyni a Harci övezetet %d ponttal?
EXPIRED_TIME	A rendezvény véget ért.
FISHING_RENEWAL_TITLE	Horgászat
FRAGMENT_COMB_TITLE	Készségkönyvek kombinálása
GAMEOPTION_TITLE	Játék opciók
GAME_EXIT_OBSERVER	Megfigyelõ módot befejezni
GAME_GUILD_WAR_JOIN	Céhháborúba lép
GAME_QUEST	Feladat
GAME_SKILL_UP	Képesség fejlesztés
GAME_STAT_UP	Státusz emelés
GEMSHOP_LEFTTIME	Hátralévõ idõ:
GEMSHOP_TITLA	GAYA PIAC
GRADE	Osztály
GRADE_SELECT	Osztály
GRAPHICONOFF_DROP_ITEM_APPLY	Alkalmaz
GRAPHICONOFF_DROP_ITEM_LEVEL	Tárgy dobás
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Effekt & Név mutatása
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Effekt elrejtése
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Effekt & Név elrejtése
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Tárgyak elrejtése & kurzorra nevek mutatása
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Tárgyak & nevek elrejtése
GRAPHICONOFF_EFFECT_APPLY	Alkalmaz
GRAPHICONOFF_EFFECT_LEVEL	Effektek
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mindent mutat
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Csak a saját és a szörnyek effektjei
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Csak a saját és más játékosok effektjei
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Csak saját
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Mindent elrejt
GRAPHICONOFF_NPC_NAME_STATUS	NPC nevek
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Ki
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	NPC nevek elrejtése
GRAPHICONOFF_NPC_NAME_STATUS_ON	Be
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	NPC nevek mutatása
GRAPHICONOFF_PET_STATUS	Kedvencek
GRAPHICONOFF_PET_STATUS_OFF	Ki
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Kedvencek elrejtése
GRAPHICONOFF_PET_STATUS_ON	Be
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Kedvencek mutatása
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Alkalmaz
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Magán boltok
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mindent mutat
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Minden megjelenítése nagy távolságban
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Minden megjelenítése közepes távolságban
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Minden megjelenítése kis távolságban
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Minden megjelenítése a közvetlen közelben
GUILDWINDOW_BASE_BUFF	Céh-bónusz
GUILD_ATTENDANCE_LOCA1	Elsõ részvétel: 1x Bátorság medálja
GUILD_ATTENDANCE_LOCA2	10 vagy több: 1x Bátorság medálja
GUILD_ATTENDANCE_LOCA3	20 vagy több: 2x Bátorság medálja
GUILD_ATTENDANCE_LOCA4	30 vagy több: 4x Bátorság medálja
GUILD_ATTENDANCE_LOCA5	40 vagy több: 6x Bátorság medálja
GUILD_ATTENDANCE_LOCA6	50 vagy több: 8x Bátorság medálja
GUILD_ATTENDANCE_LOCA7	60 vagy több: 10x Bátorság medálja
GUILD_ATTENDANCE_LOCA8	70 vagy több: 12x Bátorság medálja
GUILD_ATTENDANCE_LOCA9	Indul: naponta 5:00 órakor
GUILD_ATTENDANCE_TITLE	Részvételi jutalom
GUILD_BANKINFO_CLOSE	Bezár
GUILD_BANKINFO_NAME	Tag
GUILD_BANKINFO_TITLE	Céhraktár log
GUILD_BANKINFO_TYPE	Tárgy/Fizetõeszköz
GUILD_BANKINFO_USETYPE	Akció
GUILD_BANK_CLOSE	Bezár
GUILD_BANK_INFO	Tárolóoldal:
GUILD_BASEINFO_BANK	Céhraktár
GUILD_BASEINFO_BANKLASTOUT	Ut. kivett tárgy
GUILD_BASEINFO_BUILDING	Céhépület
GUILD_BASEINFO_FACTORY	Céh-kovács
GUILD_BASEINFO_GUILDLAND	Céhterület
GUILD_BASEINFO_LANDSCAPE	Egyéb
GUILD_BASEINFO_LOCALE	Elhelyezkedés
GUILD_BASEINFO_MONEY	Egyenleg
GUILD_BASEINFO_MONEYBANKINFO	Céhbank információ
GUILD_BASEINFO_MONEYLASTOUT	Utolsó kivét
GUILD_BASEINFO_POWER	Az Erõ oltára
GUILD_BASEINFO_SMEITER	Céh-alkimista
GUILD_BASEINFO_TITLE	Terület-információ
GUILD_BASENAME	Bázisnév
GUILD_BOARD_ID	Név
GUILD_BOARD_REFRESH	Frissít
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_CATEGORY_TITLE	Építõ darabok
GUILD_BUILDING_CHANGE	Cserélni
GUILD_BUILDING_CHANGE_DELETE	Töröl
GUILD_BUILDING_CHANGE_FIX	Céh újjáépítése
GUILD_BUILDING_CHANGE_LIST	Céh-ingatlanlista
GUILD_BUILDING_DIRECTION	Irány
GUILD_BUILDING_FIX	Újjáépítés
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_INFO	Épület- és költséginformációk
GUILD_BUILDING_LIST_TITLE	Épület lista
GUILD_BUILDING_LOG	Tönk
GUILD_BUILDING_NAME	Épület név
GUILD_BUILDING_OPERATE	Kiszolgál
GUILD_BUILDING_PLY	Furnér
GUILD_BUILDING_POSITION	Fekvés
GUILD_BUILDING_PREVIEW	Elõnézet
GUILD_BUILDING_PRICE	Ár
GUILD_BUILDING_REFRESH	Frissít
GUILD_BUILDING_STONE	Kõ
GUILD_BUILDING_TITLE	Céhház építés
GUILD_CRYSTAL	Kristály
GUILD_DEPOSIT	Fizetni
GUILD_DONATE_BUTTON_OVER_TEXT	Véletlenszerû tárgy
GUILD_DONATE_COUNT	Szabad adományozás: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	Céh EXP
GUILD_DONATE_HIGH_MATERIAL	Nagy adomány
GUILD_DONATE_MEDAL_OF_HONOR	Bátorság medálja
GUILD_DONATE_MIDDLE_MATERIAL	Közepes adomány
GUILD_DONATE_MY_MEDAL_OF_HONOR	Bátorság medáljaim
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Nagy adomány
GUILD_DONATE_TAB_MIDDLE	Közepes adomány
GUILD_DONATE_TAB_NORMAL	Kicsi adomány
GUILD_DONATE_TITLE	EXP adomány
GUILD_DRAGONLAIR_RANKING	Helyezések
GUILD_DRAGONLAIR_RANKING_COUNT	Rang
GUILD_DRAGONLAIR_RANKING_MEMBER	Tag
GUILD_DRAGONLAIR_RANKING_NAME	Céh
GUILD_DRAGONLAIR_RANKING_TIME	Idõ
GUILD_DROP_RESOURCE1	itt
GUILD_DROP_RESOURCE2	Erõforrás eldobás
GUILD_GEM	Drágakõ
GUILD_GRADE_CHANGE_GRADE_NAME	Új rang név
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Használhatja a céhbankot és -raktárat
GUILD_GRADE_PERMISSION_DELETE	Eltávolítás a céhbõl
GUILD_GRADE_PERMISSION_JOIN	Felvehet játékost a céhbe
GUILD_GRADE_PERMISSION_NOTICE	Írhat céhüzenetet
GUILD_GRADE_PERMISSION_SKILL	Céh-készségek
GUILD_GRADE_PERMISSION_WAR	Kiválaszthat tagokat bajtársaknak
GUILD_GRADE_RANK	Rang
GUILD_GRADE_WRITE	Írni
GUILD_INFO	Céh információ
GUILD_INFO_CUR_EXP	Tapasztalat
GUILD_INFO_DECALRE_WAR	Hadat üzen
GUILD_INFO_ENEMY_GUILD	Ellenséges céh
GUILD_INFO_ENEMY_GUILD_EMPTY	Nincs
GUILD_INFO_LEVEL	Céh-szint
GUILD_INFO_MARK	Céh jel
GUILD_INFO_MASTER	Vezetõ
GUILD_INFO_MASTER_VALUE	Vezetõ
GUILD_INFO_MEMBER_AVG_LEVEL	Átlagos Szint
GUILD_INFO_MEMBER_NUM	Tagok száma
GUILD_INFO_NAME	Céh név
GUILD_INFO_NAME_VALUE	Ez egy céh név
GUILD_INFO_OFFER_EXP	Befektet
GUILD_INFO_REST_EXP	Szükséges tapasztalat
GUILD_INFO_UPLOAD_MARK	Jel feltöltés
GUILD_INFO_UPLOAD_SYMBOL	Zászló feltöltés
GUILD_MARK	Céh jel
GUILD_MASTER_CHANGE_TITLEBAR	Céhvezetés átadása
GUILD_MEMBER_JOB	Osztály
GUILD_MEMBER_KNIGHT	Bajtárs
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Név
GUILD_MEMBER_OUT_TITLEBAR	Tag eltávolítása
GUILD_MEMBER_PACE_ATTENDANCE	Részvétel ({0}/{1})
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Befektet.
GUILD_METIN_STONE	Szellemkõ
GUILD_MINENAL	Ásvány
GUILD_MONEY	Yang
GUILD_NAME	Céh
GUILD_RESOURCE_INFO	Forrás információk
GUILD_SKILLPAGE_LADDER	Rangpontok
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Aktív
GUILD_SKIlL_HEAL_GSP	Feltölteni
GUILD_SKILL_PASSIVE	Passzív
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Céh képesség
GUILD_SYMBOL	Céh zászló
GUILD_WAR_ACCEPT	Céh hadüzenet elfogadása
GUILD_WAR_ALLSCORE	Minden háború
GUILD_WAR_BATTLE_TYPE	Harci mód
GUILD_WAR_CTF	Zászló
GUILD_WAR_DECLARE	Céh háborút kinyilvánít
GUILD_WAR_ENEMY	Ellenség
GUILD_WAR_GAINSCORE	Pontok
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Csata ideje
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_JOINMEMBER	Tagok
GUILD_WAR_JOINMEMBER_COUNT	Tagok
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Harcmezõ
GUILD_WAR_REPORT	Csatajelentés
GUILD_WAR_REPORTLIST	Áttekintés (Csaták: Cs, Gyõzelmek: Gy, Vereségek: V, Döntetlenek: D)
GUILD_WAR_SCORE	Csatajelentés
GUILD_WAR_SKILL	Céh-készségek
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás idõre
GUILD_WAR_WARP	Aréna
GUILD_WAR_WIN	Menetek
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Víz
GUILD_WATER_STONE	Aqua kõ
GUILD_WITHDRAW	Kivon
HELP_ATTACK	Egérkattintásonként egyszeri támadást aktivál.
HELP_ATTACK_KEY	Támadás: bal egérgomb vagy szóköz billentyû
HELP_AUTO_ATTACK	Egérkattintásonként automatikus támadást aktivál.
HELP_CAMERA	Kameranézet
HELP_CHANGE_PK_MODE	Támadási mód váltás: bal egérgomb beállítása
HELP_CHARACTER_BUTTON1	(Karakter ablak, Leltár ablak,
HELP_CHARACTER_BUTTON2	Barátlista és Beállítások)
HELP_CHAT	Egy bizonyos csoportban való beszélgetéshez kezdd üzeneted a következõk egyikével: !(hívás), #(csoport cset) vagy %(céh cset).
HELP_CLICK_OTHER_PLAYER	Jobb kattintás a másik játékoson kereskedéshez, csoportalakításhoz, vagy hogy kihívd párbajra.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Alapértelmezett kameraállás: középsõ egérgomb
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Alternatív kameraállás: hozzárendelés a jobb vagy bal egérgombhoz
HELP_EMOTINO	Mutasd ki érzelmeid a <CTRL> + <1~9> billentyûkombinációkkal.
HELP_EXP	Tapasztalat
HELP_FURY	Játékbeli tárgy piac
HELP_GUILD_WINDOW	Céh ablak megnyitása: Alt+G
HELP_HELP	Segítség megmutatása: H
HELP_HELP_KEY	Az alapértelmezett beállítások megjelennek a segítség képernyõn.
HELP_HP	Életerõ (TP)
