NPC_SEARCH	Npc Search
TOOLTIP_AFFECT_VOTEFORBONUS	Vote for bonus
LOGIN_FAILURE_UPDATE	You have to update the game.
MULTIPLE_BUY_PRICE	Price: %s Yang
MULTIPLE_BUYS	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e To use multiple buys.
GAME_NOT_LOADED	The game is still loading, try again in few seconds.
EMPTY_SLOT	%d. empty slot
PARTY_SKILL_SP_REGEN	SP Regeneration +%.0f%%
GUILDVOTE_CHANGEMASTER_RESULT2	The guild [%s] is now you're.
PET_CANNOT_BE_EVOLVED	You can't evolve this pet.
SKILL_SELECT_1A	Corporal
SKILL_SELECT_1B	Mental
SKILL_SELECT_2A	CaC
SKILL_SELECT_2B	Bow
SKILL_SELECT_3A	Magic Weapons
SKILL_SELECT_3B	Black Magic
SKILL_SELECT_4A	Dragon
SKILL_SELECT_4B	Healing
SKILL_SELECT_DIALOG1	You've to choose a doctrine!
SKILL_SELECT_DIALOG2	Do you want to learn the style: %s?
ACCE_ABSORB_COST	Absorption price: %d
ACCE_ALREADY_REGISTER	This item has already been used.
ACCE_DEL_ABSORDITEM	Absorb item, destroying it in the process?
ACCE_DEL_SERVEITEM	Sash 2 will be destroyed should the combination fail.
ACCE_DEL_SERVEITEM2	Sash 2 will be destroyed should the combination fail.
ACCE_INITEM	Drag the items into the window.
ACCE_MAXGRADE	This has already been customised.
ACCE_MAX_DRAINRATE	Max. Absorption Rate
ACCE_NOTABSORBITEM	You cannot use a weapon or armour piece that has already been absorbed.
ACCE_NOT_SEALITEM	You cannot use any soulbound items.
ACCE_NOT_USINGITEM	You cannot combine an equipped item.
ACCE_NOT_WINDOWOPEN	You cannot use the item when the window for combination is open.
ACCE_POSSIBLE_ACCE	You can only use Shoulder Sashes.
ACCE_POSSIBLE_ACCEITEM	You can only extract bonuses from weapons and armour.
AFF_LOVE_POINT	Love points: %d%%	
ALIGNMENT_NAME	Rank points:	
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s	
ATTENDANCE_REWARD_QUESTION	Do you want to collect your reward?
ATTR_6TH_7TH_ADD_QUESTION1	You cannot use this item while a bonus is being added.
ATTR_6TH_7TH_ADD_QUESTION2	Do you really want to add the bonus?
ATTR_6TH_7TH_CHANGE_FAIL	You cannot change the bonus.
ATTR_6TH_7TH_DESC1	a. You must add the materials required for the item to add a 6th and 7th bonus.
ATTR_6TH_7TH_DESC2	b. Each powershard increases the success rate by 2%.
ATTR_6TH_7TH_DESC3	c. Use an additive to increase the success rate even further.
ATTR_6TH_7TH_DESC4	d. It takes 24 hours to add a bonus. During this time, the NPC will keep the item onto which the bonus should be added. As soon as the process is complete, you can collect it again.
ATTR_6TH_7TH_POSSIBILITY	You can add an additional bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Success rate: %.1f%%
AURA_DRAIN_PER	Absorption rate %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Insufficient Yang to evolve.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] No further bonuses can be applied.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Equipped items cannot be transmitted.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Cannot be evolved.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Current number of items is not sufficient to evolve.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Cannot be improved.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Only Aura Outfit, Shield, Necklace, Earring and Armband can be used.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Soulbound items cannot be transmitted.
AURA_ITEM_NEED_REGISTER	[Aura] Items must be inserted.
AURA_LEVEL_STEP	Lvl%d (Stage %d)
AURA_MAX_LEVEL	[Aura] Aura Outfit has attained maximum level.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Transmitted item will be destroyed.
AURA_OPEN_OTHER_WINDOW	You cannot do this while the window for improvement, evolution or transferring stats is open.
AURA_POSSIBLE_AURAITEM	[Aura] Only Aura Outfit can be used.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Aura Outfit must be inserted first.
AURA_TITLE_ABSORB	Transmit values onto Aura Outfit
AURA_TITLE_EVOLUTION	Evolve Aura Outfit
AURA_TITLE_GROWTH	Improve Aura Outfit
AURA_TOOLTIP_EXP	EXP (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Lvl%d (Stage %d) (Absorption rate %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	New
AURA_TOOLTIP_NOW	Current
AURA_TOOLTIP_RESOURCE	Consumables
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_LINE1	Skills: Select skills for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE2	Hint: You can change the activation interval (in seconds) below each skill.
AUTO_TOOLTIP_LINE3	Potions: Select potions for combat and drag them into the slots. (Premium)
AUTO_TOOLTIP_LINE4	Hint: HP and SP potions will be activated as soon as the level falls below the % value shown below each potion.
AUTO_TOOLTIP_TITLE	Auto-Hunting Help
BATTLE_POINT	Combat Points
BEAD	Animasphere
BEAD_TIME_REMAINING_TO_GET	Animasphere charged in: %d min.
BNW_COIN	Seer Coin
BUY_LIMIT_LEVEL	Buy limit: %s
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here.
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.
CANNOT_SKILL_ATTACK	I cannot attack that.
CANNOT_SKILL_BLUE	You cannot use Indigo Wolf Soul when Crimson Wolf Soul is active.
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.
CANNOT_SKILL_EQUIP_FISHING_ROD	You cannot fish without a fishing rod equipped.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.
CANNOT_SKILL_NEED_TARGET	Who is the target?
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.
CANNOT_SKILL_RED	You cannot use Crimson Wolf Soul when Indigo Wolf Soul is active.
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.	
CANNOT_SKILL_USE_SELF	I cannot use this on myself.	
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.	
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.	SA
CANNOT_WHISPER_NOT_LOGON	%s is not online.	SA
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armour
CATEGORY_ARMOR_ARMOR_HEAD	Helmets
CATEGORY_ARMOR_ARMOR_SHIELD	Shields
CATEGORY_COSTUMES	Costumes
CATEGORY_COSTUMES_COSTUME_BODY	Costumes
CATEGORY_COSTUMES_COSTUME_HAIR	Hairstyles
CATEGORY_COSTUMES_COSTUME_WEAPON	Weapon Skins
CATEGORY_COSTUMES_ETC	Other
CATEGORY_COSTUMES_SASH	Shoulder Sashes
CATEGORY_DRAGON_STONE	Dragon Stone Alchemy
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamond
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Garnet
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onyx
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Ruby
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Sapphire
CATEGORY_DRAGON_STONE_ETC	Other
CATEGORY_EQUIPMENT_ARMOR	Equipment
CATEGORY_EQUIPMENT_JEWELRY	Jewellery
CATEGORY_EQUIPMENT_WEAPON	Weapons
CATEGORY_ETC	Other
CATEGORY_ETC_ETC	Other
CATEGORY_ETC_EVENT	Event Items
CATEGORY_ETC_GIFTBOX	Chests | Boxes
CATEGORY_ETC_MATRIMORY	Marriage
CATEGORY_ETC_PARTI	Art of War Books
CATEGORY_ETC_POLYMORPH	Polymorph Marbles
CATEGORY_ETC_RECIPE	Potion Production
CATEGORY_ETC_SEAL	Soulbinding
CATEGORY_FISHING_PICK	Fishing | Mining
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Pickaxes
CATEGORY_FISHING_PICK_ETC	Other
CATEGORY_FISHING_PICK_FISHING_POLE	Fishing Rods
CATEGORY_FISHING_PICK_FOOD	Fish
CATEGORY_FISHING_PICK_PICK_BOOK	Mining Guides
CATEGORY_FISHING_PICK_STONE	Ores
CATEGORY_JEWELRY_ARMOR_EAR	Earrings
CATEGORY_JEWELRY_ARMOR_FOOTS	Shoes
CATEGORY_JEWELRY_ARMOR_NECK	Necklaces
CATEGORY_JEWELRY_ARMOR_PENDANT	Talisman
CATEGORY_JEWELRY_ARMOR_WRIST	Bracelets
CATEGORY_JEWELRY_ITEM_BELT	Belts
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet Eggs
CATEGORY_MOUNT_PET_FREE_PET	Evolvable Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Potions
CATEGORY_POTION_ABILITY	Consumables
CATEGORY_POTION_ETC	Other
CATEGORY_POTION_HAIRDYE	Hair Dyes
CATEGORY_SKILL	Skills
CATEGORY_SKILL_BOOK_OF_OBLIVION	Books of Forgetfulness
CATEGORY_SKILL_ETC	Other
CATEGORY_SKILL_PAHAE	Ward | Boost
CATEGORY_SKILL_SKILL_BOOK	Skill Books
CATEGORY_TUNING	Upgrades
CATEGORY_TUNING_ETC	Other
CATEGORY_TUNING_RESOURCE	Materials
CATEGORY_TUNING_STONE	Spirit Stones
CATEGORY_UNIQUE	Special Items
CATEGORY_UNIQUE_ABILITY	Consumables
CATEGORY_UNIQUE_ETC	Other
CATEGORY_WEAPON_WEAPON_ARROW	Arrows
CATEGORY_WEAPON_WEAPON_BELL	Bells
CATEGORY_WEAPON_WEAPON_BOW	Bows
CATEGORY_WEAPON_WEAPON_CLAW	Claws
CATEGORY_WEAPON_WEAPON_DAGGER	Daggers
CATEGORY_WEAPON_WEAPON_FAN	Fans
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Spears
CATEGORY_WEAPON_WEAPON_QUIVER	Quivers
CATEGORY_WEAPON_WEAPON_SWORD	One-handed Weapons
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Two-handed Weapons
CHANGE_ALREADY_REGISTER	[Transmutation] This item has already been submitted.
CHANGE_LOOK_CHANGE_ITEM	Do you want to transmute this item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutation] Please first remove the item which you want to transmute.
CHANGE_LOOK_COST	Cost of transmutation: %s Yang
CHANGE_LOOK_DEL_ITEM	The absorbed item will be deleted.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutation] This item cannot be transmuted.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutation] You cannot transmute an item while it is equipped.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutation] You cannot submit this item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutation] The item is soulbound.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutation] Please submit the item you want to transmute.
CHANGE_LOOK_INSERT_ITEM	[Transmutation] You must submit the item first.
CHANGE_LOOK_NEED_MONEY	You either have insufficient Yang or insufficient items.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutation] This action is not possible while the Transmutation window is open.
CHANGE_LOOK_TITLE	Transmutation
CHANGE_LOOK_TITLE2	Mount Transformation
CHANGE_PET_PLEASE_APPEND_FIRST	The pet must be selected first.
CHANGE_TOOLTIP2_LINE1	Add the target item on the left and the material on the right.
CHANGE_TOOLTIP2_LINE2	Click the tick to use Yang or a Transformation Token and alter your mount's appearance.
CHANGE_TOOLTIP2_LINE3	Using a Transformation Token changes the appearance of your mount without costing any Yang (this consumes the token).
CHANGE_TOOLTIP2_LINE4	If changing the appearance of a mount with a duration, the mount's duration remains unchanged.
CHANGE_TOOLTIP2_LINE5	If the target mount is permanent and the material mount has a duration, the mount will maintain the changed appearance for the duration of the material mount.
CHANGE_TOOLTIP_LINE1	Place the item you want to transmute on the left.
CHANGE_TOOLTIP_LINE2	Place the other item on the right.
CHANGE_TOOLTIP_LINE3	The appearance of the item on the left will change
CHANGE_TOOLTIP_LINE4	once you confirm the transmutation (V) and pay the Yang.
CHANGE_TOOLTIP_LINE5	Using this item allows you
CHANGE_TOOLTIP_LINE6	to transmute your item without spending Yang.
CHANGE_TOOLTIP_TITLE	Transmutation
CHANNEL	Channel	
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.	
CHANNEL_EMPTY_SERVER	No server	
CHANNEL_NORMAL	Channel %d	
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.	
CHANNEL_PVP	Free duel	
CHANNEL_SELECT_CHANNEL	Choose the channel	
CHANNEL_SELECT_REGION	Choose region.	
CHANNEL_SELECT_SERVER	Choose server	
CHANNEL_STATUS_BUSY	Busy
CHANNEL_STATUS_FULL	Full
CHANNEL_STATUS_OFFLINE	Unknown
CHANNEL_STATUS_RECOMMENDED	Recommended
CHANNEL_STATUS_VACANT	Low
CHANNEL_TEST_SERVER	Test server	
CHANNEL_TEST_SERVER_ADDR	Test %s:%d	
CHARACTER_CREATE_MODE	Create character
CHARACTER_NAME	Name
CHARACTER_SELECT_MODE	Select character
CHARGE_BEAD_QUESTION	Animaspheres required: %d. Do you want to continue?
CHAT_ALL	All	
CHAT_BLOCK	Block	
CHAT_DICE_INFO	Throw
CHAT_GUILD	Guild	
CHAT_INFORMATION	Info	
CHAT_INSULT_STRING	This sentence has invalid words in it.	
CHAT_LOG	Show old messages [L]	
CHAT_LOG_TITLE	Chat-log	
CHAT_NORMAL	Normal	
CHAT_NOTICE	Server	
CHAT_PARTY	Group	
CHAT_SEND_CHAT	Send chat	
CHAT_SEND_MEMO	Send whisper [Shift+Enter]
CHAT_SHOUT	Call	
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.	
CHAT_WHISPER	Whispering	
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You cannot drop money.
CHEQUE_SYSTEM_PICK_WON	You have received %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Sales price]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Level
CLEAR_TIME	Time
ClosePetChangeWndButton	Close
COMB_ACCE_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_ACCE_WARNING_MESSAGE	The source will be destroyed on complete or partial success. The transfer can fail. The target item's absorption rate will be reduced on a partial success or failure.
COMB_ACCE_WARNING_MESSAGE1	The source will be destroyed on complete or partial success.
COMB_ACCE_WARNING_MESSAGE2	The transfer can fail.
COMB_ACCE_WARNING_MESSAGE3	The target item's absorption rate will be reduced on a partial success or failure.
COMB_ACCE_WILL_REMOVE_MATERIAL	The source will be destroyed on complete or partial success.
COMB_ALREADY_APPEND	This item has already been selected.
COMB_CANT_APPEND_ITEM	This item cannot be used.
COMB_CANT_APPEND_SEALED_ITEM	You cannot use any soulbound items.
COMB_CANT_BASE_ITEM	A sash which already has a bonus cannot be used as the target.
COMB_CANT_MATCH_DRAINRATE	The absorption rate of both items must be identical for a bonus transfer.
COMB_CANT_MATCH_GRADE	The grade of both items must be identical for a bonus transfer.
COMB_CANT_MATERIAL_ITEM	The source item must have a bonus.
COMB_COST	Price: %s
COMB_IS_CONTINUE_PROCESS	Do you want to continue?
COMB_NOTICE	You cannot open a private shop whilst you're trading books.
COMB_NOTICE_NOT_OPEN	You cannot trade books whilst you have a private shop open.
COMB_NOT_ALL_SLOT_APPEND_ITEM	You require a source and target item plus the transfer item to transfer bonuses.
COMB_NOT_FULL_BOOK	No, we can't do business like this. As I told you already, I'm only open to trade if you offer me 10 books in exchange.
COMB_NOT_ITEM_IN_INVENTORY	You cannot use equipped items.
COMB_NOT_MEDIUM_ITEM	This item cannot be used.
COMB_WILL_REMOVE_MATERIAL	The source item will be destroyed on success.
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.	
CREATE_ERROR_INSULT_NAME	This name is invalid.	
CREATE_ERROR_LIMIT_LEVEL	Your character must be at least level 80.
CREATE_ERROR_TIME_LIMIT	You can only create one character every 30 seconds.
CREATE_ERROR_WRONG_STRING	This character name is invalid.
CREATE_EXIST_SAME_NAME	Another character already has this name.	
CREATE_FAILURE	You cannot create the character	
CREATE_FULL	You cannot create any more characters.
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Enter the name.	
CREATE_PLUS_STAT	There are still status points available.
CUBE_CATEGORY_ACCESSORY	Jewellery
CUBE_CATEGORY_ARMOR	Armour
CUBE_CATEGORY_BELT	Belts
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_WEAPON	Weapon
CUBE_MAKE_CONFIRM_QUESTION_1	At least one of the items used is highly valuable (having more than %d bonuses).
CUBE_MAKE_CONFIRM_QUESTION_2	Are you sure you want to continue?
CUBE_NOT_ENOUGH_GOLD	Insufficient Yang for crafting.
CUBE_NOT_ENOUGH_MATERIAL	Insufficient material for crafting.
CUBE_PLEASE_SELECT	No items have been selected.
CZ_REWARD_QUESTION_COMPLETE	Do you want to redeem this space?
CZ_REWARD_TOOLTIP_10GAN	Zodiac Insignia
CZ_REWARD_TOOLTIP_10GAN_COUNT	Number in inventory
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Required amount
CZ_REWARD_TOOLTIP_12ZI	Guardian Insignia
CZ_REWARD_TOOLTIP_12ZI_COUNT	Number in inventory
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Required amount
CZ_REWARD_TOOLTIP_ALL_BOX	Astral Treasure
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Click here to collect your Astral Treasure as a reward.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Click here to collect your Aventurine Treasure as a reward.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Click here to collect your Aureolin Treasure as a reward.
CZ_REWARD_TOOLTIP_COMPLETABLE	Redeem
CZ_REWARD_TOOLTIP_GREEN_BOX	Aventurine Treasure
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Redeemed Aventurine Treasures: %d
CZ_REWARD_TOOLTIP_WEEKLY	Day
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Friday
CZ_REWARD_TOOLTIP_WEEKLY_MON	Monday
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Saturday
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Saturday/Sunday
CZ_REWARD_TOOLTIP_WEEKLY_THU	Thursday
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Tuesday
CZ_REWARD_TOOLTIP_WEEKLY_WED	Wednesday
CZ_REWARD_TOOLTIP_YELLOW_BOX	Aureolin Treasure
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Redeemed Aureolin Treasures: %d
DAY	d
DETAILS_10	Str. vs Desert Mon.
DETAILS_11	Str. vs Insects
DETAILS_14	Average Damage
DETAILS_15	Average Dmg. Resist.
DETAILS_16	Skill Damage
DETAILS_17	Skill Damage Resistance
DETAILS_19	Magic Attack
DETAILS_20	Critical Hit Chance
DETAILS_21	Piercing Hit
DETAILS_22	Critical Hit Resistance
DETAILS_23	Piercing Hit Resistance
DETAILS_24	Lightning Resistance
DETAILS_25	Ice Resistance
DETAILS_26	Darkness Resistance
DETAILS_27	Fire Resistance
DETAILS_28	Wind Resistance
DETAILS_29	Earth Resistance
DETAILS_3	Strong vs Orcs
DETAILS_30	Power of Lightning
DETAILS_31	Power of Ice
DETAILS_32	Power of Darkness
DETAILS_33	Power of Fire
DETAILS_34	Power of the Wind
DETAILS_35	Power of Earth
DETAILS_36	Strong vs Warriors
DETAILS_37	Strong vs Ninjas
DETAILS_38	Strong vs Suras
DETAILS_39	Strong vs Shamans
DETAILS_4	Strong vs Undead
DETAILS_40	Strong vs Lycans
DETAILS_41	Defence vs Warriors
DETAILS_42	Defence vs Ninjas
DETAILS_43	Defence vs Suras
DETAILS_44	Defence vs Shamans
DETAILS_45	Defence vs Lycans
DETAILS_46	Sword Defence
DETAILS_47	Two-handed Defence
DETAILS_48	Dagger Defence
DETAILS_49	Claw Defence
DETAILS_5	Strong vs Monsters
DETAILS_50	Bell Defence
DETAILS_51	Fan Defence
DETAILS_52	Arrow Defence
DETAILS_53	Faint Chance
DETAILS_54	Slowing Chance
DETAILS_55	Poison Chance
DETAILS_56	Poison Resistance
DETAILS_57	Bleeding Attack
DETAILS_58	Bleeding Attack Res.
DETAILS_6	Str. vs Zodiac Mon.
DETAILS_7	Strong vs Animals
DETAILS_76	Magic Resistance
DETAILS_77	Anti-Magic
DETAILS_8	Strong vs Esoterics
DETAILS_9	Strong vs Devils
DETAILS_ATTBONUS_BELL	Bell break
DETAILS_ATTBONUS_BOW	Arrow break
DETAILS_ATTBONUS_CLAW	Claw break
DETAILS_ATTBONUS_DAGGER	Dagger break
DETAILS_ATTBONUS_FAN	Fan break
DETAILS_ATTBONUS_SWORD	Sword break
DETAILS_ATTBONUS_TWOHAND	Two-handed break
DETAILS_RESIST_MOUNT_FALL	Fall resistance
DETAILS_TITLE	Details
DETAILS_TOOLTIP_1	Strong against Half Humans: Deals heavier damage to Half Humans.
DETAILS_TOOLTIP_10	Strong against Desert Monsters: Deals heavier damage to desert monsters.
DETAILS_TOOLTIP_11	Strong against Insects: Deals heavier damage to insects.
DETAILS_TOOLTIP_12	Increases your attack value.
DETAILS_TOOLTIP_13	Increases your defence value.
DETAILS_TOOLTIP_14	Increases the average damage you deal to enemies on an attack.
DETAILS_TOOLTIP_15	Resistance to average damage: reduces the damage you suffer on an attack.
DETAILS_TOOLTIP_16	Increases the damage done by a skill.
DETAILS_TOOLTIP_17	Resistance against skill damage: Reduces the damage done to you by a skill.
DETAILS_TOOLTIP_18	Increases both your physical and magic attack value.
DETAILS_TOOLTIP_19	Increases the damage you deal to enemies on a magical attack.
DETAILS_TOOLTIP_2	Resistance to Half Humans: Reduces the damage you suffer from Half Humans.
DETAILS_TOOLTIP_20	Increases the chance of landing a critical hit.
DETAILS_TOOLTIP_21	Piercing hit probability: Increases the chance of landing a piercing hit.
DETAILS_TOOLTIP_24	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_25	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_26	Darkness resistance: Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_27	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_28	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_29	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_3	Strong against Orcs: Deals heavier damage to orcs.
DETAILS_TOOLTIP_30	Increases the damage you inflict through the power of lightning.
DETAILS_TOOLTIP_31	Increases the damage you inflict through the power of ice.
DETAILS_TOOLTIP_32	Increases the damage you inflict through the power of darkness.
DETAILS_TOOLTIP_33	Increases the damage you inflict through the power of fire.
DETAILS_TOOLTIP_34	Increases the damage you inflict through the power of the wind.
DETAILS_TOOLTIP_35	Increases the damage you inflict through the power of earth.
DETAILS_TOOLTIP_36	Strong against Warriors: Deals heavier damage to warriors.
DETAILS_TOOLTIP_37	Strong against Ninjas: Deals heavier damage to ninjas.
