TELEPORT_PANEL_TITLE	teletransportador
TELEPORT_MAP_GUILDZONE_DESC	Uma área que é importante para as guildas. Estamos construindo aqui! Mas não só isso, os monstros também podem ser encontrados aqui. Eles são agressivos e atacarão sozinhos. Jogadores jovens podem ter dificuldade aqui, mas você pode pegar bons itens aqui.
TELEPORT_MAP_SEUNGRYONG_DESC	Orc Valley é o lugar perfeito para subir de nível do nível 20 para o nível 50. Além disso, Orc Valley tem um dos locais mais populares da Metin Farm. O chefe neste mapa é o orc chefe. Este é muitas vezes sobrecarregado, então sempre tome cuidado com o Yellow Guy!
TELEPORT_MAP_YONGBI_DESC	Ar quente, areia nas sandálias. Não gostas? Então é melhor você evitar este lugar. Mas há muito para descobrir aqui. Duas masmorras de macacos são adjacentes aqui, a masmorra de aranha e o campo de cobras também podem ser alcançados a partir daqui.
TELEPORT_MAP_SOHAN_DESC	Está muito frio aqui em cima, então arrume-se! Aqui você raramente encontra o lendário Nine Tails. Cuidado com eles! É também uma boa área para conquistar pedras de metin. Se você sobreviver ao frio, você é um lutador durão.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulcões e magma. Faz muito calor aqui! Monstros que parecem fora deste mundo podem ser encontrados aqui. Não vá aqui se você não for forte o suficiente!
TELEPORT_MAP_SNAKEFIELD_DESC	Cobras e gigantes? Pff... como isso pode ter acontecido. Vá para uma área perigosa e tente sobreviver aqui. Evite este lugar se você realmente não sabe o que está fazendo, caso contrário, você terminará em pouco tempo.
TELEPORT_MAP_GHOSTWOOD_DESC	Mapa com muitos Tree Monsters, metines e um Evil Boss.
TELEPORT_MAP_REDWOOD_DESC	Mapa com muitos Tree Monsters, metines e um Evil Boss.
TELEPORT_MAP_LAND_OF_GIANTS_DESC	Se você tiver um problema com tamanhos, não vá aqui! Caso contrário, você poderá saquear itens aqui que podem lhe trazer fama e fortuna. Por favor, vá lá bem equipado. O país precisa ainda mais de você!
TELEPORT_BUTTON_RED_EMPIRE	império vermelho
TELEPORT_BUTTON_YELLOW_EMPIRE	império amarelo
TELEPORT_BUTTON_BLUE_EMPIRE	império azul
TELEPORT_BUTTON_START	Começo
TELEPORT_BUTTON_MIDDLE	Centro
TELEPORT_BUTTON_END	Final
TELEPORT_BUTTON_ENTRY	Entrada
TELEPORT_BUTTON_SKIPIA_1	Primeiro andar
TELEPORT_BUTTON_SKIPIA_2	Segundo andar
TELEPORT_BUTTON_SKIPIA_BOSS	Sala do Chefão
LOGIN_ACCOUNT_N_S	SEM CONTA
LOGIN_ACCOUNT_DELETE	EXCLUIR
LOGIN_ACCOUNT_SAVED	SALVAR
LOGIN_ACCOUNT_EMPTY	CONTA VAZIA
LOGIN_ACCOUNT_CONT	CONTA
MULTIPLE_BUYS_TITLE	Compras multiplas
DOGMODE	Modo Cao
ENCHANT_REINFORCE_TITLE	Encantos & Reforcos
PET_HATCHING_TITLE	Incubadora
PET_HATCHING_PRICE	Preço: 100.000 Yang
PET_HATCHING_NAME	Nome
PET_HATCHING	Abra
SKILL_SELECT_1	Escolha a doutrina
SKILL_SELECT_2	Aceitar
GUILD_MEMBER_WAR	Guerra
ACCEPT	OK
ACCE_ABSORB	Absorção Bónus
ACCE_COMBINE	Combinação
ACCE_MAIN	Faixa 1
ACCE_RESULT	Resultado
ACCE_SERVE	Faixa 2
ATTACH_METIN_INFO	Queres usar a Pedra Espírita?
ATTACH_METIN_TITLE	Usar Pedra Espírita
ATTENDANCE_TITLE	Evento Ceifador de Bosses
ATTR_67_ADD	Adicionar Bónus
ATTR_67_ADD_TITLE	Adicionar Bónus
ATTR_67_MATERIAL_SLOT_TITLE	Lascas do Poder
ATTR_67_REGIST_SLOT_TITLE	Item Destino
ATTR_67_SUPPORT_SLOT_TITLE	Aditivo
AURA_MAIN	Roupa da Aura
AURA_SUB	Material
AUTO_AUTO_ATTACK	Ataque
AUTO_AUTO_POSITION	Poções
AUTO_AUTO_RANGE	Foco
AUTO_AUTO_SKILL	Habilidades
AUTO_CLEAR	Limpar
AUTO_END	Parar
AUTO_OFF	Off
AUTO_ON	On
AUTO_POSITION_SETTING	Poções
AUTO_SAVE	Gravar
AUTO_SETTING	Definições
AUTO_SKILL_SETTING	Habilidades
AUTO_START	Iniciar
AUTO_TITLE	Auto-Caça
BANNER_ATTENDANCE_BUTTON	Evento Ceifador de Bosses
BANNER_BLACK_AND_WHITE_BUTTON	Duelo dos Videntes
BANNER_CATCHKING_BUTTON	Apanha o Rei
BANNER_EASTER_BUTTON	PÁSCOA
BANNER_FISH_BUTTON	PUZZLE DE PESCA
BANNER_FLOWER_BUTTON	PODER DAS FLORES
BANNER_FOOTBALL_BUTTON	FUTEBOL
BANNER_HALLOWEEN_BUTTON	HALLOWEEN
BANNER_LUCKY_EVENT	ESPANCA-MONSTROS
BANNER_MINIBOSS_BUTTON	Apocalipse do Zodíaco
BANNER_MONSTERBACK_BUTTON	Usar Golpes
BANNER_MYSTERY_BOX_BUTTON	EVENTO DE ESPÓLIOS I
BANNER_MYSTERY_BOX_BUTTON_2	EVENTO DE ESPÓLIOS II
BANNER_NEW_XMAS_BUTTON	NATAL
BANNER_OKEY_BUTTON	Evento Okey
BANNER_OLYMPIC_BUTTON	EVENTO DE HERÓI
BANNER_RAMADAN_BUTTON	RAMADÃO
BANNER_ROULETTE_BUTTON	Ritual do Sangue
BANNER_SOUL_BUTTON	EVENTO DA ALMA
BANNER_SUMMER_BUTTON	EVENTO DE VERÃO
BANNER_VALENTINE_BUTTON	DIA DE SÃO VALENTIM
BANNER_YUTNORI_BUTTON	Yut Nori
BATTLE_FIELD_INFO	Zona de Combate
BATTLE_FIELD_OPERATION_TIME	É possível entrar nas Zonas de Combate entre as %s:00 e as %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Actualmente aberta a entradas.
BATTLE_FIELD_OPERATION_TIME_END	Zona de Combate ainda aberta durante %s horas.
BATTLE_FIELD_OPERATION_TIME_NA	Actualmente encerrada para entradas.
BATTLE_FIELD_OPERATION_TIME_OPEN	Aberta a entradas dentro de %s horas e durante %s horas.
BATTLE_FILED_RANK	Posição
BATTLE_FILED_RANK_EMPIRE	Reino
BATTLE_FILED_RANK_NAME	Nome
BATTLE_FILED_RANK_POINT	Pontos
BNW_GAME_UI_COM	Adversário
BNW_RANK_UI_COUNT	Doações
BNW_RANK_UI_NAME	Nome
BNW_RANK_UI_RANK	Posição
CANCEL	Cancelar
CHANGE_ATTR_SELECT	Mudar Bónus
CHANGE_PASSWORD_CONFIRM	Confirmar Nova Pass.
CHANGE_PASSWORD_NEW	Nova Palavra-passe
CHANGE_PASSWORD_OLD	Palavra-passe Antiga
CHANGE_PASSWORD_TITLE	Alterar a Palavra-passe
CHARACTER_ACTION	Emoções
CHARACTER_EMOTICON	Emoções
CHARACTER_MAIN	Personagem
CHARACTER_MUTUAL_ACTION	Emoção Partilhada
CHARACTER_NORMAL_ACTION	Emoções Normais
CHARACTER_QUEST	Missões
CHARACTER_SKILL	Habilidades
CHARACTER_SPECTIAL_ACTION	Acções Especiais
CHAT_FILTER	Filtro de chat
CHAT_FILTER_DICE	Dados
CLOSE	Fechar
COMB_APPEARANCE	Destino
COMB_ATTRIBUTE	Origem
COMB_MAIN	Destino
COMB_MATERIAL	Origem
COMB_SKILLBOOK_TILE	Trocar livros
COSTUME_TITLE	Disfarces
COSTUME_WINDOW_TITLE	Disfarces
CREATE_ATT_GRADE	FRÇ
CREATE_CREATE	Criar
CREATE_DEX_GRADE	DES
CREATE_HP	Vd
CREATE_LAST_POINT	Pontos
CREATE_MAN	Homem
CREATE_NAME	Nome
CREATE_NEXT	Próximo
CREATE_PREV	Voltar
CREATE_SEX	Género
CREATE_SHAPE	Forma
CREATE_SP	INT
CREATE_STAT_RESET	Reset
CREATE_WOMAN	Mulher
CUBE_INFO_TITLE	Manual de Refinamento
CUBE_RENEWAL_BELT_IMPROVE	Aumentar Chance
CUBE_RENEWAL_TITLE	Refinação
CUBE_REQUIRE_MATERIAL	Materiais necessários
CUBE_REQUIRE_MATERIAL_OR	ou
CUBE_TITLE	Janela de Refinamento
CURRENT_POINT	Pontos actuais: %s
CZ_REWARD_WINDOW_TITLE	Templo do Zodíaco
DO_CHANGE_ATTR	Aplicar
DO_REFINE	Refinar
DO_REFINE_ALL	Refinar tudo
DRAGONSOUL_ACTIVATE	Activar
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Mudança de Bónus de Pedras do Dragão Míticas
DRAGONSOUL_PAGE_BUTTON_1	Cru(a)
DRAGONSOUL_PAGE_BUTTON_2	Talhado(a)
DRAGONSOUL_PAGE_BUTTON_3	Raro(a)
DRAGONSOUL_PAGE_BUTTON_4	Antigo(a)
DRAGONSOUL_PAGE_BUTTON_5	Lendário(a)
DRAGONSOUL_PAGE_BUTTON_6	Mítica
DRAGONSOUL_REFINE_WINDOW_TITLE	Janela de Refinamento
DRAGONSOUL_TAP_TITLE_1	Diamante-Dragão: %s
DRAGONSOUL_TAP_TITLE_2	Rubi-Dragão: %s
DRAGONSOUL_TAP_TITLE_3	Jade-Dragão: %s
DRAGONSOUL_TAP_TITLE_4	Safira-Dragão: %s
DRAGONSOUL_TAP_TITLE_5	Granada-Dragão: %s
DRAGONSOUL_TAP_TITLE_6	Ónix-Dragão: %s
DRAGONSOUL_TITLE	Alquimia de Pedra do Dragão
DUTCHAUCTION_BUTTON	Ir!
DUTCHAUCTION_TITLE	Leilão Flash
EMPIRE_A	Shinsoo
EMPIRE_ALL	Tudo
EMPIRE_B	Chunjo
EMPIRE_C	Jinno
EMPIRE_EXIT	Sair
EMPIRE_NEXT	Próximo
EMPIRE_PREV	Voltar
EMPIRE_SELECT	Escolher
END_TIME	Evento activo
ENTER_BATTLE_FIELD	Entrar
EVENT_ALARM_TITLE	Vista Geral do Evento
EVENT_NAME_TITLE	Nome
EVENT_REWARD_TITLE	Recompensa
EXCHANGE_ACCEPT	OK
EXCHANGE_TITLE	Comércio
EXIT_BATTLE_FIELD	Queres mesmo sair da Zona de Combate?
EXIT_BATTLE_FIELD_ON_DEAD	Queres abandonar a Zona de Combate com %d ponto(s)?
EXPIRED_TIME	O evento terminou.
FISHING_RENEWAL_TITLE	Pescar
FRAGMENT_COMB_TITLE	Combinar Livros de Habilidades
GAMEOPTION_TITLE	Opções do jogo
GAME_EXIT_OBSERVER	Fechar Modo de Observação
GAME_GUILD_WAR_JOIN	Entrar em Guerra de Guild
GAME_QUEST	Tarefas
GAME_SKILL_UP	Aumentar Habilidades
GAME_STAT_UP	Aumentar Atributos
GEMSHOP_LEFTTIME	Tempo restante
GEMSHOP_TITLA	MERCADO DE GAYA
GRADE	Classe
GRADE_SELECT	Classe
GRAPHICONOFF_DROP_ITEM_APPLY	Aplicar
GRAPHICONOFF_DROP_ITEM_LEVEL	Queda de Itens
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostrar efeito e nome
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Esconder efeito
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Esconder efeito e nome
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Esconder itens e usar rato para mostrar nome
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	Esconder itens e nome
GRAPHICONOFF_EFFECT_APPLY	Aplicar
GRAPHICONOFF_EFFECT_LEVEL	Efeitos
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostrar tudo
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Apenas efeitos teus e de monstros
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Apenas efeitos teus e de outros jogadores
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Apenas teus
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	Esconder tudo
GRAPHICONOFF_NPC_NAME_STATUS	Nomes de NPCs
GRAPHICONOFF_NPC_NAME_STATUS_OFF	Off
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Esconder nomes de NPCs
GRAPHICONOFF_NPC_NAME_STATUS_ON	On
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostrar nomes de NPCs
GRAPHICONOFF_PET_STATUS	Pets
GRAPHICONOFF_PET_STATUS_OFF	Off
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Esconder pets
GRAPHICONOFF_PET_STATUS_ON	On
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostrar pets
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Aplicar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Lojas Privadas
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostrar tudo
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostrar tudo num raio grande
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostrar tudo num raio médio
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostrar tudo num raio pequeno
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostrar tudo nas imediações
GUILDWINDOW_BASE_BUFF	Bónus de Guild
GUILD_ATTENDANCE_LOCA1	Primeira participação: 1x Medalha de Coragem
GUILD_ATTENDANCE_LOCA2	10 ou mais: 1x Medalha de Coragem
GUILD_ATTENDANCE_LOCA3	20 ou mais 2x Medalha de Coragem
GUILD_ATTENDANCE_LOCA4	30 ou mais: 4x Medalha de Coragem
GUILD_ATTENDANCE_LOCA5	40 ou mais: 6x Medalha de Coragem
GUILD_ATTENDANCE_LOCA6	50 ou mais: 8x Medalha de Coragem
GUILD_ATTENDANCE_LOCA7	60 ou mais: 10x Medalha de Coragem
GUILD_ATTENDANCE_LOCA8	70 ou mais: 12x Medalha de Coragem
GUILD_ATTENDANCE_LOCA9	Hora de início: diariamente às 5:00
GUILD_ATTENDANCE_TITLE	Recompensa de participação
GUILD_BANKINFO_CLOSE	Fechar
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TITLE	Registo do Armazém da Guild
GUILD_BANKINFO_TYPE	Item/Moeda
GUILD_BANKINFO_USETYPE	Acção
GUILD_BANK_CLOSE	Fechar
GUILD_BANK_INFO	Página Loja:
GUILD_BASEINFO_BANK	Armazém da Guild
GUILD_BASEINFO_BANKLASTOUT	Última Remoção
GUILD_BASEINFO_BUILDING	Edifício de Guild
GUILD_BASEINFO_FACTORY	Ferreiro de Guild
GUILD_BASEINFO_GUILDLAND	Território de Guild
GUILD_BASEINFO_LANDSCAPE	Outros
GUILD_BASEINFO_LOCALE	Localização
GUILD_BASEINFO_MONEY	Saldo
GUILD_BASEINFO_MONEYBANKINFO	Informações do Banco da Guild
GUILD_BASEINFO_MONEYLASTOUT	Últ. Levantamento
GUILD_BASEINFO_POWER	Altar do Poder
GUILD_BASEINFO_SMEITER	Alquimista de Guild
GUILD_BASEINFO_TITLE	Informações do Território
GUILD_BASENAME	Nome Base
GUILD_BOARD_ID	Nome
GUILD_BOARD_REFRESH	Actualizar
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_CATEGORY_TITLE	Unidades de Construção
GUILD_BUILDING_CHANGE	Alterar
GUILD_BUILDING_CHANGE_DELETE	Apagar
GUILD_BUILDING_CHANGE_FIX	Reconstrução da Guild
GUILD_BUILDING_CHANGE_LIST	Lista de Propriedades da Guild
GUILD_BUILDING_DIRECTION	Orientação
GUILD_BUILDING_FIX	Reconstrução
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_INFO	Edifícios e Custos
GUILD_BUILDING_LIST_TITLE	Lista de Edifícios
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Tábuas
GUILD_BUILDING_POSITION	Posição
GUILD_BUILDING_PREVIEW	Pré-visualizar
GUILD_BUILDING_PRICE	Preço
GUILD_BUILDING_REFRESH	Actualizar
GUILD_BUILDING_STONE	Pedras
GUILD_BUILDING_TITLE	Construções da Guild
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depósito
GUILD_DONATE_BUTTON_OVER_TEXT	Item aleatório
GUILD_DONATE_COUNT	Doações disponíveis: %d/%d
GUILD_DONATE_GET_MEDAL_OF_HONOR	%d
GUILD_DONATE_GUILD_EXP	EXP de Guild
GUILD_DONATE_HIGH_MATERIAL	Doação Grande
GUILD_DONATE_MEDAL_OF_HONOR	Medalha de Coragem
GUILD_DONATE_MIDDLE_MATERIAL	Doação Média
GUILD_DONATE_MY_MEDAL_OF_HONOR	Minhas Medalhas de Coragem
GUILD_DONATE_NORMAL_MATERIAL	120.000 Yang
GUILD_DONATE_TAB_HIGH	Doação Grande
GUILD_DONATE_TAB_MIDDLE	Doação Média
GUILD_DONATE_TAB_NORMAL	Doação Pequena
GUILD_DONATE_TITLE	Doação de EXP
GUILD_DRAGONLAIR_RANKING	Classificações
GUILD_DRAGONLAIR_RANKING_COUNT	Posto
GUILD_DRAGONLAIR_RANKING_MEMBER	Membro
GUILD_DRAGONLAIR_RANKING_NAME	Guild
GUILD_DRAGONLAIR_RANKING_TIME	Tempo
GUILD_DROP_RESOURCE1	Aqui
GUILD_DROP_RESOURCE2	Deixar Recurso
GUILD_GEM	Gema
GUILD_GRADE_CHANGE_GRADE_NAME	Novo Nome de Estatuto
GUILD_GRADE_NUM	N.º
GUILD_GRADE_PERMISSION_BANK	Pode usar banco e armazém da Guild
GUILD_GRADE_PERMISSION_DELETE	Remover da Guild
GUILD_GRADE_PERMISSION_JOIN	Pode aceitar jogadores na guild
GUILD_GRADE_PERMISSION_NOTICE	Pode compor mensagens de Guild
GUILD_GRADE_PERMISSION_SKILL	Habilidades de Guild
GUILD_GRADE_PERMISSION_WAR	Pode seleccionar membros para se juntarem como combatentes
GUILD_GRADE_RANK	Estatuto
GUILD_GRADE_WRITE	Escrever
GUILD_INFO	Informações da Guild
GUILD_INFO_CUR_EXP	Experiência
GUILD_INFO_DECALRE_WAR	Declarar Guerra
GUILD_INFO_ENEMY_GUILD	Inimigos da Guild
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_INFO_LEVEL	Nível da Guild
GUILD_INFO_MARK	Símbolo
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nível Médio
GUILD_INFO_MEMBER_NUM	Nº. de Membros
GUILD_INFO_NAME	Nome da Guild
GUILD_INFO_NAME_VALUE	Este é um Nome de Guild
GUILD_INFO_OFFER_EXP	Doar EXP
GUILD_INFO_REST_EXP	EXP Necessária
GUILD_INFO_UPLOAD_MARK	Enviar Ícone
GUILD_INFO_UPLOAD_SYMBOL	Enviar Bandeira
GUILD_MARK	Ícone da Guild
GUILD_MASTER_CHANGE_TITLEBAR	Renunciar Liderança da Guild
GUILD_MEMBER_JOB	Raça
GUILD_MEMBER_KNIGHT	Combatente
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Nome
GUILD_MEMBER_OUT_TITLEBAR	Remover Membro
GUILD_MEMBER_PACE_ATTENDANCE	Participação ({0}/{1})
GUILD_MEMBER_RANK	Estatuto
GUILD_MEMBER_SPECIFIC_GRAVITY	Doar
GUILD_METIN_STONE	Pedra Espírita
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Guild
GUILD_RESOURCE_INFO	Informação de recursos
GUILD_SKILLPAGE_LADDER	Pontos de Posição
GUILD_SKILLPAGE_RANK	Posição
GUILD_SKILL_ACTIVE	Activo
GUILD_SKIlL_HEAL_GSP	Reabastecer Poder
GUILD_SKILL_PASSIVE	Passivo
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Habilidades da Guild
GUILD_SYMBOL	Bandeira da Guild
GUILD_WAR_ACCEPT	Aceitar Guerra
GUILD_WAR_ALLSCORE	Todas as Guerras
GUILD_WAR_BATTLE_TYPE	Tipo de Guerra
GUILD_WAR_CTF	Bandeira
GUILD_WAR_DECLARE	Declarar Guerra a
GUILD_WAR_ENEMY	Inimigo
GUILD_WAR_GAINSCORE	Pontos
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Tempo de Combate
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membros
GUILD_WAR_JOINMEMBER_COUNT	Membros
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Campal
GUILD_WAR_REPORT	Relatório de Guerra
GUILD_WAR_REPORTLIST	Vista Geral (Batalhas: B, Vitórias: V, Derrotas: D, Empates: E)
GUILD_WAR_SCORE	Relatório de Guerra
GUILD_WAR_SKILL	Habilidades de Guild
GUILD_WAR_TYPE_DEFENSE	Batalha de Escudo
GUILD_WAR_TYPE_DIE	Batalha de Arena
GUILD_WAR_TYPE_FLAG	Capturar a Bandeira
GUILD_WAR_TYPE_NORMAL	Batalha Campal
GUILD_WAR_TYPE_TIGER	Aniquilação
GUILD_WAR_TYPE_TIME	Contra-Relógio
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Rondas
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Água
GUILD_WATER_STONE	Gema
GUILD_WITHDRAW	Pegar
HELP_ATTACK	Activa ataques simples por cada clique do rato.
HELP_ATTACK_KEY	Ataque: Carrega na Barra de Espaços ou no Botão Esquerdo do Rato.
HELP_AUTO_ATTACK	Activa ataques automáticos por cada clique do rato.
HELP_CAMERA	Vista de câmara
HELP_CHANGE_PK_MODE	Alterar Modo de Ataque: Carrega no 'Ctrl' + 'B' para alterar o Modo de Ataque.
HELP_CHARACTER_BUTTON1	(Janela de Personagem, Janela de Inventário,
HELP_CHARACTER_BUTTON2	Lista de Amigos e Opções)
HELP_CHAT	Para falares com grupos específicos, usa os seguintes como prefixo nas tuas mensagens: !(chamar), #(chat de grupo) ou %(chat de guild).
HELP_CLICK_OTHER_PLAYER	Clica com o botão direito do rato noutro jogador para negociares, formares um grupo ou desafiá-lo para um duelo.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Câmara Padrão: botão central do rato
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Câmara Alternativa: atribuir ao botão esquerdo ou direito do rato
HELP_EMOTINO	Expressa as tuas emoções com as combinações de teclas <CTRL> + <1~9>.
HELP_EXP	Experiência
HELP_FURY	Loja de Itens Online
HELP_GUILD_WINDOW	Abrir Janela de Guild: Alt + G
HELP_HELP	Ajuda: H
HELP_HELP_KEY	As definições padrão são exibidas no ecrã de ajuda.
HELP_HP	Vida (VD)
HELP_KEYSETTING	Podes mudar os teus atalhos de teclado nas opções do jogo.
HELP_MESSENGER_WINDOW	Abrir a Lista de Amigos: Alt + M
HELP_MINIMAP	Mostra o mini-mapa.
HELP_MINIMAP_QUEST	Missões são exibidas como ícones a piscar no mini-mapa e no mapa grande.
HELP_MOUSE_LEFT	A função do botão Esquerdo do Rato
HELP_MOUSE_RIGHT	A função do botão Direito do Rato
