NPC_SEARCH	Pesquisa NPC
CHAT_SHOUT_LIMIT	Só podes Chamar de 15 em 15 segundos.
CHAT_WHISPER	Segredo
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Não podes deixar cair dinheiro.
CHEQUE_SYSTEM_PICK_WON	Recebeste %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preço de Venda]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Nível
CLEAR_TIME	Tempo
ClosePetChangeWndButton	Fechar
COMB_ACCE_IS_CONTINUE_PROCESS	Queres continuar?
COMB_ACCE_WARNING_MESSAGE	A origem será destruída com um sucesso completo ou parcial. A transferência pode falhar. A taxa de absorção do item de destino será reduzida com um sucesso parcial ou falhanço.
COMB_ACCE_WARNING_MESSAGE1	A origem será destruída com um sucesso completo ou parcial.
COMB_ACCE_WARNING_MESSAGE2	A transferência pode falhar.
COMB_ACCE_WARNING_MESSAGE3	A taxa de absorção do item de destino será reduzida com um sucesso parcial ou falhanço.
COMB_ACCE_WILL_REMOVE_MATERIAL	A origem será destruída com um sucesso completo ou parcial.
COMB_ALREADY_APPEND	Este item já foi seleccionado.
COMB_CANT_APPEND_ITEM	Este item não pode ser usado.
COMB_CANT_APPEND_SEALED_ITEM	Não podes usar quaisquer itens vinculados.
COMB_CANT_BASE_ITEM	Uma Faixa que já tem um bónus não pode ser usada como destino.
COMB_CANT_MATCH_DRAINRATE	A taxa de absorção de ambos os itens tem de ser idêntica para uma transferência de bónus.
COMB_CANT_MATCH_GRADE	O grau de ambos os itens tem de ser idêntico para uma transferência de bónus.
COMB_CANT_MATERIAL_ITEM	O item de origem tem de ter um bónus.
COMB_COST	Preço: %s
COMB_IS_CONTINUE_PROCESS	Queres continuar?
COMB_NOTICE	Não podes abrir uma loja privada enquanto estás a trocar livros.
COMB_NOTICE_NOT_OPEN	Não podes trocar livros enquanto tens uma loja privada aberta.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Precisas de um item de origem e um de destino, além do item de transferência, para transferires bónus.
COMB_NOT_FULL_BOOK	Não, não podemos fazer negócio assim. Como já te disse, apenas aceito trocas se me ofereceres 10 livros.
COMB_NOT_ITEM_IN_INVENTORY	Não podes usar itens equipados.
COMB_NOT_MEDIUM_ITEM	Este item não pode ser usado.
COMB_WILL_REMOVE_MATERIAL	O item de origem será destruído com um sucesso.
CREATE_ERROR_GM_NAME	Não podes usar ,GM‘ no nome da tua personagem.
CREATE_ERROR_INSULT_NAME	Este nome é inválido.
CREATE_ERROR_LIMIT_LEVEL	A tua personagem tem de ser pelo menos nível 80.
CREATE_ERROR_TIME_LIMIT	Apenas podes criar uma personagem a cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nome de personagem não é válido.
CREATE_EXIST_SAME_NAME	Já existe uma personagem com este nome.
CREATE_FAILURE	Não podes criar a personagem.
CREATE_FULL	Não podes criar mais personagens.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Insere o nome.
CREATE_PLUS_STAT	Ainda sobram pontos de Atributo.
CUBE_CATEGORY_ACCESSORY	Joalharia
CUBE_CATEGORY_ARMOR	Armaduras
CUBE_CATEGORY_BELT	Cintos
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_WEAPON	Armas
CUBE_MAKE_CONFIRM_QUESTION_1	Pelo menos um dos itens usados é altamente valioso (tem mais de %d bónus).
CUBE_MAKE_CONFIRM_QUESTION_2	Queres mesmo continuar?
CUBE_NOT_ENOUGH_GOLD	Yang insuficiente para criação.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficiente para a criação.
CUBE_PLEASE_SELECT	Não foram seleccionados itens.
CZ_REWARD_QUESTION_COMPLETE	Queres resgatar este espaço?
CZ_REWARD_TOOLTIP_10GAN	Insígnia do Zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_12ZI	Insígnia do Guardião
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_ALL_BOX	Tesouro Astral
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clica aqui para recolheres o teu Tesouro Astral como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clica aqui para recolheres o teu Tesouro Aventurino como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clica aqui para recolheres o teu Tesouro Aureolino como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Resgatar
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesouro Aventurino
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesouros Aventurinos Resgatados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dia
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Sexta-feira
CZ_REWARD_TOOLTIP_WEEKLY_MON	Segunda-feira
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado/Domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Quinta-feira
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Terça-feira
CZ_REWARD_TOOLTIP_WEEKLY_WED	Quarta-feira
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesouro Aureolino
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesouros Aureolinos Resgatados: %d
DAY	d
DETAILS_10	Frt. vs Mon. Deserto
DETAILS_11	Frt. vs Insectos
DETAILS_14	Dano Médio
DETAILS_15	Res. a Dano Média
DETAILS_16	Dano de Habilidade
DETAILS_17	Resist. Dano de Habilidade
DETAILS_19	Ataque Mágico
DETAILS_20	Prob. Golpe Crítico
DETAILS_21	Golpe Perfurante
DETAILS_22	Resistência a Golpe Crítico
DETAILS_23	Resistência a Golpe Perf.
DETAILS_24	Resistência a Relâmpagos
DETAILS_25	Resistência a Gelo
DETAILS_26	Resistência a Trevas
DETAILS_27	Resistência a Fogo
DETAILS_28	Resistência a Vento
DETAILS_29	Resistência a Terra
DETAILS_3	Frt. vs Orcs
DETAILS_30	Poder dos Raios
DETAILS_31	Poder do Gelo
DETAILS_32	Poder das Trevas
DETAILS_33	Poder do Fogo
DETAILS_34	Poder do Vento
DETAILS_35	Poder da Terra
DETAILS_36	Frt. vs Guerreiros
DETAILS_37	Frt. vs Ninjas
DETAILS_38	Frt. vs Suras
DETAILS_39	Frt. vs Xamãs
DETAILS_4	Frt. vs Mortos-Vivos
DETAILS_40	Frt. vs Lycans
DETAILS_41	Def. vs Guerreiros
DETAILS_42	Def. vs Ninjas
DETAILS_43	Def. vs Suras
DETAILS_44	Def. vs Xamãs
DETAILS_45	Def. vs Lycans
DETAILS_46	Def. vs Espadas
DETAILS_47	Def. vs Duas-Mãos
DETAILS_48	Def. vs Punhais
DETAILS_49	Def. vs Garras
DETAILS_5	Frt. vs Monstros
DETAILS_50	Def. vs Campainhas
DETAILS_51	Def. vs Leques
DETAILS_52	Def. vs Flechas
DETAILS_53	Prob. Atordoamento
DETAILS_54	Prob. Abrandamento
DETAILS_55	Prob. Envenenamento
DETAILS_56	Res. a Veneno
DETAILS_57	Atq. de Sangramento
DETAILS_58	Res. Atq. Sangr.
DETAILS_6	Frt. vs Mon. Zodíaco
DETAILS_7	Frt. vs Animais
DETAILS_76	Resistência Mágica
DETAILS_77	Anti-Magia
DETAILS_8	Frt. vs Esotéricos
DETAILS_9	Frt. vs Demónios
DETAILS_ATTBONUS_BELL	Ruptura de Campainha
DETAILS_ATTBONUS_BOW	Ruptura de Flecha
DETAILS_ATTBONUS_CLAW	Ruptura de Garra
